"Status","Year","Age","Ethnicity","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Operational Delivery","Female","10","5","[c]","[c]"
"In post","2021","16-19","Asian","Operational Delivery","Male","10","5","[c]","[c]"
"In post","2021","16-19","Asian","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Tax","Female","5","5","[c]","[c]"
"In post","2021","16-19","Asian","Tax","Male","5","5","[c]","[c]"
"In post","2021","16-19","Asian","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Female","10","10","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Male","10","10","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
