"Status","Year","Age","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Heterosexual / straight","715","695","21700","21010"
"In post","2021","16-19","LGBO","55","50","21520","21010"
"In post","2021","16-19","Undeclared","55","50","22640","21430"
"In post","2021","16-19","Unknown","505","485","20460","20140"
"In post","2021","20-29","Heterosexual / straight","47095","46395","29200","27570"
"In post","2021","20-29","LGBO","5415","5360","29980","27570"
"In post","2021","20-29","Undeclared","3940","3875","30220","27790"
"In post","2021","20-29","Unknown","20970","20665","28280","26670"
"In post","2021","30-39","Heterosexual / straight","69010","65360","34440","30850"
"In post","2021","30-39","LGBO","5325","5225","35460","31370"
"In post","2021","30-39","Undeclared","7155","6805","34730","31060"
"In post","2021","30-39","Unknown","21915","20675","33620","29570"
"In post","2021","40-49","Heterosexual / straight","75055","70430","36620","31810"
"In post","2021","40-49","LGBO","3845","3730","38250","31810"
"In post","2021","40-49","Undeclared","10290","9655","35170","31060"
"In post","2021","40-49","Unknown","23105","21270","35310","30080"
"In post","2021","50-59","Heterosexual / straight","93145","87670","35050","30330"
"In post","2021","50-59","LGBO","3340","3210","36380","31520"
"In post","2021","50-59","Undeclared","16010","14970","34090","29410"
"In post","2021","50-59","Unknown","28540","26290","33880","28400"
"In post","2021","60-64","Heterosexual / straight","24605","20495","31930","27570"
"In post","2021","60-64","LGBO","655","555","32710","27570"
"In post","2021","60-64","Undeclared","4740","3845","31420","27570"
"In post","2021","60-64","Unknown","7710","6140","30810","27570"
"In post","2021","65+","Heterosexual / straight","7335","5700","30460","26780"
"In post","2021","65+","LGBO","190","150","29170","26130"
"In post","2021","65+","Undeclared","1480","1110","30970","27030"
"In post","2021","65+","Unknown","2635","1935","30770","26630"
"In post","2021","Unknown","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","25","25","[c]","[c]"
"Leaver CS","2021","16-19","Heterosexual / straight","50","[c]","20820","21010"
"Leaver CS","2021","16-19","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","55","[c]","19150","18760"
"Leaver CS","2021","20-29","Heterosexual / straight","2405","[c]","25680","23690"
"Leaver CS","2021","20-29","LGBO","315","[c]","25690","22780"
"Leaver CS","2021","20-29","Undeclared","205","[c]","28200","24310"
"Leaver CS","2021","20-29","Unknown","2460","[c]","25100","23050"
"Leaver CS","2021","30-39","Heterosexual / straight","1960","[c]","33980","29550"
"Leaver CS","2021","30-39","LGBO","160","[c]","35540","30970"
"Leaver CS","2021","30-39","Undeclared","255","[c]","35080","30820"
"Leaver CS","2021","30-39","Unknown","1705","[c]","32810","29290"
"Leaver CS","2021","40-49","Heterosexual / straight","1530","[c]","36340","29930"
"Leaver CS","2021","40-49","LGBO","90","[c]","40440","31060"
"Leaver CS","2021","40-49","Undeclared","195","[c]","35130","28670"
"Leaver CS","2021","40-49","Unknown","1600","[c]","36290","27570"
"Leaver CS","2021","50-59","Heterosexual / straight","2585","[c]","36200","29560"
"Leaver CS","2021","50-59","LGBO","100","[c]","40840","31400"
"Leaver CS","2021","50-59","Undeclared","465","[c]","36250","29350"
"Leaver CS","2021","50-59","Unknown","3260","[c]","36030","27760"
"Leaver CS","2021","60-64","Heterosexual / straight","2125","[c]","35940","28910"
"Leaver CS","2021","60-64","LGBO","50","[c]","34450","28730"
"Leaver CS","2021","60-64","Undeclared","475","[c]","35170","31120"
"Leaver CS","2021","60-64","Unknown","2050","[c]","35530","27570"
"Leaver CS","2021","65+","Heterosexual / straight","1745","[c]","28780","25120"
"Leaver CS","2021","65+","LGBO","40","[c]","27920","25120"
"Leaver CS","2021","65+","Undeclared","385","[c]","28420","25700"
"Leaver CS","2021","65+","Unknown","1430","[c]","31480","26890"
"Leaver CS","2021","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","115","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Heterosexual / straight","1965","[c]","31510","30850"
"Leaver Dept.","2021","20-29","LGBO","285","[c]","32570","31990"
"Leaver Dept.","2021","20-29","Undeclared","190","[c]","32910","32000"
"Leaver Dept.","2021","20-29","Unknown","1895","[c]","32200","32000"
"Leaver Dept.","2021","30-39","Heterosexual / straight","1925","[c]","38740","34340"
"Leaver Dept.","2021","30-39","LGBO","180","[c]","39050","34770"
"Leaver Dept.","2021","30-39","Undeclared","235","[c]","40020","37410"
"Leaver Dept.","2021","30-39","Unknown","1345","[c]","40200","36800"
"Leaver Dept.","2021","40-49","Heterosexual / straight","1230","[c]","43350","37050"
"Leaver Dept.","2021","40-49","LGBO","80","[c]","45060","40060"
"Leaver Dept.","2021","40-49","Undeclared","145","[c]","44840","39640"
"Leaver Dept.","2021","40-49","Unknown","750","[c]","43900","37610"
"Leaver Dept.","2021","50-59","Heterosexual / straight","785","[c]","41850","34550"
"Leaver Dept.","2021","50-59","LGBO","25","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Undeclared","110","[c]","41300","36460"
"Leaver Dept.","2021","50-59","Unknown","535","[c]","40560","34680"
"Leaver Dept.","2021","60-64","Heterosexual / straight","65","[c]","36900","28180"
"Leaver Dept.","2021","60-64","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Undeclared","5","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Unknown","55","[c]","40600","34950"
"Leaver Dept.","2021","65+","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","LGBO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","105","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Heterosexual / straight","450","[c]","21970","21010"
"New entrant CS","2021","16-19","LGBO","45","[c]","21800","21010"
"New entrant CS","2021","16-19","Undeclared","40","[c]","22470","21010"
"New entrant CS","2021","16-19","Unknown","370","[c]","20610","20140"
"New entrant CS","2021","20-29","Heterosexual / straight","12915","[c]","26850","26780"
"New entrant CS","2021","20-29","LGBO","1880","[c]","26760","26880"
"New entrant CS","2021","20-29","Undeclared","1090","[c]","27540","27500"
"New entrant CS","2021","20-29","Unknown","8035","[c]","26150","25000"
"New entrant CS","2021","30-39","Heterosexual / straight","8210","[c]","30820","27570"
"New entrant CS","2021","30-39","LGBO","835","[c]","30640","27570"
"New entrant CS","2021","30-39","Undeclared","610","[c]","33300","29290"
"New entrant CS","2021","30-39","Unknown","3955","[c]","31320","27570"
"New entrant CS","2021","40-49","Heterosexual / straight","6010","[c]","32360","27570"
"New entrant CS","2021","40-49","LGBO","420","[c]","31290","27570"
"New entrant CS","2021","40-49","Undeclared","400","[c]","35660","31060"
"New entrant CS","2021","40-49","Unknown","2590","[c]","34680","27570"
"New entrant CS","2021","50-59","Heterosexual / straight","5095","[c]","30900","27570"
"New entrant CS","2021","50-59","LGBO","250","[c]","29120","27570"
"New entrant CS","2021","50-59","Undeclared","335","[c]","31710","27570"
"New entrant CS","2021","50-59","Unknown","2025","[c]","34010","27240"
"New entrant CS","2021","60-64","Heterosexual / straight","915","[c]","29310","27570"
"New entrant CS","2021","60-64","LGBO","45","[c]","30060","27570"
"New entrant CS","2021","60-64","Undeclared","70","[c]","36890","27570"
"New entrant CS","2021","60-64","Unknown","330","[c]","32070","27140"
"New entrant CS","2021","65+","Heterosexual / straight","175","[c]","31710","27570"
"New entrant CS","2021","65+","LGBO","5","[c]","[c]","[c]"
"New entrant CS","2021","65+","Undeclared","15","[c]","[c]","[c]"
"New entrant CS","2021","65+","Unknown","85","[c]","34710","23590"
"New entrant CS","2021","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Sexual_orientation","Self reported sexual orientation.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their sexual orientation and ""Unknown"" accounts for employees who have not made an active declaration about their sexual orientation.","","","","","",""
"Age","Age in 10 year bands. Age is calculated as at the reference date in each year (31st March), so entrants or leavers may have been up to one year younger at the date of exit or entry.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
