"Status","Year","Disability","Profession_of_post","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","Bedfordshire and Hertfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Bedfordshire and Hertfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cheshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cheshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Devon","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Devon","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Dorset and Somerset","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Dorset and Somerset","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Anglia","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Anglia","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Wales","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Wales","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Yorkshire and Northern Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Yorkshire and Northern Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East Yorkshire and Northern Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Eastern Scotland","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Essex","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Female","90","85","38620","37400"
"In post","2021","Declared disabled","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Male","60","55","42270","39490"
"In post","2021","Declared disabled","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Greater Manchester","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Greater Manchester","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Hampshire and Isle of Wight","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Hampshire and Isle of Wight","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Herefordshire, Worcestershire and Warwickshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Herefordshire, Worcestershire and Warwickshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Herefordshire, Worcestershire and Warwickshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Highlands and Islands","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Highlands and Islands","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Highlands and Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Inner London - East","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Inner London - East","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Inner London - West","Female","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Inner London - West","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Kent","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Kent","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Kent","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Lancashire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Lancashire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Leicestershire, Rutland and Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Leicestershire, Rutland and Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Leicestershire, Rutland and Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Merseyside","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North Yorkshire","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northumberland and Tyne and Wear","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northumberland and Tyne and Wear","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Northumberland and Tyne and Wear","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outer London - East and North East","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outer London - East and North East","Male","[c]","[c]","[c]","[c]"
