"Status","Year","Profession_of_post","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","East Midlands (England)","AO","15","15","21200","21050"
"In post","2021","Commercial","East Midlands (England)","EO","15","15","25660","26370"
"In post","2021","Commercial","East Midlands (England)","G6","5","5","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","G7","30","25","57840","54040"
"In post","2021","Commercial","East Midlands (England)","HEO","15","15","31420","31180"
"In post","2021","Commercial","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","SEO","50","45","44490","42510"
"In post","2021","Commercial","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","AO","10","10","[c]","[c]"
"In post","2021","Commercial","East of England","EO","25","25","25950","26670"
"In post","2021","Commercial","East of England","G6","10","10","73550","72130"
"In post","2021","Commercial","East of England","G7","20","20","52570","48640"
"In post","2021","Commercial","East of England","HEO","75","70","31740","31620"
"In post","2021","Commercial","East of England","SCS level","5","5","[c]","[c]"
"In post","2021","Commercial","East of England","SEO","100","100","41050","40500"
"In post","2021","Commercial","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","AO","50","45","23760","24100"
"In post","2021","Commercial","London","EO","105","100","29060","29740"
"In post","2021","Commercial","London","G6","85","85","72540","71080"
"In post","2021","Commercial","London","G7","150","145","58430","57050"
"In post","2021","Commercial","London","HEO","135","135","35100","34710"
"In post","2021","Commercial","London","SCS level","55","50","87030","79150"
"In post","2021","Commercial","London","SEO","290","285","44340","43350"
"In post","2021","Commercial","London","Unknown","10","10","45860","41060"
"In post","2021","Commercial","North East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","G6","10","10","[c]","[c]"
"In post","2021","Commercial","North East (England)","G7","20","20","54070","50740"
"In post","2021","Commercial","North East (England)","HEO","25","25","30810","30200"
"In post","2021","Commercial","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","SEO","50","50","41910","40780"
"In post","2021","Commercial","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North West (England)","AO","5","5","[c]","[c]"
