"Status","Year","Age","Disability","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Attorney General's Departments","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Attorney General's Departments","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Attorney General's Departments","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Attorney General's Departments","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Attorney General's Departments","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Attorney General's Departments","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Attorney General's Departments","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cabinet Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cabinet Office","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Education","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Education","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Education","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Education","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Environment, Food and Rural Affairs","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Environment, Food and Rural Affairs","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Environment, Food and Rural Affairs","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Environment, Food and Rural Affairs","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Environment, Food and Rural Affairs","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Transport","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Transport","London","[c]","[c]","[c]","[c]"
