"Status","Year","Parent_department","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Aberdeen City and Aberdeenshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Aberdeen City and Aberdeenshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","25","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","Female","105","95","41740","36240"
"In post","2021","Attorney General's Departments","Berkshire","Male","35","35","48060","50520"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","Female","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","Female","325","295","38170","32290"
"In post","2021","Attorney General's Departments","Birmingham","Male","160","160","43130","40420"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","Female","75","70","41200","32020"
"In post","2021","Attorney General's Departments","Brighton and Hove","Male","35","30","46020","50520"
"In post","2021","Attorney General's Departments","Bristol, City of","Female","95","90","39350","33310"
"In post","2021","Attorney General's Departments","Bristol, City of","Male","60","55","45430","50220"
"In post","2021","Attorney General's Departments","Cambridgeshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cambridgeshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","Male","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Female","135","125","38430","38000"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Male","75","75","45890","48830"
"In post","2021","Attorney General's Departments","Central Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Central Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Female","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Male","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Croydon","Female","55","50","40580","33610"
"In post","2021","Attorney General's Departments","Croydon","Male","35","35","37220","31180"
"In post","2021","Attorney General's Departments","Derby","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derby","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon CC","Female","55","50","38720","36240"
"In post","2021","Attorney General's Departments","Devon CC","Male","45","45","41380","36240"
"In post","2021","Attorney General's Departments","East Cumbria","Female","25","20","[c]","[c]"
