"Status","Year","Age","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Operational Delivery","15","15","[c]","[c]"
"In post","2021","16-19","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Science and Engineering","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Tax","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","20","20","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Commercial","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Communications","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Economics","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Finance","25","25","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Human Resources","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Operational Delivery","185","170","21480","21430"
"In post","2021","16-19","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Other","25","25","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Policy","25","25","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Project Delivery","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Property","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Science and Engineering","65","65","18090","17780"
"In post","2021","16-19","Declared non-disabled","Security","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Tax","55","50","20440","20140"
"In post","2021","16-19","Declared non-disabled","Unknown","225","220","22430","21010"
"In post","2021","16-19","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Operational Delivery","10","10","[c]","[c]"
"In post","2021","16-19","Undeclared","Other","5","5","[c]","[c]"
"In post","2021","16-19","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Economics","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Finance","10","5","[c]","[c]"
"In post","2021","16-19","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Operational Delivery","210","200","20930","20880"
"In post","2021","16-19","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Other","55","55","18880","16780"
"In post","2021","16-19","Unknown","Policy","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Property","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Science and Engineering","45","45","17020","16780"
"In post","2021","16-19","Unknown","Security","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Tax","95","90","20310","20140"
"In post","2021","16-19","Unknown","Unknown","75","70","21590","21010"
"In post","2021","20-29","Declared disabled","Commercial","35","35","29650","29400"
"In post","2021","20-29","Declared disabled","Communications","40","40","32120","30710"
"In post","2021","20-29","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Counter Fraud","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Digital, Data and Technology","105","100","30970","29760"
"In post","2021","20-29","Declared disabled","Economics","50","50","38800","35640"
"In post","2021","20-29","Declared disabled","Finance","55","55","32430","30120"
"In post","2021","20-29","Declared disabled","Human Resources","95","95","32460","29870"
"In post","2021","20-29","Declared disabled","Intelligence Analysis","40","40","30500","29250"
"In post","2021","20-29","Declared disabled","Internal Audit","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","International Trade","25","25","[c]","[c]"
"In post","2021","20-29","Declared disabled","Knowledge and Information Management","25","25","[c]","[c]"
"In post","2021","20-29","Declared disabled","Legal","45","45","34970","33460"
"In post","2021","20-29","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Operational Delivery","1460","1425","25270","24020"
"In post","2021","20-29","Declared disabled","Operational Research","30","30","[c]","[c]"
"In post","2021","20-29","Declared disabled","Other","130","125","25600","24890"
"In post","2021","20-29","Declared disabled","Planning","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Policy","575","565","37550","34020"
"In post","2021","20-29","Declared disabled","Project Delivery","140","140","32110","32540"
"In post","2021","20-29","Declared disabled","Property","30","25","27950","26000"
"In post","2021","20-29","Declared disabled","Psychology","20","20","[c]","[c]"
"In post","2021","20-29","Declared disabled","Science and Engineering","220","220","28330","28590"
"In post","2021","20-29","Declared disabled","Security","35","35","27570","26610"
"In post","2021","20-29","Declared disabled","Social Research","25","25","[c]","[c]"
"In post","2021","20-29","Declared disabled","Statistics","50","50","35380","34710"
"In post","2021","20-29","Declared disabled","Tax","135","130","28440","25560"
"In post","2021","20-29","Declared disabled","Unknown","1550","1520","27760","27570"
"In post","2021","20-29","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Commercial","535","530","30240","29550"
"In post","2021","20-29","Declared non-disabled","Communications","460","460","34560","33210"
"In post","2021","20-29","Declared non-disabled","Corporate Finance","15","15","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Counter Fraud","35","35","30560","30730"
"In post","2021","20-29","Declared non-disabled","Digital, Data and Technology","1015","1005","33970","31810"
"In post","2021","20-29","Declared non-disabled","Economics","725","725","38280","34340"
"In post","2021","20-29","Declared non-disabled","Finance","765","760","33020","30420"
"In post","2021","20-29","Declared non-disabled","Human Resources","685","675","31490","29250"
"In post","2021","20-29","Declared non-disabled","Intelligence Analysis","360","360","32040","29250"
"In post","2021","20-29","Declared non-disabled","Internal Audit","35","35","35330","33300"
"In post","2021","20-29","Declared non-disabled","International Trade","200","200","37400","33640"
"In post","2021","20-29","Declared non-disabled","Knowledge and Information Management","225","220","28460","27650"
"In post","2021","20-29","Declared non-disabled","Legal","735","735","34820","31810"
"In post","2021","20-29","Declared non-disabled","Medicine","90","85","28860","27190"
"In post","2021","20-29","Declared non-disabled","Operational Delivery","16505","16125","25410","24890"
