"Status","Year","Disability","Ethnicity","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Analysis","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Analysis","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","Female","20","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","Male","30","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Female","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Male","35","35","36050","32120"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Female","20","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Male","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Female","50","45","41200","37590"
"In post","2021","Declared disabled","Asian","Human Resources","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","Female","80","70","42100","39680"
"In post","2021","Declared disabled","Asian","Legal","Male","35","30","42040","36200"
"In post","2021","Declared disabled","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Female","440","400","29830","26880"
"In post","2021","Declared disabled","Asian","No function","Male","350","340","32420","30460"
"In post","2021","Declared disabled","Asian","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Female","45","40","41660","38630"
"In post","2021","Declared disabled","Asian","Project Delivery","Male","45","45","40640","38940"
"In post","2021","Declared disabled","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Female","835","725","29150","27570"
"In post","2021","Declared disabled","Asian","Unknown","Male","565","535","29160","27570"
"In post","2021","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","Female","20","20","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Debt","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Debt","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data & Technology","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data & Technology","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","Female","20","20","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Human Resources","Female","35","35","41360","36480"
"In post","2021","Declared disabled","Black","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Legal","Female","50","50","40360","35020"
"In post","2021","Declared disabled","Black","Legal","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","No function","Female","475","450","31570","28990"
"In post","2021","Declared disabled","Black","No function","Male","185","180","31890","31650"
"In post","2021","Declared disabled","Black","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Project Delivery","Female","40","40","37530","34010"
"In post","2021","Declared disabled","Black","Project Delivery","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
