"Status","Year","Age","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Commercial","Female","5","5","[c]","[c]"
"In post","2021","16-19","Commercial","Male","5","5","[c]","[c]"
"In post","2021","16-19","Communications","Female","5","5","[c]","[c]"
"In post","2021","16-19","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Female","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Male","20","20","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Female","15","15","[c]","[c]"
"In post","2021","16-19","Economics","Male","10","10","[c]","[c]"
"In post","2021","16-19","Finance","Female","15","15","[c]","[c]"
"In post","2021","16-19","Finance","Male","25","20","[c]","[c]"
"In post","2021","16-19","Human Resources","Female","10","10","[c]","[c]"
"In post","2021","16-19","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Female","260","240","21200","21050"
"In post","2021","16-19","Operational Delivery","Male","160","150","21210","20960"
"In post","2021","16-19","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Female","30","30","20940","20900"
"In post","2021","16-19","Other","Male","55","55","18980","17060"
"In post","2021","16-19","Policy","Female","20","20","[c]","[c]"
"In post","2021","16-19","Policy","Male","20","20","[c]","[c]"
"In post","2021","16-19","Project Delivery","Female","5","5","[c]","[c]"
"In post","2021","16-19","Project Delivery","Male","5","5","[c]","[c]"
"In post","2021","16-19","Property","Female","10","10","[c]","[c]"
"In post","2021","16-19","Property","Male","15","15","[c]","[c]"
"In post","2021","16-19","Science and Engineering","Female","20","20","[c]","[c]"
"In post","2021","16-19","Science and Engineering","Male","105","105","17560","16990"
"In post","2021","16-19","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Male","20","20","[c]","[c]"
