"Status","Year","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Female","6380","5795","43720","43920"
"In post","2021","Attorney General's Departments","Male","3455","3380","47590","50500"
"In post","2021","Cabinet Office","Female","5040","4895","44370","35590"
"In post","2021","Cabinet Office","Male","4415","4380","49300","40600"
"In post","2021","Chancellor's other departments","Female","180","170","53350","47140"
"In post","2021","Chancellor's other departments","Male","225","220","62910","52250"
"In post","2021","Charity Commission","Female","255","235","34360","29160"
"In post","2021","Charity Commission","Male","185","180","35510","29550"
"In post","2021","Competition and Markets Authority","Female","430","410","58550","55860"
"In post","2021","Competition and Markets Authority","Male","410","405","62650","59140"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","6485","6080","39070","35120"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","6675","6545","43190","40050"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","960","930","48180","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","815","810","50260","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Female","4645","4400","43120","38400"
"In post","2021","Department for Education","Male","3285","3255","44760","40510"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","6195","5715","34880","30730"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","4850","4755","37450","33120"
"In post","2021","Department for International Trade","Female","1265","1245","44620","38690"
"In post","2021","Department for International Trade","Male","1420","1415","46910","41180"
"In post","2021","Department for Transport","Female","7275","6405","30310","26470"
"In post","2021","Department for Transport","Male","8695","8410","35080","30580"
"In post","2021","Department for Work and Pensions","Female","60835","52465","27470","27570"
"In post","2021","Department for Work and Pensions","Male","32690","31370","29220","27570"
"In post","2021","Department of Health and Social Care","Female","7685","7090","43370","38220"
"In post","2021","Department of Health and Social Care","Male","4070","3945","48700","41950"
"In post","2021","ESTYN","Female","65","60","53760","63880"
"In post","2021","ESTYN","Male","50","45","63750","74730"
