"Status","Year","Ethnicity","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","Female","625","565","42160","41490"
"In post","2021","Asian","Attorney General's Departments","Male","280","275","43160","40000"
"In post","2021","Asian","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Female","280","270","44200","38560"
"In post","2021","Asian","Cabinet Office","Male","190","190","48330","42040"
"In post","2021","Asian","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Female","25","25","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Male","25","25","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Female","5","5","[c]","[c]"
"In post","2021","Asian","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Female","60","55","42590","35270"
"In post","2021","Asian","Competition and Markets Authority","Male","45","45","50620","47040"
"In post","2021","Asian","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Female","410","390","39490","35300"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Male","305","305","39140","35150"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Female","70","65","46090","50860"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Male","55","55","47270","42020"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Female","405","390","39370","36570"
"In post","2021","Asian","Department for Education","Male","305","300","40130","36780"
"In post","2021","Asian","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Female","205","195","35160","32560"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Male","150","150","37270","33510"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Female","100","95","41680","38160"
"In post","2021","Asian","Department for International Trade","Male","110","110","43610","38540"
"In post","2021","Asian","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Female","220","205","38720","35060"
"In post","2021","Asian","Department for Transport","Male","305","300","41130","35060"
"In post","2021","Asian","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Female","4415","3780","27730","27570"
"In post","2021","Asian","Department for Work and Pensions","Male","2980","2890","28180","27570"
"In post","2021","Asian","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Female","765","715","41160","32980"
"In post","2021","Asian","Department of Health and Social Care","Male","385","380","44280","38930"
"In post","2021","Asian","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Female","25","25","[c]","[c]"
