"Status","Year","Age","Function_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","London","Female","10","10","[c]","[c]"
"In post","2021","16-19","Analysis","London","Male","10","10","[c]","[c]"
"In post","2021","16-19","Analysis","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","North East (England)","Female","5","5","[c]","[c]"
"In post","2021","16-19","Debt","North East (England)","Male","5","5","[c]","[c]"
"In post","2021","16-19","Debt","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Scotland","Female","15","15","[c]","[c]"
"In post","2021","16-19","Debt","Scotland","Male","5","5","[c]","[c]"
"In post","2021","16-19","Debt","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","South West (England)","Male","10","10","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Scotland","Male","5","5","[c]","[c]"
"In post","2021","16-19","Finance","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","South West (England)","Female","10","10","[c]","[c]"
"In post","2021","16-19","Finance","South West (England)","Male","10","10","[c]","[c]"
"In post","2021","16-19","Finance","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Human Resources","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","South East (England)","Male","[c]","[c]","[c]","[c]"
