"Status","Year","Profession_of_post","Region_ITL1","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","75","70","43680","42490"
"In post","2021","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","40","40","41620","38150"
"In post","2021","Commercial","East Midlands (England)","Lincolnshire","Outside London","20","20","42650","39040"
"In post","2021","Commercial","East of England","Bedfordshire and Hertfordshire","Outside London","20","20","43500","39580"
"In post","2021","Commercial","East of England","East Anglia","Outside London","220","215","38250","35730"
"In post","2021","Commercial","East of England","Essex","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","London","Inner London - East","London","75","75","45090","41190"
"In post","2021","Commercial","London","Inner London - West","London","575","560","50230","44480"
"In post","2021","Commercial","London","Outer London - East and North East","London","10","10","50480","52150"
"In post","2021","Commercial","London","Outer London - South","London","150","145","43970","43420"
"In post","2021","Commercial","London","Outer London - West and North West","London","75","75","37840","32880"
"In post","2021","Commercial","North East (England)","Northumberland and Tyne and Wear","Outside London","30","30","42090","40930"
"In post","2021","Commercial","North East (England)","Tees Valley and Durham","Outside London","85","80","43480","40300"
"In post","2021","Commercial","North West (England)","Cheshire","Outside London","25","20","40580","36970"
"In post","2021","Commercial","North West (England)","Cumbria","Outside London","15","15","38200","34030"
"In post","2021","Commercial","North West (England)","Greater Manchester","Outside London","220","210","39840","37920"
"In post","2021","Commercial","North West (England)","Lancashire","Outside London","30","30","46460","44760"
"In post","2021","Commercial","North West (England)","Merseyside","Outside London","230","220","36010","34800"
"In post","2021","Commercial","Northern Ireland","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Overseas","Overseas","35","35","49340","43060"
"In post","2021","Commercial","Scotland","Eastern Scotland","Outside London","90","85","33600","28410"
"In post","2021","Commercial","Scotland","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","North Eastern Scotland","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","Scotland","Southern Scotland","Outside London","70","65","40370","39630"
"In post","2021","Commercial","Scotland","West Central Scotland","Outside London","110","105","34650","33300"
"In post","2021","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","185","180","39050","37070"
"In post","2021","Commercial","South East (England)","Hampshire and Isle of Wight","Outside London","220","210","36180","34800"
"In post","2021","Commercial","South East (England)","Kent","Outside London","20","20","45340","46550"
"In post","2021","Commercial","South East (England)","Surrey, East and West Sussex","Outside London","40","40","44830","40890"
"In post","2021","Commercial","South West (England)","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","Devon","Outside London","220","215","42790","39790"
"In post","2021","Commercial","South West (England)","Dorset and Somerset","Outside London","70","65","42320","40430"
"In post","2021","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","1425","1365","38880","35900"
"In post","2021","Commercial","Unknown","Unknown","Unknown","10","10","35360","37130"
"In post","2021","Commercial","Wales","East Wales","Outside London","155","155","36670","33290"
"In post","2021","Commercial","Wales","West Wales and The Valleys","Outside London","175","160","33470","31040"
"In post","2021","Commercial","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Outside London","20","20","42060","46780"
"In post","2021","Commercial","West Midlands (England)","Shropshire and Staffordshire","Outside London","100","95","39280","34800"
"In post","2021","Commercial","West Midlands (England)","West Midlands","Outside London","130","130","38940","37040"
"In post","2021","Commercial","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Outside London","20","20","40870","37730"
"In post","2021","Commercial","Yorkshire and The Humber","North Yorkshire","Outside London","55","55","41100","38180"
"In post","2021","Commercial","Yorkshire and The Humber","South Yorkshire","Outside London","105","100","38610","36960"
"In post","2021","Commercial","Yorkshire and The Humber","West Yorkshire","Outside London","190","185","40810","36820"
"In post","2021","Communications","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","85","80","36960","36590"
"In post","2021","Communications","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","10","10","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Lincolnshire","Outside London","15","15","29900","29720"
"In post","2021","Communications","East of England","Bedfordshire and Hertfordshire","Outside London","30","30","36340","33200"
"In post","2021","Communications","East of England","East Anglia","Outside London","45","45","33420","31170"
"In post","2021","Communications","East of England","Essex","Outside London","15","15","32420","32550"
"In post","2021","Communications","London","Inner London - East","London","220","210","47650","42290"
"In post","2021","Communications","London","Inner London - West","London","1805","1770","46330","42710"
"In post","2021","Communications","London","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Outer London - South","London","30","30","42300","39690"
"In post","2021","Communications","London","Outer London - West and North West","London","35","35","37350","35090"
"In post","2021","Communications","North East (England)","Northumberland and Tyne and Wear","Outside London","85","80","34370","31810"
"In post","2021","Communications","North East (England)","Tees Valley and Durham","Outside London","30","30","31520","29360"
"In post","2021","Communications","North West (England)","Cheshire","Outside London","10","10","40980","37560"
"In post","2021","Communications","North West (England)","Cumbria","Outside London","5","5","[c]","[c]"
"In post","2021","Communications","North West (England)","Greater Manchester","Outside London","90","85","34140","31890"
"In post","2021","Communications","North West (England)","Lancashire","Outside London","30","25","32350","33000"
"In post","2021","Communications","North West (England)","Merseyside","Outside London","70","70","39790","36780"
"In post","2021","Communications","Northern Ireland","Northern Ireland","Outside London","30","30","41190","38270"
"In post","2021","Communications","Overseas","Overseas","Overseas","5","5","[c]","[c]"
"In post","2021","Communications","Scotland","Eastern Scotland","Outside London","40","40","40310","36750"
"In post","2021","Communications","Scotland","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","West Central Scotland","Outside London","25","25","34890","33260"
"In post","2021","Communications","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","85","80","32450","31200"
"In post","2021","Communications","South East (England)","Hampshire and Isle of Wight","Outside London","185","180","33120","31560"
"In post","2021","Communications","South East (England)","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","Surrey, East and West Sussex","Outside London","20","20","38750","38520"
"In post","2021","Communications","South West (England)","Cornwall and Isles of Scilly","Outside London","10","10","23260","21130"
"In post","2021","Communications","South West (England)","Devon","Outside London","50","45","35460","33220"
"In post","2021","Communications","South West (England)","Dorset and Somerset","Outside London","45","40","34250","33290"
"In post","2021","Communications","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","210","200","36470","34770"
"In post","2021","Communications","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","East Wales","Outside London","255","240","38770","37180"
"In post","2021","Communications","Wales","West Wales and The Valleys","Outside London","100","95","31830","26780"
"In post","2021","Communications","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Outside London","20","20","37130","36750"
"In post","2021","Communications","West Midlands (England)","Shropshire and Staffordshire","Outside London","35","35","31210","29180"
"In post","2021","Communications","West Midlands (England)","West Midlands","Outside London","90","85","42560","39670"
"In post","2021","Communications","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Outside London","5","5","[c]","[c]"
"In post","2021","Communications","Yorkshire and The Humber","North Yorkshire","Outside London","20","20","33330","35690"
"In post","2021","Communications","Yorkshire and The Humber","South Yorkshire","Outside London","50","50","37890","34730"
"In post","2021","Communications","Yorkshire and The Humber","West Yorkshire","Outside London","55","55","49320","49530"
"In post","2021","Corporate Finance","East of England","East Anglia","Outside London","10","10","31730","26890"
"In post","2021","Corporate Finance","London","Inner London - East","London","25","25","50880","45920"
