"Status","Year","Disability","Region_ITL3","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","AA/AO","Female","30","25","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","AA/AO","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","EO","Female","30","25","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","EO","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","AA/AO","Female","120","105","21180","21010"
"In post","2021","Declared disabled","Angus and Dundee City","AA/AO","Male","60","60","21080","21010"
"In post","2021","Declared disabled","Angus and Dundee City","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","EO","Female","50","45","27460","27570"
"In post","2021","Declared disabled","Angus and Dundee City","EO","Male","15","10","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","AA/AO","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","AA/AO","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","AA/AO","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","EO","Female","40","35","30740","31060"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","EO","Male","25","25","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Unknown","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","AA/AO","Female","20","20","[c]","[c]"
"In post","2021","Declared disabled","Barnet","AA/AO","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Barnet","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","EO","Female","30","25","[c]","[c]"
"In post","2021","Declared disabled","Barnet","EO","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Barnet","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Barnet","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Barnet","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Barnet","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","Unknown","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Barnet","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","AA/AO","Female","110","90","21370","21010"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","AA/AO","Male","70","65","23000","21010"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","AA/AO","Unknown","[c]","[c]","[c]","[c]"
