"Status","Year","Ethnicity","Function_of_post","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","Bedfordshire and Hertfordshire","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Cheshire","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Cumbria","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Cumbria","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Derbyshire and Nottinghamshire","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Derbyshire and Nottinghamshire","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Derbyshire and Nottinghamshire","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Derbyshire and Nottinghamshire","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Devon","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Devon","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Dorset and Somerset","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Dorset and Somerset","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Anglia","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Anglia","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Anglia","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Anglia","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Wales","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Wales","Monmouthshire and Newport","20","20","[c]","[c]"
"In post","2021","Asian","Analysis","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Eastern Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Essex","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Greater Manchester","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Greater Manchester","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Greater Manchester","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Greater Manchester","Manchester","25","20","[c]","[c]"
"In post","2021","Asian","Analysis","Hampshire and Isle of Wight","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Hampshire and Isle of Wight","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Hampshire and Isle of Wight","South Hampshire","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Hampshire and Isle of Wight","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Herefordshire, Worcestershire and Warwickshire","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Highlands and Islands","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Inner London - East","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Inner London - East","Tower Hamlets","75","75","45300","42290"
"In post","2021","Asian","Analysis","Inner London - West","Camden and City of London","25","25","[c]","[c]"
"In post","2021","Asian","Analysis","Inner London - West","Westminster","215","215","44760","41760"
"In post","2021","Asian","Analysis","Kent","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Kent","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Lancashire","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Leicestershire, Rutland and Northamptonshire","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Lincolnshire","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Merseyside","East Merseyside","[c]","[c]","[c]","[c]"
