"Status","Year","Disability","Profession_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","Female","Heterosexual / straight","245","235","39890","37850"
"In post","2021","Declared disabled","Commercial","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Female","Undeclared","30","30","38210","36500"
"In post","2021","Declared disabled","Commercial","Female","Unknown","25","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Male","Heterosexual / straight","140","135","42880","41340"
"In post","2021","Declared disabled","Commercial","Male","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Male","Undeclared","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Female","Heterosexual / straight","115","110","38160","34690"
"In post","2021","Declared disabled","Communications","Female","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Female","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Male","Heterosexual / straight","75","75","35270","34640"
"In post","2021","Declared disabled","Communications","Male","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Male","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Female","Heterosexual / straight","35","30","32840","30090"
"In post","2021","Declared disabled","Counter Fraud","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Male","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Male","Unknown","[c]","[c]","[c]","[c]"
