"Status","Year","Region_ITL1","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","North West (England)","G6/G7","G6","1095","1065","66630","64670"
"In post","2021","North West (England)","G6/G7","G7","3470","3345","53080","52580"
"In post","2021","North West (England)","SCS level","SCS level","285","280","87150","80250"
"In post","2021","North West (England)","SEO/HEO","HEO","8025","7645","32360","31810"
"In post","2021","North West (England)","SEO/HEO","SEO","4955","4745","39720","38630"
"In post","2021","North West (England)","Unknown","Unknown","2030","1890","30610","30210"
"In post","2021","Northern Ireland","AA/AO","AA","495","480","19900","20310"
"In post","2021","Northern Ireland","AA/AO","AO","1190","1075","21130","21430"
"In post","2021","Northern Ireland","EO","EO","980","920","26560","25560"
"In post","2021","Northern Ireland","G6/G7","G6","35","35","65380","64670"
"In post","2021","Northern Ireland","G6/G7","G7","200","190","54120","52580"
"In post","2021","Northern Ireland","SCS level","SCS level","15","15","80880","74780"
"In post","2021","Northern Ireland","SEO/HEO","HEO","620","595","32850","31810"
"In post","2021","Northern Ireland","SEO/HEO","SEO","280","270","39220","38630"
"In post","2021","Northern Ireland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AA/AO","AO","55","55","22530","23000"
"In post","2021","Overseas","EO","EO","280","275","28020","27370"
"In post","2021","Overseas","G6/G7","G6","455","455","66560","65330"
"In post","2021","Overseas","G6/G7","G7","880","875","56480","55360"
"In post","2021","Overseas","SCS level","SCS level","285","285","85970","77460"
"In post","2021","Overseas","SEO/HEO","HEO","1075","1070","36610","34330"
"In post","2021","Overseas","SEO/HEO","SEO","470","470","47460","42330"
"In post","2021","Overseas","Unknown","Unknown","255","255","39460","36710"
"In post","2021","Scotland","AA/AO","AA","2690","2480","20600","20070"
"In post","2021","Scotland","AA/AO","AO","14160","12765","22390","21010"
"In post","2021","Scotland","EO","EO","13555","12550","28240","27570"
"In post","2021","Scotland","G6/G7","G6","1520","1465","70550","70500"
"In post","2021","Scotland","G6/G7","G7","3125","3000","56140","55930"
"In post","2021","Scotland","SCS level","SCS level","330","325","88180","83230"
"In post","2021","Scotland","SEO/HEO","HEO","7080","6750","33740","33270"
"In post","2021","Scotland","SEO/HEO","SEO","5015","4775","43790","42420"
"In post","2021","Scotland","Unknown","Unknown","115","115","40140","41170"
"In post","2021","South East (England)","AA/AO","AA","2610","2325","20070","19560"
"In post","2021","South East (England)","AA/AO","AO","11545","10555","24970","22450"
"In post","2021","South East (England)","EO","EO","12740","11800","28090","27570"
"In post","2021","South East (England)","G6/G7","G6","585","565","69420","66430"
"In post","2021","South East (England)","G6/G7","G7","2795","2660","54650","53500"
"In post","2021","South East (England)","SCS level","SCS level","190","185","91620","89850"
"In post","2021","South East (England)","SEO/HEO","HEO","5990","5730","33540","33300"
"In post","2021","South East (England)","SEO/HEO","SEO","3795","3640","41620","40580"
"In post","2021","South East (England)","Unknown","Unknown","1520","1400","30530","30210"
"In post","2021","South West (England)","AA/AO","AA","1635","1540","19420","19560"
"In post","2021","South West (England)","AA/AO","AO","7765","7050","22740","21050"
"In post","2021","South West (England)","EO","EO","10580","9775","26480","27130"
"In post","2021","South West (England)","G6/G7","G6","1505","1425","66710","65560"
"In post","2021","South West (England)","G6/G7","G7","4690","4515","52670","52280"
"In post","2021","South West (England)","SCS level","SCS level","345","335","96180","91000"
"In post","2021","South West (England)","SEO/HEO","HEO","8625","8210","32280","32740"
"In post","2021","South West (England)","SEO/HEO","SEO","7545","7235","40900","40580"
"In post","2021","South West (England)","Unknown","Unknown","2500","2370","37340","33420"
"In post","2021","Unknown","AA/AO","AA","15","10","20120","20120"
"In post","2021","Unknown","AA/AO","AO","230","205","22370","21010"
"In post","2021","Unknown","EO","EO","590","555","28030","27570"
"In post","2021","Unknown","G6/G7","G6","60","55","66610","64500"
"In post","2021","Unknown","G6/G7","G7","140","135","53540","53070"
"In post","2021","Unknown","SCS level","SCS level","25","25","92980","77380"
"In post","2021","Unknown","SEO/HEO","HEO","620","610","32600","32000"
"In post","2021","Unknown","SEO/HEO","SEO","140","140","41010","39960"
"In post","2021","Unknown","Unknown","Unknown","1915","1910","37270","33570"
"In post","2021","Wales","AA/AO","AA","1885","1560","18660","18060"
"In post","2021","Wales","AA/AO","AO","11045","9850","21670","21440"
"In post","2021","Wales","EO","EO","9420","8735","26980","27570"
"In post","2021","Wales","G6/G7","G6","675","650","69930","69630"
"In post","2021","Wales","G6/G7","G7","2540","2440","55660","55610"
"In post","2021","Wales","SCS level","SCS level","305","295","87460","79870"
"In post","2021","Wales","SEO/HEO","HEO","5405","5130","33310","32180"
"In post","2021","Wales","SEO/HEO","SEO","3715","3565","42120","41090"
"In post","2021","Wales","Unknown","Unknown","1105","1035","29850","28750"
"In post","2021","West Midlands (England)","AA/AO","AA","1250","1155","19540","19600"
"In post","2021","West Midlands (England)","AA/AO","AO","9100","8220","22170","21010"
"In post","2021","West Midlands (England)","EO","EO","9360","8620","27050","27570"
"In post","2021","West Midlands (England)","G6/G7","G6","525","515","67690","64670"
"In post","2021","West Midlands (England)","G6/G7","G7","1840","1770","53930","52580"
"In post","2021","West Midlands (England)","SCS level","SCS level","210","200","96130","88360"
"In post","2021","West Midlands (England)","SEO/HEO","HEO","4150","3960","32740","31990"
"In post","2021","West Midlands (England)","SEO/HEO","SEO","2650","2545","40970","39030"
"In post","2021","West Midlands (England)","Unknown","Unknown","1410","1295","29610","28200"
"In post","2021","Yorkshire and The Humber","AA/AO","AA","1390","1275","19820","20600"
"In post","2021","Yorkshire and The Humber","AA/AO","AO","10280","9215","22760","21130"
"In post","2021","Yorkshire and The Humber","EO","EO","10515","9650","27120","27570"
"In post","2021","Yorkshire and The Humber","G6/G7","G6","885","855","65520","63940"
"In post","2021","Yorkshire and The Humber","G6/G7","G7","2970","2830","53560","52150"
"In post","2021","Yorkshire and The Humber","SCS level","SCS level","280","270","85540","77850"
"In post","2021","Yorkshire and The Humber","SEO/HEO","HEO","5440","5140","32300","31870"
"In post","2021","Yorkshire and The Humber","SEO/HEO","SEO","3520","3370","39720","38400"
"In post","2021","Yorkshire and The Humber","Unknown","Unknown","1335","1215","29780","30210"
"Leaver CS","2021","East Midlands (England)","AA/AO","AA","125","[c]","18460","17280"
"Leaver CS","2021","East Midlands (England)","AA/AO","AO","700","[c]","20700","20500"
"Leaver CS","2021","East Midlands (England)","EO","EO","405","[c]","27050","27490"
"Leaver CS","2021","East Midlands (England)","G6/G7","G6","15","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","G6/G7","G7","40","[c]","55170","55610"
"Leaver CS","2021","East Midlands (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","SEO/HEO","HEO","170","[c]","32940","33250"
"Leaver CS","2021","East Midlands (England)","SEO/HEO","SEO","85","[c]","42210","41720"
"Leaver CS","2021","East Midlands (England)","Unknown","Unknown","45","[c]","[c]","[c]"
"Leaver CS","2021","East of England","AA/AO","AA","155","[c]","18530","17990"
"Leaver CS","2021","East of England","AA/AO","AO","695","[c]","22270","21170"
"Leaver CS","2021","East of England","EO","EO","420","[c]","27470","27570"
"Leaver CS","2021","East of England","G6/G7","G6","15","[c]","72680","67510"
"Leaver CS","2021","East of England","G6/G7","G7","75","[c]","57360","55300"
"Leaver CS","2021","East of England","SCS level","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2021","East of England","SEO/HEO","HEO","235","[c]","34080","33300"
"Leaver CS","2021","East of England","SEO/HEO","SEO","125","[c]","42920","40980"
"Leaver CS","2021","East of England","Unknown","Unknown","70","[c]","[c]","[c]"
"Leaver CS","2021","London","AA/AO","AA","240","[c]","20490","21000"
"Leaver CS","2021","London","AA/AO","AO","1030","[c]","23470","23530"
"Leaver CS","2021","London","EO","EO","1155","[c]","28680","28950"
"Leaver CS","2021","London","G6/G7","G6","300","[c]","70940","70190"
"Leaver CS","2021","London","G6/G7","G7","775","[c]","56920","55610"
"Leaver CS","2021","London","SCS level","SCS level","265","[c]","98840","92480"
"Leaver CS","2021","London","SEO/HEO","HEO","855","[c]","34020","33640"
"Leaver CS","2021","London","SEO/HEO","SEO","575","[c]","42170","41050"
"Leaver CS","2021","London","Unknown","Unknown","130","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","AA/AO","AA","115","[c]","17920","17640"
"Leaver CS","2021","North East (England)","AA/AO","AO","900","[c]","20770","21010"
"Leaver CS","2021","North East (England)","EO","EO","345","[c]","26840","27570"
"Leaver CS","2021","North East (England)","G6/G7","G6","15","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","G6/G7","G7","55","[c]","54220","52390"
"Leaver CS","2021","North East (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North East (England)","SEO/HEO","HEO","105","[c]","32670","33180"
"Leaver CS","2021","North East (England)","SEO/HEO","SEO","100","[c]","40470","40070"
"Leaver CS","2021","North East (England)","Unknown","Unknown","45","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","AA/AO","AA","160","[c]","17860","17610"
"Leaver CS","2021","North West (England)","AA/AO","AO","1240","[c]","20880","21010"
"Leaver CS","2021","North West (England)","EO","EO","680","[c]","26420","27240"
"Leaver CS","2021","North West (England)","G6/G7","G6","45","[c]","70380","70560"
"Leaver CS","2021","North West (England)","G6/G7","G7","115","[c]","56240","55200"
"Leaver CS","2021","North West (England)","SCS level","SCS level","15","[c]","99450","104580"
"Leaver CS","2021","North West (England)","SEO/HEO","HEO","230","[c]","32190","32090"
"Leaver CS","2021","North West (England)","SEO/HEO","SEO","160","[c]","41060","39640"
"Leaver CS","2021","North West (England)","Unknown","Unknown","120","[c]","39770","37850"
"Leaver CS","2021","Northern Ireland","AA/AO","AA","25","[c]","19400","19800"
"Leaver CS","2021","Northern Ireland","AA/AO","AO","80","[c]","21480","21430"
"Leaver CS","2021","Northern Ireland","EO","EO","50","[c]","28050","27100"
"Leaver CS","2021","Northern Ireland","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","SEO/HEO","HEO","30","[c]","34470","34210"
"Leaver CS","2021","Northern Ireland","SEO/HEO","SEO","15","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","EO","EO","10","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","G6/G7","G7","15","[c]","59780","58740"
"Leaver CS","2021","Overseas","SCS level","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","SEO/HEO","HEO","75","[c]","36200","36960"
"Leaver CS","2021","Overseas","SEO/HEO","SEO","10","[c]","47210","43220"
"Leaver CS","2021","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","AA/AO","AA","180","[c]","20400","20070"
"Leaver CS","2021","Scotland","AA/AO","AO","915","[c]","23100","21010"
"Leaver CS","2021","Scotland","EO","EO","580","[c]","28540","27570"
"Leaver CS","2021","Scotland","G6/G7","G6","80","[c]","72080","73940"
"Leaver CS","2021","Scotland","G6/G7","G7","95","[c]","56700","56630"
"Leaver CS","2021","Scotland","SCS level","SCS level","25","[c]","93490","83970"
"Leaver CS","2021","Scotland","SEO/HEO","HEO","250","[c]","34820","34290"
"Leaver CS","2021","Scotland","SEO/HEO","SEO","210","[c]","44420","44770"
"Leaver CS","2021","Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South East (England)","AA/AO","AA","325","[c]","18550","18600"
"Leaver CS","2021","South East (England)","AA/AO","AO","1040","[c]","22550","21010"
"Leaver CS","2021","South East (England)","EO","EO","590","[c]","27660","27570"
"Leaver CS","2021","South East (England)","G6/G7","G6","40","[c]","73280","71450"
"Leaver CS","2021","South East (England)","G6/G7","G7","100","[c]","53650","54540"
"Leaver CS","2021","South East (England)","SCS level","SCS level","15","[c]","94410","85320"
"Leaver CS","2021","South East (England)","SEO/HEO","HEO","290","[c]","33630","33300"
"Leaver CS","2021","South East (England)","SEO/HEO","SEO","190","[c]","40960","40620"
"Leaver CS","2021","South East (England)","Unknown","Unknown","95","[c]","26080","25590"
"Leaver CS","2021","South West (England)","AA/AO","AA","195","[c]","18530","18850"
"Leaver CS","2021","South West (England)","AA/AO","AO","665","[c]","21200","21010"
"Leaver CS","2021","South West (England)","EO","EO","530","[c]","25750","26670"
"Leaver CS","2021","South West (England)","G6/G7","G6","70","[c]","69980","67360"
"Leaver CS","2021","South West (England)","G6/G7","G7","150","[c]","53230","53230"
"Leaver CS","2021","South West (England)","SCS level","SCS level","35","[c]","99870","99540"
"Leaver CS","2021","South West (England)","SEO/HEO","HEO","420","[c]","32140","32720"
"Leaver CS","2021","South West (England)","SEO/HEO","SEO","305","[c]","41340","40770"
"Leaver CS","2021","South West (England)","Unknown","Unknown","95","[c]","38830","36390"
"Leaver CS","2021","Unknown","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","AO","50","[c]","21140","21010"
"Leaver CS","2021","Unknown","EO","EO","35","[c]","27660","27570"
"Leaver CS","2021","Unknown","G6/G7","G6","25","[c]","76080","70440"
"Leaver CS","2021","Unknown","G6/G7","G7","25","[c]","53630","53060"
"Leaver CS","2021","Unknown","SCS level","SCS level","20","[c]","106010","99170"
"Leaver CS","2021","Unknown","SEO/HEO","HEO","45","[c]","31980","31440"
"Leaver CS","2021","Unknown","SEO/HEO","SEO","10","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Unknown","480","[c]","34870","32400"
"Leaver CS","2021","Wales","AA/AO","AA","165","[c]","18080","18060"
"Leaver CS","2021","Wales","AA/AO","AO","895","[c]","21010","21010"
"Leaver CS","2021","Wales","EO","EO","400","[c]","27530","27570"
"Leaver CS","2021","Wales","G6/G7","G6","30","[c]","72270","74730"
"Leaver CS","2021","Wales","G6/G7","G7","90","[c]","55880","55610"
"Leaver CS","2021","Wales","SCS level","SCS level","25","[c]","86660","78460"
"Leaver CS","2021","Wales","SEO/HEO","HEO","195","[c]","33580","33450"
"Leaver CS","2021","Wales","SEO/HEO","SEO","125","[c]","41310","40880"
"Leaver CS","2021","Wales","Unknown","Unknown","45","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","AA/AO","AA","100","[c]","17970","17430"
"Leaver CS","2021","West Midlands (England)","AA/AO","AO","825","[c]","20730","20650"
"Leaver CS","2021","West Midlands (England)","EO","EO","420","[c]","26580","27130"
"Leaver CS","2021","West Midlands (England)","G6/G7","G6","35","[c]","75410","71000"
"Leaver CS","2021","West Midlands (England)","G6/G7","G7","90","[c]","57580","55610"
"Leaver CS","2021","West Midlands (England)","SCS level","SCS level","20","[c]","100620","92800"
"Leaver CS","2021","West Midlands (England)","SEO/HEO","HEO","175","[c]","33320","33210"
"Leaver CS","2021","West Midlands (England)","SEO/HEO","SEO","140","[c]","41690","40580"
"Leaver CS","2021","West Midlands (England)","Unknown","Unknown","70","[c]","[c]","[c]"
"Leaver CS","2021","Yorkshire and The Humber","AA/AO","AA","185","[c]","18260","18610"
"Leaver CS","2021","Yorkshire and The Humber","AA/AO","AO","905","[c]","21450","21010"
"Leaver CS","2021","Yorkshire and The Humber","EO","EO","550","[c]","26790","27550"
"Leaver CS","2021","Yorkshire and The Humber","G6/G7","G6","45","[c]","70080","68720"
"Leaver CS","2021","Yorkshire and The Humber","G6/G7","G7","140","[c]","56060","55610"
"Leaver CS","2021","Yorkshire and The Humber","SCS level","SCS level","15","[c]","[c]","[c]"
"Leaver CS","2021","Yorkshire and The Humber","SEO/HEO","HEO","250","[c]","33300","32990"
"Leaver CS","2021","Yorkshire and The Humber","SEO/HEO","SEO","165","[c]","40600","39870"
"Leaver CS","2021","Yorkshire and The Humber","Unknown","Unknown","70","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","AA/AO","AA","10","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","AA/AO","AO","95","[c]","20050","19570"
"Leaver Dept.","2021","East Midlands (England)","EO","EO","75","[c]","24370","24890"
"Leaver Dept.","2021","East Midlands (England)","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","G6/G7","G7","10","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","SEO/HEO","HEO","40","[c]","30450","31380"
"Leaver Dept.","2021","East Midlands (England)","SEO/HEO","SEO","25","[c]","40340","40580"
"Leaver Dept.","2021","East Midlands (England)","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","AA/AO","AA","10","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","AA/AO","AO","35","[c]","22940","22480"
"Leaver Dept.","2021","East of England","EO","EO","60","[c]","26480","26570"
"Leaver Dept.","2021","East of England","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","G6/G7","G7","15","[c]","50620","51580"
"Leaver Dept.","2021","East of England","SEO/HEO","HEO","50","[c]","32320","33100"
"Leaver Dept.","2021","East of England","SEO/HEO","SEO","25","[c]","41590","44090"
"Leaver Dept.","2021","East of England","Unknown","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2021","London","AA/AO","AA","10","[c]","[c]","[c]"
"Leaver Dept.","2021","London","AA/AO","AO","220","[c]","23890","23660"
"Leaver Dept.","2021","London","EO","EO","805","[c]","28490","28000"
"Leaver Dept.","2021","London","G6/G7","G6","390","[c]","66540","65700"
"Leaver Dept.","2021","London","G6/G7","G7","1235","[c]","55040","54280"
"Leaver Dept.","2021","London","SCS level","SCS level","275","[c]","88390","79490"
"Leaver Dept.","2021","London","SEO/HEO","HEO","1515","[c]","33920","33640"
"Leaver Dept.","2021","London","SEO/HEO","SEO","790","[c]","41440","40640"
"Leaver Dept.","2021","London","Unknown","Unknown","95","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","AA/AO","AO","285","[c]","20880","21010"
"Leaver Dept.","2021","North East (England)","EO","EO","160","[c]","26360","27570"
"Leaver Dept.","2021","North East (England)","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","G6/G7","G7","15","[c]","53340","51280"
"Leaver Dept.","2021","North East (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","North East (England)","SEO/HEO","HEO","80","[c]","31090","31990"
"Leaver Dept.","2021","North East (England)","SEO/HEO","SEO","45","[c]","37400","37230"
"Leaver Dept.","2021","North East (England)","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","AA/AO","AA","5","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","AA/AO","AO","390","[c]","20910","21010"
"Leaver Dept.","2021","North West (England)","EO","EO","325","[c]","26010","26650"
"Leaver Dept.","2021","North West (England)","G6/G7","G6","15","[c]","64920","63990"
"Leaver Dept.","2021","North West (England)","G6/G7","G7","65","[c]","52630","52020"
"Leaver Dept.","2021","North West (England)","SCS level","SCS level","10","[c]","[c]","[c]"
"Leaver Dept.","2021","North West (England)","SEO/HEO","HEO","145","[c]","31490","31990"
"Leaver Dept.","2021","North West (England)","SEO/HEO","SEO","90","[c]","38690","37660"
"Leaver Dept.","2021","North West (England)","Unknown","Unknown","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","AA/AO","AO","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","EO","EO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","SEO/HEO","HEO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","EO","EO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","G6/G7","G6","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","G6/G7","G7","40","[c]","54610","54420"
"Leaver Dept.","2021","Overseas","SCS level","SCS level","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","SEO/HEO","HEO","35","[c]","33760","33500"
"Leaver Dept.","2021","Overseas","SEO/HEO","SEO","15","[c]","39750","39670"
"Leaver Dept.","2021","Scotland","AA/AO","AA","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","AA/AO","AO","235","[c]","21080","21010"
"Leaver Dept.","2021","Scotland","EO","EO","190","[c]","26560","27570"
"Leaver Dept.","2021","Scotland","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","G6/G7","G7","35","[c]","53270","53110"
"Leaver Dept.","2021","Scotland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland","SEO/HEO","HEO","80","[c]","32680","33210"
"Leaver Dept.","2021","Scotland","SEO/HEO","SEO","45","[c]","40230","39630"
"Leaver Dept.","2021","Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","AA/AO","AA","15","[c]","18680","18720"
"Leaver Dept.","2021","South East (England)","AA/AO","AO","125","[c]","21440","20920"
"Leaver Dept.","2021","South East (England)","EO","EO","100","[c]","27670","27570"
"Leaver Dept.","2021","South East (England)","G6/G7","G6","15","[c]","66840","64220"
"Leaver Dept.","2021","South East (England)","G6/G7","G7","30","[c]","53630","52870"
"Leaver Dept.","2021","South East (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","South East (England)","SEO/HEO","HEO","80","[c]","30750","31210"
"Leaver Dept.","2021","South East (England)","SEO/HEO","SEO","45","[c]","39890","39040"
"Leaver Dept.","2021","South East (England)","Unknown","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2021","South West (England)","AA/AO","AA","5","[c]","[c]","[c]"
"Leaver Dept.","2021","South West (England)","AA/AO","AO","100","[c]","20560","20920"
"Leaver Dept.","2021","South West (England)","EO","EO","180","[c]","24730","25780"
"Leaver Dept.","2021","South West (England)","G6/G7","G6","25","[c]","64440","63460"
"Leaver Dept.","2021","South West (England)","G6/G7","G7","110","[c]","51440","52070"
"Leaver Dept.","2021","South West (England)","SCS level","SCS level","10","[c]","[c]","[c]"
"Leaver Dept.","2021","South West (England)","SEO/HEO","HEO","215","[c]","29690","30210"
"Leaver Dept.","2021","South West (England)","SEO/HEO","SEO","145","[c]","38480","38690"
"Leaver Dept.","2021","South West (England)","Unknown","Unknown","20","[c]","43060","34210"
"Leaver Dept.","2021","Unknown","AA/AO","AO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","EO","EO","25","[c]","27610","27570"
"Leaver Dept.","2021","Unknown","G6/G7","G6","25","[c]","64270","64220"
"Leaver Dept.","2021","Unknown","G6/G7","G7","55","[c]","54620","54440"
"Leaver Dept.","2021","Unknown","SCS level","SCS level","15","[c]","81430","74420"
"Leaver Dept.","2021","Unknown","SEO/HEO","HEO","550","[c]","31550","32000"
"Leaver Dept.","2021","Unknown","SEO/HEO","SEO","20","[c]","39950","40220"
"Leaver Dept.","2021","Unknown","Unknown","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales","AA/AO","AA","15","[c]","17760","17540"
"Leaver Dept.","2021","Wales","AA/AO","AO","190","[c]","20920","21050"
"Leaver Dept.","2021","Wales","EO","EO","135","[c]","26240","26890"
"Leaver Dept.","2021","Wales","G6/G7","G6","15","[c]","66800","65630"
"Leaver Dept.","2021","Wales","G6/G7","G7","45","[c]","52890","51790"
"Leaver Dept.","2021","Wales","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales","SEO/HEO","HEO","105","[c]","31990","31080"
"Leaver Dept.","2021","Wales","SEO/HEO","SEO","70","[c]","39910","39200"
"Leaver Dept.","2021","Wales","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","West Midlands (England)","AA/AO","AA","5","[c]","[c]","[c]"
"Leaver Dept.","2021","West Midlands (England)","AA/AO","AO","215","[c]","20340","20020"
"Leaver Dept.","2021","West Midlands (England)","EO","EO","150","[c]","25010","24890"
"Leaver Dept.","2021","West Midlands (England)","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver Dept.","2021","West Midlands (England)","G6/G7","G7","30","[c]","53200","52270"
"Leaver Dept.","2021","West Midlands (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
