"Status","Year","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","London","Heterosexual / straight","66305","63740","43520","37560"
"In post","2021","London","LGBO","5105","5010","44850","39960"
"In post","2021","London","Undeclared","9030","8615","42910","37500"
"In post","2021","London","Unknown","21490","20635","42680","36160"
"In post","2021","Outside London","Heterosexual / straight","247180","229590","31350","27570"
"In post","2021","Outside London","LGBO","13485","13030","30270","27570"
"In post","2021","Outside London","Undeclared","34150","31215","31120","27570"
"In post","2021","Outside London","Unknown","80655","73615","29700","27130"
"In post","2021","Overseas","Heterosexual / straight","2495","2485","49920","50430"
"In post","2021","Overseas","LGBO","170","170","51520","53000"
"In post","2021","Overseas","Undeclared","375","370","47650","41800"
"In post","2021","Overseas","Unknown","715","710","50960","49370"
"In post","2021","Unknown","Heterosexual / straight","1000","950","33440","27570"
"In post","2021","Unknown","LGBO","65","65","32570","27570"
"In post","2021","Unknown","Undeclared","120","110","32440","27570"
"In post","2021","Unknown","Unknown","2545","2520","36780","32700"
"Leaver CS","2021","London","Heterosexual / straight","2465","[c]","42030","34330"
"Leaver CS","2021","London","LGBO","205","[c]","43560","36800"
"Leaver CS","2021","London","Undeclared","390","[c]","44370","38360"
"Leaver CS","2021","London","Unknown","2260","[c]","38550","31060"
"Leaver CS","2021","Outside London","Heterosexual / straight","9815","[c]","30200","26470"
"Leaver CS","2021","Outside London","LGBO","545","[c]","27260","24110"
"Leaver CS","2021","Outside London","Undeclared","1585","[c]","30320","26780"
"Leaver CS","2021","Outside London","Unknown","9735","[c]","29400","26020"
"Leaver CS","2021","Overseas","Heterosexual / straight","65","[c]","42050","36960"
"Leaver CS","2021","Overseas","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Unknown","60","[c]","40730","38690"
"Leaver CS","2021","Unknown","Heterosexual / straight","55","[c]","40990","33300"
"Leaver CS","2021","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","630","[c]","40430","32000"
"Leaver Dept.","2021","London","Heterosexual / straight","2780","[c]","44430","38980"
"Leaver Dept.","2021","London","LGBO","305","[c]","43050","37280"
"Leaver Dept.","2021","London","Undeclared","335","[c]","46340","42210"
"Leaver Dept.","2021","London","Unknown","1915","[c]","43350","38750"
"Leaver Dept.","2021","Outside London","Heterosexual / straight","2945","[c]","31050","27570"
"Leaver Dept.","2021","Outside London","LGBO","240","[c]","28960","27320"
"Leaver Dept.","2021","Outside London","Undeclared","315","[c]","31860","27570"
"Leaver Dept.","2021","Outside London","Unknown","2315","[c]","31670","27570"
"Leaver Dept.","2021","Overseas","Heterosexual / straight","35","[c]","51170","44580"
"Leaver Dept.","2021","Overseas","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Overseas","Unknown","75","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","235","[c]","38120","32000"
"Leaver Dept.","2021","Unknown","LGBO","30","[c]","34770","32000"
"Leaver Dept.","2021","Unknown","Undeclared","40","[c]","38290","32000"
"Leaver Dept.","2021","Unknown","Unknown","400","[c]","33870","32000"
"New entrant CS","2021","London","Heterosexual / straight","8580","[c]","35200","31060"
"New entrant CS","2021","London","LGBO","940","[c]","34550","31060"
"New entrant CS","2021","London","Undeclared","890","[c]","36320","32320"
"New entrant CS","2021","London","Unknown","4700","[c]","36480","31060"
"New entrant CS","2021","Outside London","Heterosexual / straight","24870","[c]","27420","26350"
"New entrant CS","2021","Outside London","LGBO","2510","[c]","26070","25560"
"New entrant CS","2021","Outside London","Undeclared","1635","[c]","28310","26350"
"New entrant CS","2021","Outside London","Unknown","12130","[c]","26600","22920"
"New entrant CS","2021","Overseas","Heterosexual / straight","15","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Overseas","Unknown","25","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Heterosexual / straight","305","[c]","30450","27570"
"New entrant CS","2021","Unknown","LGBO","30","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Undeclared","30","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","535","[c]","36780","28000"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
