"Status","Year","Disability","Ethnicity","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","AA","60","50","20310","20230"
"In post","2021","Declared disabled","Asian","AO","725","635","22470","21180"
"In post","2021","Declared disabled","Asian","EO","1010","925","28640","27950"
"In post","2021","Declared disabled","Asian","G6","50","50","67550","66600"
"In post","2021","Declared disabled","Asian","G7","175","170","55870","54500"
"In post","2021","Declared disabled","Asian","HEO","405","385","34280","34110"
"In post","2021","Declared disabled","Asian","SCS level","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","SEO","225","220","41710","41350"
"In post","2021","Declared disabled","Asian","Unknown","95","85","30350","30210"
"In post","2021","Declared disabled","Black","AA","55","50","21330","21550"
"In post","2021","Declared disabled","Black","AO","410","370","24030","23500"
"In post","2021","Declared disabled","Black","EO","680","640","29410","29570"
"In post","2021","Declared disabled","Black","G6","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","G7","105","100","56260","54700"
"In post","2021","Declared disabled","Black","HEO","230","220","34670","35050"
"In post","2021","Declared disabled","Black","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","SEO","145","145","42080","40960"
"In post","2021","Declared disabled","Black","Unknown","170","165","32410","30210"
"In post","2021","Declared disabled","Chinese","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","AO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Chinese","EO","25","20","[c]","[c]"
"In post","2021","Declared disabled","Chinese","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Chinese","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","AA","25","20","[c]","[c]"
"In post","2021","Declared disabled","Mixed","AO","270","245","22570","21010"
"In post","2021","Declared disabled","Mixed","EO","370","340","28200","27570"
"In post","2021","Declared disabled","Mixed","G6","25","25","[c]","[c]"
"In post","2021","Declared disabled","Mixed","G7","110","105","56310","54730"
"In post","2021","Declared disabled","Mixed","HEO","185","175","33910","33300"
"In post","2021","Declared disabled","Mixed","SCS level","15","15","[c]","[c]"
"In post","2021","Declared disabled","Mixed","SEO","95","90","41940","40880"
"In post","2021","Declared disabled","Mixed","Unknown","100","95","32860","32100"
"In post","2021","Declared disabled","Other ethnicity","AA","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","AO","65","60","22620","21010"
"In post","2021","Declared disabled","Other ethnicity","EO","115","110","28500","27570"
"In post","2021","Declared disabled","Other ethnicity","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","G7","40","40","56120","53600"
"In post","2021","Declared disabled","Other ethnicity","HEO","60","60","34530","34190"
"In post","2021","Declared disabled","Other ethnicity","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","SEO","35","30","43140","40670"
"In post","2021","Declared disabled","Other ethnicity","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","AA","45","40","19200","19560"
"In post","2021","Declared disabled","Undeclared","AO","550","490","22530","21050"
"In post","2021","Declared disabled","Undeclared","EO","685","625","28240","27570"
"In post","2021","Declared disabled","Undeclared","G6","35","30","67500","66440"
"In post","2021","Declared disabled","Undeclared","G7","135","125","55450","54650"
"In post","2021","Declared disabled","Undeclared","HEO","280","270","33960","33350"
"In post","2021","Declared disabled","Undeclared","SCS level","15","15","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","SEO","185","180","41840","41030"
"In post","2021","Declared disabled","Undeclared","Unknown","105","100","34370","33360"
