"Status","Year","Disability","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","London","80","75","44430","41030"
"In post","2021","Declared disabled","Commercial","Outside London","420","405","38760","37100"
"In post","2021","Declared disabled","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","95","95","43530","39600"
"In post","2021","Declared disabled","Communications","Outside London","160","155","33640","30730"
"In post","2021","Declared disabled","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Outside London","50","45","33480","31000"
"In post","2021","Declared disabled","Digital, Data and Technology","London","230","225","46710","42850"
"In post","2021","Declared disabled","Digital, Data and Technology","Outside London","810","775","37140","33930"
"In post","2021","Declared disabled","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","London","80","80","47460","49100"
"In post","2021","Declared disabled","Economics","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","London","180","175","47780","43610"
"In post","2021","Declared disabled","Finance","Outside London","590","540","34840","31810"
"In post","2021","Declared disabled","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","London","305","295","47690","42230"
"In post","2021","Declared disabled","Human Resources","Outside London","670","630","36360","32400"
"In post","2021","Declared disabled","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","Outside London","45","45","63020","64500"
"In post","2021","Declared disabled","Intelligence Analysis","London","125","120","38230","35680"
"In post","2021","Declared disabled","Intelligence Analysis","Outside London","175","165","30030","27380"
"In post","2021","Declared disabled","Intelligence Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Outside London","75","70","41260","39980"
"In post","2021","Declared disabled","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","London","75","75","46760","40840"
"In post","2021","Declared disabled","International Trade","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Overseas","10","10","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","London","80","75","38140","34010"
"In post","2021","Declared disabled","Knowledge and Information Management","Outside London","190","180","33170","31480"
"In post","2021","Declared disabled","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","London","340","315","55390","56560"
"In post","2021","Declared disabled","Legal","Outside London","630","575","44790","43500"
"In post","2021","Declared disabled","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Outside London","100","90","53980","40890"
"In post","2021","Declared disabled","Medicine","Overseas","5","5","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","London","2480","2320","33050","30010"
"In post","2021","Declared disabled","Operational Delivery","Outside London","14835","13390","27160","24920"
"In post","2021","Declared disabled","Operational Delivery","Overseas","15","15","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","London","35","30","51570","53220"
"In post","2021","Declared disabled","Operational Research","Outside London","100","95","39040","37320"
"In post","2021","Declared disabled","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","London","295","275","35100","29270"
"In post","2021","Declared disabled","Other","Outside London","1595","1505","27070","22600"
"In post","2021","Declared disabled","Other","Overseas","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Planning","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","Outside London","15","10","[c]","[c]"
"In post","2021","Declared disabled","Policy","London","1675","1630","47050","41970"
"In post","2021","Declared disabled","Policy","Outside London","660","630","38660","36500"
"In post","2021","Declared disabled","Policy","Overseas","130","130","49730","52720"
"In post","2021","Declared disabled","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","London","325","320","47520","42170"
"In post","2021","Declared disabled","Project Delivery","Outside London","1125","1080","38240","35900"
"In post","2021","Declared disabled","Project Delivery","Overseas","15","15","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Property","London","85","80","41460","35390"
"In post","2021","Declared disabled","Property","Outside London","480","455","34200","33250"
"In post","2021","Declared disabled","Property","Overseas","5","5","[c]","[c]"
"In post","2021","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Psychology","Outside London","110","110","33000","29750"
"In post","2021","Declared disabled","Science and Engineering","London","65","65","45130","40960"
"In post","2021","Declared disabled","Science and Engineering","Outside London","1050","1010","36270","34440"
"In post","2021","Declared disabled","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Science and Engineering","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Security","London","100","95","39010","37640"
"In post","2021","Declared disabled","Security","Outside London","490","475","30470","27420"
"In post","2021","Declared disabled","Security","Overseas","5","5","[c]","[c]"
"In post","2021","Declared disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Social Research","London","45","40","47300","43820"
"In post","2021","Declared disabled","Social Research","Outside London","65","60","37970","37020"
"In post","2021","Declared disabled","Statistics","London","80","80","45680","41760"
"In post","2021","Declared disabled","Statistics","Outside London","95","90","40690","37020"
"In post","2021","Declared disabled","Statistics","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Tax","London","205","190","42460","39800"
"In post","2021","Declared disabled","Tax","Outside London","1160","1070","33960","31810"
"In post","2021","Declared disabled","Tax","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","London","2140","2000","37280","31060"
"In post","2021","Declared disabled","Unknown","Outside London","15175","13365","27340","27570"
"In post","2021","Declared disabled","Unknown","Overseas","15","15","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","165","155","30580","27570"
"In post","2021","Declared disabled","Veterinarian","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","Outside London","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","London","565","550","47870","43840"
"In post","2021","Declared non-disabled","Commercial","Outside London","2925","2820","39420","36970"
"In post","2021","Declared non-disabled","Commercial","Overseas","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","Unknown","10","5","[c]","[c]"
"In post","2021","Declared non-disabled","Communications","London","1270","1240","47270","43210"
"In post","2021","Declared non-disabled","Communications","Outside London","1275","1215","36440","34000"
"In post","2021","Declared non-disabled","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Corporate Finance","London","50","50","54550","54110"
"In post","2021","Declared non-disabled","Corporate Finance","Outside London","75","75","42290","40520"
"In post","2021","Declared non-disabled","Counter Fraud","London","260","255","43600","40000"
"In post","2021","Declared non-disabled","Counter Fraud","Outside London","350","330","33800","33530"
"In post","2021","Declared non-disabled","Digital, Data and Technology","London","2090","2050","50280","45840"
"In post","2021","Declared non-disabled","Digital, Data and Technology","Outside London","6275","6080","39890","37660"
"In post","2021","Declared non-disabled","Digital, Data and Technology","Overseas","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Economics","London","1165","1140","49360","51970"
"In post","2021","Declared non-disabled","Economics","Outside London","210","205","46610","49100"
"In post","2021","Declared non-disabled","Economics","Overseas","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","London","1805","1755","50250","46230"
"In post","2021","Declared non-disabled","Finance","Outside London","4620","4360","37640","33300"
"In post","2021","Declared non-disabled","Finance","Overseas","35","35","37640","33300"
"In post","2021","Declared non-disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","London","1635","1580","47530","42770"
"In post","2021","Declared non-disabled","Human Resources","Outside London","3650","3430","35500","31810"
"In post","2021","Declared non-disabled","Human Resources","Overseas","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Unknown","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Inspector of Education and Training","London","185","180","67700","75500"
"In post","2021","Declared non-disabled","Inspector of Education and Training","Outside London","535","520","67630","74730"
"In post","2021","Declared non-disabled","Intelligence Analysis","London","945","900","38720","35700"
"In post","2021","Declared non-disabled","Intelligence Analysis","Outside London","1400","1340","30340","27370"
"In post","2021","Declared non-disabled","Intelligence Analysis","Overseas","50","50","43860","40570"
"In post","2021","Declared non-disabled","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","London","160","155","53210","51000"
"In post","2021","Declared non-disabled","Internal Audit","Outside London","415","395","43420","41720"
"In post","2021","Declared non-disabled","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","International Trade","London","540","530","48660","51710"
"In post","2021","Declared non-disabled","International Trade","Outside London","155","150","39500","31820"
"In post","2021","Declared non-disabled","International Trade","Overseas","85","85","57120","54600"
"In post","2021","Declared non-disabled","Knowledge and Information Management","London","480","460","41660","37640"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Outside London","1115","1070","34370","32330"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","London","3230","3040","55730","53590"
"In post","2021","Declared non-disabled","Legal","Outside London","4915","4555","45410","46210"
"In post","2021","Declared non-disabled","Legal","Overseas","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Medicine","London","190","170","78430","82100"
"In post","2021","Declared non-disabled","Medicine","Outside London","1330","1190","50820","37890"
"In post","2021","Declared non-disabled","Medicine","Overseas","30","30","53500","52430"
"In post","2021","Declared non-disabled","Medicine","Unknown","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Operational Delivery","London","17275","16290","34790","30600"
"In post","2021","Declared non-disabled","Operational Delivery","Outside London","95545","87465","27930","25560"
"In post","2021","Declared non-disabled","Operational Delivery","Overseas","200","195","44960","35090"
"In post","2021","Declared non-disabled","Operational Delivery","Unknown","70","65","38700","40000"
"In post","2021","Declared non-disabled","Operational Research","London","265","255","49370","45730"
"In post","2021","Declared non-disabled","Operational Research","Outside London","520","495","42380","42130"
"In post","2021","Declared non-disabled","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Other","London","2775","2670","41460","35010"
"In post","2021","Declared non-disabled","Other","Outside London","11165","10695","28800","24880"
"In post","2021","Declared non-disabled","Other","Overseas","120","120","55350","64130"
"In post","2021","Declared non-disabled","Other","Unknown","15","15","[c]","[c]"
