"Status","Year","Disability","Ethnicity","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","AA/AO","Heterosexual / straight","615","535","22360","21050"
"In post","2021","Declared disabled","Asian","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","AA/AO","Undeclared","70","65","22190","21300"
"In post","2021","Declared disabled","Asian","AA/AO","Unknown","85","65","22090","21440"
"In post","2021","Declared disabled","Asian","EO","Heterosexual / straight","840","770","28630","28150"
"In post","2021","Declared disabled","Asian","EO","LGBO","35","35","28420","27570"
"In post","2021","Declared disabled","Asian","EO","Undeclared","65","60","28640","28170"
"In post","2021","Declared disabled","Asian","EO","Unknown","65","60","28800","27570"
"In post","2021","Declared disabled","Asian","G6/G7","Heterosexual / straight","205","195","58530","57410"
"In post","2021","Declared disabled","Asian","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","SEO/HEO","Heterosexual / straight","535","515","36880","36350"
"In post","2021","Declared disabled","Asian","SEO/HEO","LGBO","30","30","[c]","[c]"
"In post","2021","Declared disabled","Asian","SEO/HEO","Undeclared","30","30","37630","36720"
"In post","2021","Declared disabled","Asian","SEO/HEO","Unknown","40","40","37430","36670"
"In post","2021","Declared disabled","Asian","Unknown","Heterosexual / straight","85","80","30390","30210"
"In post","2021","Declared disabled","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","AA/AO","Heterosexual / straight","365","330","23750","23500"
"In post","2021","Declared disabled","Black","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Black","AA/AO","Undeclared","40","35","23110","23170"
"In post","2021","Declared disabled","Black","AA/AO","Unknown","35","30","24000","23150"
"In post","2021","Declared disabled","Black","EO","Heterosexual / straight","550","520","29300","29530"
"In post","2021","Declared disabled","Black","EO","LGBO","35","35","28660","27850"
"In post","2021","Declared disabled","Black","EO","Undeclared","35","35","29990","30460"
"In post","2021","Declared disabled","Black","EO","Unknown","55","50","30580","31060"
"In post","2021","Declared disabled","Black","G6/G7","Heterosexual / straight","95","95","57320","56360"
"In post","2021","Declared disabled","Black","G6/G7","LGBO","10","10","[c]","[c]"
