"Status","Year","Profession_of_post","Region_ITL1","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","Female","40","35","41460","41650"
"In post","2021","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","Male","35","35","46160","45870"
"In post","2021","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Female","20","20","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Male","20","20","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Lincolnshire","Female","10","10","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Lincolnshire","Male","10","10","[c]","[c]"
"In post","2021","Commercial","East of England","Bedfordshire and Hertfordshire","Female","10","10","[c]","[c]"
"In post","2021","Commercial","East of England","Bedfordshire and Hertfordshire","Male","10","10","[c]","[c]"
"In post","2021","Commercial","East of England","East Anglia","Female","125","120","36340","34850"
"In post","2021","Commercial","East of England","East Anglia","Male","100","95","40660","37110"
"In post","2021","Commercial","East of England","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Essex","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Inner London - East","Female","35","35","43890","38180"
"In post","2021","Commercial","London","Inner London - East","Male","40","40","46050","43490"
"In post","2021","Commercial","London","Inner London - West","Female","310","300","48260","42170"
"In post","2021","Commercial","London","Inner London - West","Male","265","260","52560","48020"
"In post","2021","Commercial","London","Outer London - East and North East","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Outer London - East and North East","Male","5","5","[c]","[c]"
"In post","2021","Commercial","London","Outer London - South","Female","85","85","42340","42070"
"In post","2021","Commercial","London","Outer London - South","Male","60","60","46220","45460"
"In post","2021","Commercial","London","Outer London - West and North West","Female","30","30","35930","31290"
"In post","2021","Commercial","London","Outer London - West and North West","Male","45","40","39230","34320"
"In post","2021","Commercial","North East (England)","Northumberland and Tyne and Wear","Female","15","15","[c]","[c]"
"In post","2021","Commercial","North East (England)","Northumberland and Tyne and Wear","Male","20","20","[c]","[c]"
"In post","2021","Commercial","North East (England)","Tees Valley and Durham","Female","45","40","41980","37100"
"In post","2021","Commercial","North East (England)","Tees Valley and Durham","Male","40","40","45100","42630"
"In post","2021","Commercial","North West (England)","Cheshire","Female","15","15","[c]","[c]"
"In post","2021","Commercial","North West (England)","Cheshire","Male","10","10","[c]","[c]"
"In post","2021","Commercial","North West (England)","Cumbria","Female","10","5","[c]","[c]"
"In post","2021","Commercial","North West (England)","Cumbria","Male","10","10","[c]","[c]"
"In post","2021","Commercial","North West (England)","Greater Manchester","Female","120","115","40160","38020"
"In post","2021","Commercial","North West (England)","Greater Manchester","Male","95","95","39430","36960"
"In post","2021","Commercial","North West (England)","Lancashire","Female","20","20","[c]","[c]"
"In post","2021","Commercial","North West (England)","Lancashire","Male","10","10","[c]","[c]"
"In post","2021","Commercial","North West (England)","Merseyside","Female","125","120","34770","34800"
"In post","2021","Commercial","North West (England)","Merseyside","Male","100","100","37560","34800"
"In post","2021","Commercial","Northern Ireland","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Overseas","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Overseas","Overseas","Male","30","30","[c]","[c]"
"In post","2021","Commercial","Scotland","Eastern Scotland","Female","40","35","30850","26210"
"In post","2021","Commercial","Scotland","Eastern Scotland","Male","55","50","35540","33090"
"In post","2021","Commercial","Scotland","Highlands and Islands","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","Highlands and Islands","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","North Eastern Scotland","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Scotland","North Eastern Scotland","Male","[c]","[c]","[c]","[c]"
