"Status","Year","Age","Ethnicity","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Operational Delivery","Outside London","15","10","[c]","[c]"
"In post","2021","16-19","Asian","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Tax","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","London","10","5","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Outside London","15","15","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Tax","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Project Delivery","London","[c]","[c]","[c]","[c]"
