"Status","Year","Function_of_post","Parent_department","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Competition and Markets Authority","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","G6/G7","Heterosexual / straight","55","55","64320","60850"
"In post","2021","Analysis","Competition and Markets Authority","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","SEO/HEO","Heterosexual / straight","35","35","38420","34870"
"In post","2021","Analysis","Competition and Markets Authority","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","EO","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","G6/G7","Heterosexual / straight","70","70","62290","58000"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","SEO/HEO","Heterosexual / straight","115","115","37410","35640"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","SEO/HEO","Unknown","40","40","36320","35640"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","G6/G7","Heterosexual / straight","50","50","62750","59730"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","SEO/HEO","Heterosexual / straight","50","50","42940","42020"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Education","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Analysis","Department for Education","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","EO","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Education","G6/G7","Heterosexual / straight","85","80","55270","53760"
"In post","2021","Analysis","Department for Education","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Education","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Education","G6/G7","Unknown","35","30","56630","54160"
"In post","2021","Analysis","Department for Education","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","SEO/HEO","Heterosexual / straight","185","175","39860","41990"
"In post","2021","Analysis","Department for Education","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Education","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Education","SEO/HEO","Unknown","25","25","[c]","[c]"
"In post","2021","Analysis","Department for Education","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","AA/AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","AA/AO","Unknown","20","20","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","EO","Heterosexual / straight","55","50","25380","24920"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","EO","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","EO","Unknown","55","50","25050","24920"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","G6/G7","Heterosexual / straight","45","45","52080","48990"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","G6/G7","Unknown","55","55","52640","48080"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","SEO/HEO","Heterosexual / straight","125","120","32960","31310"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","SEO/HEO","Undeclared","25","25","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","SEO/HEO","Unknown","155","145","32730","30220"
"In post","2021","Analysis","Department for International Trade","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","EO","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","G6/G7","Heterosexual / straight","75","70","53840","51970"
"In post","2021","Analysis","Department for International Trade","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","G6/G7","Unknown","20","20","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","SCS level","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","SEO/HEO","Heterosexual / straight","65","65","33200","31800"
"In post","2021","Analysis","Department for International Trade","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","SEO/HEO","Unknown","30","30","[c]","[c]"
"In post","2021","Analysis","Department for Transport","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","EO","Heterosexual / straight","40","40","28200","26780"
"In post","2021","Analysis","Department for Transport","EO","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","EO","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Transport","G6/G7","Heterosexual / straight","120","115","58070","54870"
"In post","2021","Analysis","Department for Transport","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport","G6/G7","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Transport","G6/G7","Unknown","25","25","[c]","[c]"
"In post","2021","Analysis","Department for Transport","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","SEO/HEO","Heterosexual / straight","145","140","36890","35060"
"In post","2021","Analysis","Department for Transport","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2021","Analysis","Department for Transport","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Transport","SEO/HEO","Unknown","35","35","35610","35060"
"In post","2021","Analysis","Department for Work and Pensions","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","EO","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","G6/G7","Heterosexual / straight","90","85","55890","53360"
"In post","2021","Analysis","Department of Health and Social Care","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","G6/G7","Unknown","115","110","58070","53360"
"In post","2021","Analysis","Department of Health and Social Care","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","SEO/HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","SEO/HEO","Unknown","25","20","[c]","[c]"
"In post","2021","Analysis","ESTYN","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","SEO/HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","G6/G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","SEO/HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","EO","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","G6/G7","Heterosexual / straight","175","165","57610","59160"
"In post","2021","Analysis","HM Revenue and Customs","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","G6/G7","Undeclared","20","20","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","G6/G7","Unknown","35","30","55950","59160"
"In post","2021","Analysis","HM Revenue and Customs","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","SEO/HEO","Heterosexual / straight","220","215","36640","36160"
"In post","2021","Analysis","HM Revenue and Customs","SEO/HEO","LGBO","30","30","35440","36160"
"In post","2021","Analysis","HM Revenue and Customs","SEO/HEO","Undeclared","30","30","36920","37750"
"In post","2021","Analysis","HM Revenue and Customs","SEO/HEO","Unknown","100","95","36460","36160"
"In post","2021","Analysis","HM Treasury","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","G6/G7","Heterosexual / straight","50","50","58790","55840"
"In post","2021","Analysis","HM Treasury","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","HM Treasury","G6/G7","Unknown","20","15","[c]","[c]"
"In post","2021","Analysis","HM Treasury","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","HM Treasury","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","SEO/HEO","Heterosexual / straight","35","35","34480","32640"
"In post","2021","Analysis","HM Treasury","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","HM Treasury","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","AA/AO","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","AA/AO","LGBO","[c]","[c]","[c]","[c]"
