"Status","Year","Function_of_post","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Operational Delivery","EO","EO","175","155","24920","24240"
"In post","2021","Analysis","Operational Delivery","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","G6/G7","G7","45","45","50660","49100"
"In post","2021","Analysis","Operational Delivery","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","SEO/HEO","HEO","190","180","30840","30130"
"In post","2021","Analysis","Operational Delivery","SEO/HEO","SEO","135","130","37410","36760"
"In post","2021","Analysis","Operational Research","AA/AO","AO","25","25","23110","21590"
"In post","2021","Analysis","Operational Research","EO","EO","20","20","26630","26460"
"In post","2021","Analysis","Operational Research","G6/G7","G6","30","30","69940","71000"
"In post","2021","Analysis","Operational Research","G6/G7","G7","245","235","53320","52580"
"In post","2021","Analysis","Operational Research","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","Analysis","Operational Research","SEO/HEO","HEO","165","160","32680","32040"
"In post","2021","Analysis","Operational Research","SEO/HEO","SEO","165","160","40820","38630"
"In post","2021","Analysis","Other","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Other","EO","EO","25","25","28430","28230"
"In post","2021","Analysis","Other","G6/G7","G6","95","85","91250","88150"
"In post","2021","Analysis","Other","G6/G7","G7","25","25","55540","57250"
"In post","2021","Analysis","Other","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","SEO/HEO","HEO","35","35","35760","35890"
"In post","2021","Analysis","Other","SEO/HEO","SEO","25","25","46730","48300"
"In post","2021","Analysis","Policy","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","EO","EO","20","15","29540","29500"
"In post","2021","Analysis","Policy","G6/G7","G6","30","30","68100","65730"
"In post","2021","Analysis","Policy","G6/G7","G7","100","90","54190","53760"
"In post","2021","Analysis","Policy","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","Analysis","Policy","SEO/HEO","HEO","80","80","35580","36370"
"In post","2021","Analysis","Policy","SEO/HEO","SEO","105","95","43810","44050"
"In post","2021","Analysis","Policy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Analysis","Psychology","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","AA/AO","AO","35","35","21170","21050"
"In post","2021","Analysis","Science and Engineering","EO","EO","95","90","25200","24920"
"In post","2021","Analysis","Science and Engineering","G6/G7","G6","25","25","63040","61850"
"In post","2021","Analysis","Science and Engineering","G6/G7","G7","125","115","50820","48080"
"In post","2021","Analysis","Science and Engineering","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","SEO/HEO","HEO","210","205","29630","29270"
"In post","2021","Analysis","Science and Engineering","SEO/HEO","SEO","170","160","37580","37320"
"In post","2021","Analysis","Social Research","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Social Research","EO","EO","15","15","24170","23050"
"In post","2021","Analysis","Social Research","G6/G7","G6","35","35","64830","64670"
"In post","2021","Analysis","Social Research","G6/G7","G7","220","205","54000","53130"
"In post","2021","Analysis","Social Research","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","Analysis","Social Research","SEO/HEO","HEO","310","300","31760","30130"
"In post","2021","Analysis","Social Research","SEO/HEO","SEO","275","260","38890","37520"
"In post","2021","Analysis","Statistics","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","AA/AO","AO","30","30","22090","21380"
"In post","2021","Analysis","Statistics","EO","EO","200","195","27320","27200"
"In post","2021","Analysis","Statistics","G6/G7","G6","120","120","65420","65440"
"In post","2021","Analysis","Statistics","G6/G7","G7","450","430","54490","53990"
"In post","2021","Analysis","Statistics","SCS level","SCS level","50","50","85140","78340"
"In post","2021","Analysis","Statistics","SEO/HEO","HEO","485","470","33230","32540"
"In post","2021","Analysis","Statistics","SEO/HEO","SEO","445","430","40130","39850"
"In post","2021","Analysis","Tax","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Tax","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Analysis","Unknown","EO","EO","20","20","27440","27500"
"In post","2021","Analysis","Unknown","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Analysis","Unknown","G6/G7","G7","30","30","57550","58130"
"In post","2021","Analysis","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","SEO/HEO","HEO","20","20","34940","35070"
"In post","2021","Analysis","Unknown","SEO/HEO","SEO","25","25","42020","41760"
"In post","2021","Commercial","Commercial","AA/AO","AA","30","25","21950","20810"
"In post","2021","Commercial","Commercial","AA/AO","AO","235","220","22580","21710"
"In post","2021","Commercial","Commercial","EO","EO","540","515","26660","26670"
"In post","2021","Commercial","Commercial","G6/G7","G6","210","205","70550","67250"
"In post","2021","Commercial","Commercial","G6/G7","G7","510","495","54700","53360"
"In post","2021","Commercial","Commercial","SCS level","SCS level","85","80","88720","78560"
"In post","2021","Commercial","Commercial","SEO/HEO","HEO","885","855","32560","33000"
"In post","2021","Commercial","Commercial","SEO/HEO","SEO","1380","1340","41990","40780"
"In post","2021","Commercial","Commercial","Unknown","Unknown","220","215","38620","37230"
"In post","2021","Commercial","Communications","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Commercial","Finance","EO","EO","20","20","25710","26690"
"In post","2021","Commercial","Finance","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","SEO/HEO","HEO","15","15","27710","26550"
"In post","2021","Commercial","Finance","SEO/HEO","SEO","20","20","40030","40480"
"In post","2021","Commercial","Human Resources","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","AA/AO","AO","175","165","21760","21130"
"In post","2021","Commercial","Knowledge and Information Management","EO","EO","175","170","27770","26670"
"In post","2021","Commercial","Knowledge and Information Management","G6/G7","G6","15","15","70030","69800"
"In post","2021","Commercial","Knowledge and Information Management","G6/G7","G7","35","35","57760","56730"
"In post","2021","Commercial","Knowledge and Information Management","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","SEO/HEO","HEO","170","165","34770","33300"
"In post","2021","Commercial","Knowledge and Information Management","SEO/HEO","SEO","90","90","43080","42170"
"In post","2021","Commercial","Knowledge and Information Management","Unknown","Unknown","20","20","65720","74000"
"In post","2021","Commercial","Operational Delivery","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","AA/AO","AO","60","60","21400","20280"
"In post","2021","Commercial","Operational Delivery","EO","EO","65","60","26710","26410"
"In post","2021","Commercial","Operational Delivery","G6/G7","G6","20","20","74990","77840"
"In post","2021","Commercial","Operational Delivery","G6/G7","G7","65","65","60830","59900"
"In post","2021","Commercial","Operational Delivery","SCS level","SCS level","15","15","120560","108970"
"In post","2021","Commercial","Operational Delivery","SEO/HEO","HEO","55","55","33070","33000"
"In post","2021","Commercial","Operational Delivery","SEO/HEO","SEO","120","115","43600","42750"
"In post","2021","Commercial","Other","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","EO","EO","10","10","23190","22640"
"In post","2021","Commercial","Other","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","Commercial","Other","G6/G7","G7","15","15","50090","48740"
"In post","2021","Commercial","Other","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","SEO/HEO","HEO","15","15","30150","30000"
"In post","2021","Commercial","Other","SEO/HEO","SEO","10","10","39810","40840"
"In post","2021","Commercial","Policy","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","G6/G7","G7","10","10","56410","56850"
"In post","2021","Commercial","Policy","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","G6/G7","G6","10","10","67520","69730"
"In post","2021","Commercial","Project Delivery","G6/G7","G7","20","20","53290","53690"
"In post","2021","Commercial","Project Delivery","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2021","Commercial","Project Delivery","SEO/HEO","SEO","35","35","40240","39860"
"In post","2021","Commercial","Property","EO","EO","10","10","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","EO","EO","5","5","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","G6/G7","G7","15","15","54400","54400"
"In post","2021","Commercial","Science and Engineering","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","SEO/HEO","HEO","30","30","32530","32080"
"In post","2021","Commercial","Science and Engineering","SEO/HEO","SEO","45","45","41570","42020"
"In post","2021","Commercial","Tax","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tax","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Commercial","Tax","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","EO","EO","30","30","27000","27500"
"In post","2021","Commercial","Unknown","G6/G7","G6","320","315","76990","73310"
"In post","2021","Commercial","Unknown","G6/G7","G7","470","465","54080","54150"
"In post","2021","Commercial","Unknown","SCS level","SCS level","480","470","93150","74000"
"In post","2021","Commercial","Unknown","SEO/HEO","HEO","45","45","33860","34550"
"In post","2021","Commercial","Unknown","SEO/HEO","SEO","90","85","39720","40440"
"In post","2021","Commercial","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Veterinarian","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","AA/AO","AA","15","15","19740","19560"
"In post","2021","Communications","Communications","AA/AO","AO","200","190","22240","21590"
"In post","2021","Communications","Communications","EO","EO","560","540","27400","26970"
"In post","2021","Communications","Communications","G6/G7","G6","210","205","67680","67030"
"In post","2021","Communications","Communications","G6/G7","G7","595","570","54680","54160"
"In post","2021","Communications","Communications","SCS level","SCS level","100","100","87070","81760"
"In post","2021","Communications","Communications","SEO/HEO","HEO","885","860","34190","33300"
"In post","2021","Communications","Communications","SEO/HEO","SEO","855","830","41370","40730"
"In post","2021","Communications","Corporate Finance","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Economics","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Communications","Human Resources","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","International Trade","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Knowledge and Information Management","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Operational Delivery","AA/AO","AA","15","15","20070","20070"
"In post","2021","Communications","Operational Delivery","AA/AO","AO","215","180","20850","21050"
"In post","2021","Communications","Operational Delivery","EO","EO","595","560","25880","25560"
"In post","2021","Communications","Operational Delivery","G6/G7","G6","15","15","65670","65240"
"In post","2021","Communications","Operational Delivery","G6/G7","G7","50","45","52210","52580"
"In post","2021","Communications","Operational Delivery","SCS level","SCS level","10","5","[c]","[c]"
"In post","2021","Communications","Operational Delivery","SEO/HEO","HEO","465","455","31620","31810"
"In post","2021","Communications","Operational Delivery","SEO/HEO","SEO","165","160","38340","38630"
"In post","2021","Communications","Other","EO","EO","165","160","20650","19600"
"In post","2021","Communications","Other","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Communications","Other","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","Communications","Other","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other","SEO/HEO","HEO","65","60","28320","27920"
"In post","2021","Communications","Other","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2021","Communications","Policy","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Policy","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Policy","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Communications","Policy","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Communications","Policy","SEO/HEO","SEO","15","15","39090","37910"
"In post","2021","Communications","Project Delivery","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Science and Engineering","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Tax","AA/AO","AO","45","40","20820","21110"
"In post","2021","Communications","Tax","EO","EO","1585","1535","25660","25560"
"In post","2021","Communications","Tax","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Communications","Tax","G6/G7","G7","15","15","51510","52580"
"In post","2021","Communications","Tax","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Tax","SEO/HEO","HEO","420","410","31620","31810"
"In post","2021","Communications","Tax","SEO/HEO","SEO","70","70","37860","38630"
"In post","2021","Communications","Unknown","AA/AO","AO","15","15","24290","24490"
"In post","2021","Communications","Unknown","EO","EO","290","285","26000","25560"
"In post","2021","Communications","Unknown","G6/G7","G6","45","45","66510","66440"
"In post","2021","Communications","Unknown","G6/G7","G7","105","100","55880","54700"
"In post","2021","Communications","Unknown","SCS level","SCS level","20","20","86680","81040"
"In post","2021","Communications","Unknown","SEO/HEO","HEO","195","190","32950","31810"
"In post","2021","Communications","Unknown","SEO/HEO","SEO","125","125","40690","40600"
"In post","2021","Counter Fraud","Counter Fraud","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","AA/AO","AO","10","10","21780","21590"
"In post","2021","Counter Fraud","Counter Fraud","EO","EO","80","75","27390","26780"
"In post","2021","Counter Fraud","Counter Fraud","G6/G7","G6","40","40","69940","67920"
"In post","2021","Counter Fraud","Counter Fraud","G6/G7","G7","65","65","56800","57730"
"In post","2021","Counter Fraud","Counter Fraud","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","SEO/HEO","HEO","295","285","34980","34390"
"In post","2021","Counter Fraud","Counter Fraud","SEO/HEO","SEO","170","165","42440","41650"
"In post","2021","Counter Fraud","Economics","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Finance","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Intelligence Analysis","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Intelligence Analysis","EO","EO","30","25","26740","25560"
"In post","2021","Counter Fraud","Intelligence Analysis","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Intelligence Analysis","G6/G7","G7","30","30","52940","52580"
"In post","2021","Counter Fraud","Intelligence Analysis","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Intelligence Analysis","SEO/HEO","HEO","80","75","33410","31810"
"In post","2021","Counter Fraud","Intelligence Analysis","SEO/HEO","SEO","45","40","38620","38630"
"In post","2021","Counter Fraud","Knowledge and Information Management","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Knowledge and Information Management","EO","EO","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Knowledge and Information Management","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Knowledge and Information Management","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Knowledge and Information Management","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Knowledge and Information Management","SEO/HEO","HEO","10","10","34540","35000"
"In post","2021","Counter Fraud","Knowledge and Information Management","SEO/HEO","SEO","10","10","41000","41800"
"In post","2021","Counter Fraud","Legal","AA/AO","AO","260","230","21160","20360"
"In post","2021","Counter Fraud","Legal","EO","EO","1555","1495","27190","25560"
"In post","2021","Counter Fraud","Legal","G6/G7","G6","30","30","66400","64670"
"In post","2021","Counter Fraud","Legal","G6/G7","G7","110","105","53980","52580"
"In post","2021","Counter Fraud","Legal","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","Counter Fraud","Legal","SEO/HEO","HEO","1010","970","33430","31810"
"In post","2021","Counter Fraud","Legal","SEO/HEO","SEO","365","355","40080","38900"
"In post","2021","Counter Fraud","Operational Delivery","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Operational Delivery","AA/AO","AO","525","455","21510","21440"
"In post","2021","Counter Fraud","Operational Delivery","EO","EO","1120","1035","26560","25560"
"In post","2021","Counter Fraud","Operational Delivery","G6/G7","G6","40","40","63640","64670"
"In post","2021","Counter Fraud","Operational Delivery","G6/G7","G7","105","100","52660","52580"
"In post","2021","Counter Fraud","Operational Delivery","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Operational Delivery","SEO/HEO","HEO","795","740","32500","31810"
"In post","2021","Counter Fraud","Operational Delivery","SEO/HEO","SEO","290","280","39040","38630"
"In post","2021","Counter Fraud","Operational Research","EO","EO","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Operational Research","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Operational Research","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other","AA/AO","AO","20","15","24510","25630"
"In post","2021","Counter Fraud","Other","EO","EO","100","90","27650","27310"
"In post","2021","Counter Fraud","Other","G6/G7","G6","25","20","64270","64670"
"In post","2021","Counter Fraud","Other","G6/G7","G7","70","65","55390","53640"
"In post","2021","Counter Fraud","Other","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Other","SEO/HEO","HEO","80","75","33060","31810"
"In post","2021","Counter Fraud","Other","SEO/HEO","SEO","40","40","39060","38630"
"In post","2021","Counter Fraud","Policy","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Policy","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Policy","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Policy","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Policy","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Policy","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Tax","AA/AO","AO","20","15","21890","21440"
"In post","2021","Counter Fraud","Tax","EO","EO","440","405","27190","25560"
"In post","2021","Counter Fraud","Tax","G6/G7","G6","125","120","67300","64670"
"In post","2021","Counter Fraud","Tax","G6/G7","G7","390","370","54130","52580"
"In post","2021","Counter Fraud","Tax","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Tax","SEO/HEO","HEO","640","605","33050","31810"
"In post","2021","Counter Fraud","Tax","SEO/HEO","SEO","285","270","39610","38630"
"In post","2021","Counter Fraud","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","EO","EO","70","70","26750","25560"
"In post","2021","Counter Fraud","Unknown","G6/G7","G6","15","15","65640","65310"
"In post","2021","Counter Fraud","Unknown","G6/G7","G7","40","35","55990","54700"
"In post","2021","Counter Fraud","Unknown","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","SEO/HEO","HEO","75","75","33960","34550"
"In post","2021","Counter Fraud","Unknown","SEO/HEO","SEO","10","10","39000","38630"
"In post","2021","Debt","Finance","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Finance","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Operational Delivery","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Operational Delivery","AA/AO","AO","2405","2095","21220","20140"
"In post","2021","Debt","Operational Delivery","EO","EO","890","805","26900","25560"
"In post","2021","Debt","Operational Delivery","G6/G7","G6","10","10","72800","64670"
"In post","2021","Debt","Operational Delivery","G6/G7","G7","30","30","51030","52580"
"In post","2021","Debt","Operational Delivery","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Operational Delivery","SEO/HEO","HEO","180","165","32680","31810"
"In post","2021","Debt","Operational Delivery","SEO/HEO","SEO","60","55","39260","38630"
