"Status","Year","Profession_of_post","Region_ITL1","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","East Midlands (England)","Outside London","Female","65","65","40050","39040"
"In post","2021","Commercial","East Midlands (England)","Outside London","Male","65","65","45880","46870"
"In post","2021","Commercial","East of England","Outside London","Female","140","130","36900","35630"
"In post","2021","Commercial","East of England","Outside London","Male","110","110","41660","37320"
"In post","2021","Commercial","London","London","Female","465","450","45900","41330"
"In post","2021","Commercial","London","London","Male","415","410","49660","45810"
"In post","2021","Commercial","North East (England)","Outside London","Female","60","55","40740","37030"
"In post","2021","Commercial","North East (England)","Outside London","Male","60","60","45420","42630"
"In post","2021","Commercial","North West (England)","Outside London","Female","290","275","37930","35760"
"In post","2021","Commercial","North West (England)","Outside London","Male","225","220","39190","36500"
"In post","2021","Commercial","Northern Ireland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Overseas","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Overseas","Overseas","Male","30","30","[c]","[c]"
"In post","2021","Commercial","Scotland","Outside London","Female","140","135","35050","33930"
"In post","2021","Commercial","Scotland","Outside London","Male","140","135","36290","34060"
"In post","2021","Commercial","South East (England)","Outside London","Female","255","245","36200","34800"
"In post","2021","Commercial","South East (England)","Outside London","Male","205","205","41270","40330"
"In post","2021","Commercial","South West (England)","Outside London","Female","900","845","37640","34800"
"In post","2021","Commercial","South West (England)","Outside London","Male","820","805","41580","39650"
"In post","2021","Commercial","Unknown","Unknown","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Wales","Outside London","Female","165","150","33520","31090"
"In post","2021","Commercial","Wales","Outside London","Male","165","160","36480","32180"
"In post","2021","Commercial","West Midlands (England)","Outside London","Female","140","135","38160","36780"
"In post","2021","Commercial","West Midlands (England)","Outside London","Male","110","105","40810","38280"
"In post","2021","Commercial","Yorkshire and The Humber","Outside London","Female","220","210","39360","36820"
"In post","2021","Commercial","Yorkshire and The Humber","Outside London","Male","150","150","41500","37240"
"In post","2021","Communications","East Midlands (England)","Outside London","Female","70","65","36170","33960"
"In post","2021","Communications","East Midlands (England)","Outside London","Male","35","35","36600","34610"
"In post","2021","Communications","East of England","Outside London","Female","45","45","34610","32220"
"In post","2021","Communications","East of England","Outside London","Male","45","45","33800","32640"
"In post","2021","Communications","London","London","Female","1235","1195","45780","42200"
"In post","2021","Communications","London","London","Male","855","850","46940","42700"
"In post","2021","Communications","North East (England)","Outside London","Female","80","70","32660","30090"
"In post","2021","Communications","North East (England)","Outside London","Male","40","40","35470","31840"
"In post","2021","Communications","North West (England)","Outside London","Female","125","115","36400","33620"
"In post","2021","Communications","North West (England)","Outside London","Male","80","80","36330","35110"
"In post","2021","Communications","Northern Ireland","Outside London","Female","20","20","[c]","[c]"
"In post","2021","Communications","Northern Ireland","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Communications","Overseas","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","Outside London","Female","45","45","38030","36110"
"In post","2021","Communications","Scotland","Outside London","Male","25","25","[c]","[c]"
"In post","2021","Communications","South East (England)","Outside London","Female","160","150","33940","33000"
"In post","2021","Communications","South East (England)","Outside London","Male","135","135","32690","31200"
"In post","2021","Communications","South West (England)","Outside London","Female","160","150","35050","33320"
"In post","2021","Communications","South West (England)","Outside London","Male","155","150","36060","33790"
"In post","2021","Communications","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","Outside London","Female","215","195","36560","33840"
"In post","2021","Communications","Wales","Outside London","Male","140","140","37260","34490"
"In post","2021","Communications","West Midlands (England)","Outside London","Female","95","90","40480","38000"
"In post","2021","Communications","West Midlands (England)","Outside London","Male","50","50","36020","33100"
"In post","2021","Communications","Yorkshire and The Humber","Outside London","Female","70","65","42660","39930"
"In post","2021","Communications","Yorkshire and The Humber","Outside London","Male","60","60","40650","36970"
"In post","2021","Corporate Finance","East of England","Outside London","Female","10","5","[c]","[c]"
"In post","2021","Corporate Finance","East of England","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","London","Female","35","30","55120","54110"
"In post","2021","Corporate Finance","London","London","Male","45","45","56060","54380"
"In post","2021","Corporate Finance","North West (England)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","North West (England)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Scotland","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Corporate Finance","Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South East (England)","Outside London","Female","15","15","[c]","[c]"
"In post","2021","Corporate Finance","South East (England)","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Corporate Finance","South West (England)","Outside London","Female","20","20","[c]","[c]"
