"Status","Year","Ethnicity","Function_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","Female","Heterosexual / straight","175","165","42540","38020"
"In post","2021","Asian","Analysis","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Female","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Male","Heterosexual / straight","190","185","42190","39730"
"In post","2021","Asian","Analysis","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Female","Heterosexual / straight","125","120","40590","35530"
"In post","2021","Asian","Commercial","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","Female","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","Male","Heterosexual / straight","115","115","43160","37950"
"In post","2021","Asian","Commercial","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Female","Heterosexual / straight","180","175","35890","31810"
"In post","2021","Asian","Communications","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Communications","Female","Unknown","20","20","[c]","[c]"
"In post","2021","Asian","Communications","Male","Heterosexual / straight","240","240","30380","25560"
"In post","2021","Asian","Communications","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Communications","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","Asian","Communications","Male","Unknown","25","25","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Female","Heterosexual / straight","200","185","32660","31810"
"In post","2021","Asian","Counter Fraud","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Female","Unknown","75","70","28960","28130"
"In post","2021","Asian","Counter Fraud","Male","Heterosexual / straight","260","260","32990","31810"
"In post","2021","Asian","Counter Fraud","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Male","Unknown","45","45","33000","31810"
"In post","2021","Asian","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Female","Heterosexual / straight","120","105","23150","21440"
"In post","2021","Asian","Debt","Female","LGBO","10","5","[c]","[c]"
"In post","2021","Asian","Debt","Female","Undeclared","20","20","[c]","[c]"
"In post","2021","Asian","Debt","Female","Unknown","65","55","24680","25560"
"In post","2021","Asian","Debt","Male","Heterosexual / straight","90","85","22870","20140"
"In post","2021","Asian","Debt","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Debt","Male","Unknown","30","25","28590","25560"
"In post","2021","Asian","Debt","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Female","Heterosexual / straight","255","250","41830","36780"
"In post","2021","Asian","Digital, Data & Technology","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Female","Undeclared","15","15","[c]","[c]"
