"Status","Year","Disability","Function_of_post","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Female","10","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","Female","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","Male","45","40","45940","42020"
"In post","2021","Declared disabled","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Human Resources","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","Female","30","30","31830","30660"
"In post","2021","Declared disabled","Analysis","Operational Delivery","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
