"Status","Year","Disability","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","London","Heterosexual / straight","65","60","46410","41950"
"In post","2021","Declared disabled","Commercial","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outside London","Heterosexual / straight","320","305","39800","38000"
"In post","2021","Declared disabled","Commercial","Outside London","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outside London","Undeclared","50","50","37790","36500"
"In post","2021","Declared disabled","Commercial","Outside London","Unknown","35","30","33760","31810"
"In post","2021","Declared disabled","Commercial","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","Heterosexual / straight","65","60","42530","39390"
"In post","2021","Declared disabled","Communications","London","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Outside London","Heterosexual / straight","125","120","34240","30870"
"In post","2021","Declared disabled","Communications","Outside London","LGBO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Outside London","Heterosexual / straight","40","35","33640","31000"
"In post","2021","Declared disabled","Counter Fraud","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","London","Heterosexual / straight","165","165","46530","42850"
"In post","2021","Declared disabled","Digital, Data and Technology","London","LGBO","30","25","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","London","Undeclared","30","30","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","London","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Outside London","Heterosexual / straight","585","560","37610","34030"
"In post","2021","Declared disabled","Digital, Data and Technology","Outside London","LGBO","80","75","36100","34260"
"In post","2021","Declared disabled","Digital, Data and Technology","Outside London","Undeclared","85","80","36930","35000"
"In post","2021","Declared disabled","Digital, Data and Technology","Outside London","Unknown","60","60","34250","33690"
"In post","2021","Declared disabled","Digital, Data and Technology","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
