"Status","Year","Function_of_post","Organisation","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Health and Safety Executive","South and West Derbyshire","5","5","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","York","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Tower Hamlets","5","5","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Croydon","5","5","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Camden and City of London","15","15","42310","36160"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Croydon","30","30","47610","41760"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Greater Manchester South West","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Hackney and Newham","10","10","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Liverpool","75","70","39900","38630"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Manchester","160","150","38490","33690"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Sefton","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Southend-on-Sea","25","25","43620","38630"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Tower Hamlets","120","115","47870","41760"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Westminster","190","185","47980","41760"
"In post","2021","Analysis","HM Treasury (excl. agencies)","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","Westminster","125","120","50770","52680"
"In post","2021","Analysis","Insolvency Service","Birmingham","5","5","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Maritime and Coastguard Agency","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Bath and North East Somerset, North Somerset and South Gloucestershire","55","55","40630","38530"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Buckinghamshire CC","10","10","35540","33180"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Central Hampshire","15","15","37120","33460"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Portsmouth","15","15","34150","31480"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Westminster","85","85","43990","40640"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Westminster","190","190","46840","46510"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Leeds","35","35","32450","30430"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Tower Hamlets","320","310","46810","41090"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Westminster","30","30","45060","40680"
"In post","2021","Analysis","National Savings and Investments","Westminster","10","10","38090","33290"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Birmingham","5","5","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Bristol, City of","90","85","39150","32010"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Manchester","10","10","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Nottingham","10","10","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Westminster","35","35","45600","42850"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","York","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Glasgow City","10","10","54880","63750"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Tower Hamlets","55","55","54980","52000"
"In post","2021","Analysis","Office of Rail and Road","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Manchester","5","5","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Tower Hamlets","30","30","53850","55430"
"In post","2021","Analysis","Office of Rail and Road","York","5","5","[c]","[c]"
"In post","2021","Analysis","Planning Inspectorate","Bristol, City of","10","10","[c]","[c]"
"In post","2021","Analysis","Registers of Scotland","City of Edinburgh","20","20","38010","36780"
"In post","2021","Analysis","Registers of Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","East Cumbria","10","10","29950","30040"
"In post","2021","Analysis","Rural Payments Agency","Tyneside","5","5","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","York","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Courts and Tribunals Service","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","Westminster","25","25","44760","38200"
"In post","2021","Analysis","UK Intellectual Property Office","Monmouthshire and Newport","15","15","49150","55600"
"In post","2021","Analysis","UK Intellectual Property Office","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","City of Edinburgh","10","10","44440","45040"
"In post","2021","Analysis","United Kingdom Statistics Authority","Monmouthshire and Newport","1025","975","36210","36030"
"In post","2021","Analysis","United Kingdom Statistics Authority","South Hampshire","440","420","37170","36030"
"In post","2021","Analysis","United Kingdom Statistics Authority","Westminster","225","225","40680","32540"
"In post","2021","Analysis","Valuation Office Agency","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","Tower Hamlets","20","20","51160","46630"
"In post","2021","Analysis","Valuation Office Agency","Tyneside","15","15","45110","46750"
"In post","2021","Analysis","Valuation Office Agency","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales Office","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Birmingham","15","15","53360","49810"
"In post","2021","Analysis","Water Services Regulation Authority","Camden and City of London","20","20","71600","71740"
"In post","2021","Analysis","Welsh Revenue Authority","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wilton Park","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","South Nottinghamshire","15","15","26080","24920"
"In post","2021","Commercial","Animal and Plant Health Agency","South West Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","West Surrey","15","15","34470","28600"
"In post","2021","Commercial","Animal and Plant Health Agency","Worcestershire","10","10","35070","34450"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Bath and North East Somerset, North Somerset and South Gloucestershire","25","25","85380","82000"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Berkshire","5","5","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Birmingham","15","15","89790","74000"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Blackpool","30","30","56540","49700"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Bristol, City of","5","5","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Buckinghamshire CC","10","10","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Cambridgeshire CC","5","5","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Central Hampshire","30","25","68020","67960"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Coventry","5","5","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Croydon","20","15","70260","68170"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Darlington","10","10","68480","66810"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Glasgow City","15","15","64460","67610"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Greater Manchester South West","50","50","61190","53460"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Leeds","65","60","67060","64500"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Lewisham and Southwark","10","10","114770","126890"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Liverpool","70","70","64390","55840"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Manchester","35","35","62540","56520"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Monmouthshire and Newport","15","15","55810","51670"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Norwich and East Norfolk","55","55","55100","52050"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Nottingham","10","10","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Portsmouth","15","15","67990","64500"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Sheffield","40","40","61060","50760"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","South Hampshire","5","5","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","South Lanarkshire","20","20","65780","62130"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Telford and Wrekin","10","10","70410","54400"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Tower Hamlets","100","95","53630","54700"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Tyneside","15","15","60310","56470"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Unknown","15","15","62420","54700"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Westminster","640","630","78260","69150"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Wiltshire","50","50","69720","63870"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","York","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Suffolk","10","10","42600","40320"
"In post","2021","Commercial","Charity Commission","Sefton","5","5","[c]","[c]"
