"Status","Year","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","AA/AO","AA","30","25","21950","20810"
"In post","2021","Commercial","AA/AO","AO","240","225","22600","21710"
"In post","2021","Commercial","EO","EO","710","675","25970","26400"
"In post","2021","Commercial","G6/G7","G6","300","295","70110","68260"
"In post","2021","Commercial","G6/G7","G7","715","695","54330","53430"
"In post","2021","Commercial","SCS level","SCS level","100","100","89570","81130"
"In post","2021","Commercial","SEO/HEO","HEO","1295","1250","32210","32730"
"In post","2021","Commercial","SEO/HEO","SEO","1750","1695","41680","40780"
"In post","2021","Commercial","Unknown","Unknown","220","215","38620","37230"
"In post","2021","Communications","AA/AO","AA","15","15","19890","19560"
"In post","2021","Communications","AA/AO","AO","225","215","22400","21590"
"In post","2021","Communications","EO","EO","635","605","27460","27140"
"In post","2021","Communications","G6/G7","G6","240","235","67770","67560"
"In post","2021","Communications","G6/G7","G7","700","675","54730","54380"
"In post","2021","Communications","SCS level","SCS level","115","115","86780","80910"
"In post","2021","Communications","SEO/HEO","HEO","1025","995","34440","33510"
"In post","2021","Communications","SEO/HEO","SEO","995","970","41570","41010"
"In post","2021","Communications","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Corporate Finance","EO","EO","20","20","26180","26390"
"In post","2021","Corporate Finance","G6/G7","G6","15","15","69460","66430"
"In post","2021","Corporate Finance","G6/G7","G7","55","50","54640","54650"
"In post","2021","Corporate Finance","SCS level","SCS level","10","10","95250","95400"
"In post","2021","Corporate Finance","SEO/HEO","HEO","30","30","32120","29550"
"In post","2021","Corporate Finance","SEO/HEO","SEO","30","30","42170","41990"
"In post","2021","Counter Fraud","AA/AO","AA","15","10","18720","17990"
"In post","2021","Counter Fraud","AA/AO","AO","40","35","21600","21430"
"In post","2021","Counter Fraud","EO","EO","185","175","26610","26090"
"In post","2021","Counter Fraud","G6/G7","G6","45","45","70120","68260"
"In post","2021","Counter Fraud","G6/G7","G7","75","75","56720","57680"
"In post","2021","Counter Fraud","SCS level","SCS level","10","10","91470","80000"
"In post","2021","Counter Fraud","SEO/HEO","HEO","325","315","34760","34260"
"In post","2021","Counter Fraud","SEO/HEO","SEO","200","190","42130","41280"
"In post","2021","Digital, Data and Technology","AA/AO","AA","55","55","20170","19900"
"In post","2021","Digital, Data and Technology","AA/AO","AO","390","375","22160","21590"
"In post","2021","Digital, Data and Technology","EO","EO","2220","2145","27500","26670"
"In post","2021","Digital, Data and Technology","G6/G7","G6","705","695","68200","66970"
"In post","2021","Digital, Data and Technology","G6/G7","G7","2755","2710","55810","53870"
"In post","2021","Digital, Data and Technology","SCS level","SCS level","225","220","91190","85000"
"In post","2021","Digital, Data and Technology","SEO/HEO","HEO","3380","3270","33670","33180"
"In post","2021","Digital, Data and Technology","SEO/HEO","SEO","3495","3420","41700","41090"
"In post","2021","Digital, Data and Technology","Unknown","Unknown","65","65","36010","33400"
"In post","2021","Economics","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Economics","AA/AO","AO","85","85","22640","22500"
"In post","2021","Economics","EO","EO","120","120","27000","26750"
"In post","2021","Economics","G6/G7","G6","240","225","70130","69240"
"In post","2021","Economics","G6/G7","G7","710","690","56060","55730"
"In post","2021","Economics","SCS level","SCS level","95","90","88830","82390"
"In post","2021","Economics","SEO/HEO","HEO","770","765","33840","33620"
"In post","2021","Economics","SEO/HEO","SEO","140","135","41070","40650"
"In post","2021","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA/AO","AA","75","60","19720","20070"
"In post","2021","Finance","AA/AO","AO","1090","925","21530","21440"
"In post","2021","Finance","EO","EO","1630","1540","26570","26670"
"In post","2021","Finance","G6/G7","G6","590","580","68030","67470"
"In post","2021","Finance","G6/G7","G7","1550","1515","55670","54840"
"In post","2021","Finance","SCS level","SCS level","280","275","90570","83380"
"In post","2021","Finance","SEO/HEO","HEO","1900","1830","33590","33300"
"In post","2021","Finance","SEO/HEO","SEO","1915","1855","41960","40970"
"In post","2021","Finance","Unknown","Unknown","135","130","41340","39860"
"In post","2021","Human Resources","AA/AO","AA","70","65","19830","19560"
"In post","2021","Human Resources","AA/AO","AO","1140","1045","21770","21130"
"In post","2021","Human Resources","EO","EO","1380","1300","27120","26710"
"In post","2021","Human Resources","G6/G7","G6","435","425","67210","66230"
"In post","2021","Human Resources","G6/G7","G7","1230","1185","55170","54540"
"In post","2021","Human Resources","SCS level","SCS level","195","190","89040","82680"
"In post","2021","Human Resources","SEO/HEO","HEO","1930","1835","33090","32960"
"In post","2021","Human Resources","SEO/HEO","SEO","1445","1385","41860","41040"
"In post","2021","Human Resources","Unknown","Unknown","40","40","41740","41030"
"In post","2021","Inspector of Education and Training","G6/G7","G6","145","140","80560","85550"
"In post","2021","Inspector of Education and Training","G6/G7","G7","370","365","73340","75500"
"In post","2021","Inspector of Education and Training","SCS level","SCS level","10","10","131880","128660"
"In post","2021","Inspector of Education and Training","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","SEO/HEO","SEO","335","325","51070","51360"
"In post","2021","Intelligence Analysis","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","AA/AO","AO","130","115","23340","21900"
"In post","2021","Intelligence Analysis","EO","EO","1565","1480","27800","27370"
"In post","2021","Intelligence Analysis","G6/G7","G6","100","95","67470","66230"
"In post","2021","Intelligence Analysis","G6/G7","G7","310","305","55720","54600"
"In post","2021","Intelligence Analysis","SCS level","SCS level","25","25","80820","78490"
"In post","2021","Intelligence Analysis","SEO/HEO","HEO","840","815","34180","33420"
"In post","2021","Intelligence Analysis","SEO/HEO","SEO","430","420","42470","42230"
"In post","2021","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","AO","20","20","29060","31650"
"In post","2021","Internal Audit","EO","EO","50","45","28360","26930"
"In post","2021","Internal Audit","G6/G7","G6","70","70","67260","65080"
"In post","2021","Internal Audit","G6/G7","G7","130","125","54410","54130"
"In post","2021","Internal Audit","SCS level","SCS level","25","25","91310","88060"
"In post","2021","Internal Audit","SEO/HEO","HEO","175","170","34320","33930"
"In post","2021","Internal Audit","SEO/HEO","SEO","305","285","44070","43200"
"In post","2021","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","EO","EO","100","95","26910","26510"
"In post","2021","International Trade","G6/G7","G6","170","165","63170","62170"
"In post","2021","International Trade","G6/G7","G7","430","425","52640","51970"
"In post","2021","International Trade","SCS level","SCS level","115","110","85670","75570"
"In post","2021","International Trade","SEO/HEO","HEO","355","350","32550","32120"
"In post","2021","International Trade","SEO/HEO","SEO","300","300","38820","38540"
"In post","2021","Knowledge and Information Management","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Knowledge and Information Management","AA/AO","AO","330","315","22150","21570"
"In post","2021","Knowledge and Information Management","EO","EO","505","480","26950","26670"
"In post","2021","Knowledge and Information Management","G6/G7","G6","95","90","68650","67410"
"In post","2021","Knowledge and Information Management","G6/G7","G7","310","290","53950","53400"
"In post","2021","Knowledge and Information Management","SCS level","SCS level","20","20","84320","78820"
"In post","2021","Knowledge and Information Management","SEO/HEO","HEO","575","560","33370","33300"
"In post","2021","Knowledge and Information Management","SEO/HEO","SEO","480","460","41030","40580"
"In post","2021","Knowledge and Information Management","Unknown","Unknown","60","60","47100","44000"
"In post","2021","Legal","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","AO","305","270","21500","21400"
"In post","2021","Legal","EO","EO","1940","1870","27400","25670"
"In post","2021","Legal","G6/G7","G6","1335","1245","69880","68110"
"In post","2021","Legal","G6/G7","G7","4590","4230","56380","55610"
"In post","2021","Legal","SCS level","SCS level","390","375","88390","82870"
"In post","2021","Legal","SEO/HEO","HEO","1875","1805","34260","33840"
"In post","2021","Legal","SEO/HEO","SEO","1700","1555","42890","41870"
"In post","2021","Legal","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Medicine","AA/AO","AA","55","50","18920","18760"
"In post","2021","Medicine","AA/AO","AO","290","275","22690","22640"
"In post","2021","Medicine","EO","EO","335","305","30550","30620"
"In post","2021","Medicine","G6/G7","G6","195","170","79280","74730"
"In post","2021","Medicine","G6/G7","G7","475","410","72280","76200"
"In post","2021","Medicine","SCS level","SCS level","420","365","106790","101230"
"In post","2021","Medicine","SEO/HEO","HEO","490","450","36530","37890"
"In post","2021","Medicine","SEO/HEO","SEO","240","220","42980","44500"
"In post","2021","Medicine","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","AA/AO","AA","11645","10185","20010","20600"
"In post","2021","Operational Delivery","AA/AO","AO","69290","62505","23450","21590"
"In post","2021","Operational Delivery","EO","EO","45090","41840","27760","26880"
"In post","2021","Operational Delivery","G6/G7","G6","1625","1585","69800","67360"
"In post","2021","Operational Delivery","G6/G7","G7","4920","4780","55120","53430"
"In post","2021","Operational Delivery","SCS level","SCS level","655","640","92990","86780"
"In post","2021","Operational Delivery","SEO/HEO","HEO","20395","19310","33720","32740"
"In post","2021","Operational Delivery","SEO/HEO","SEO","10285","9905","43020","41000"
"In post","2021","Operational Delivery","Unknown","Unknown","12205","11285","29920","28430"
"In post","2021","Operational Research","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","AA/AO","AO","30","30","22720","21590"
"In post","2021","Operational Research","EO","EO","55","55","27900","26670"
"In post","2021","Operational Research","G6/G7","G6","60","60","68230","68700"
"In post","2021","Operational Research","G6/G7","G7","445","420","52430","52420"
"In post","2021","Operational Research","SCS level","SCS level","25","25","80080","79140"
"In post","2021","Operational Research","SEO/HEO","HEO","285","280","32660","32220"
"In post","2021","Operational Research","SEO/HEO","SEO","280","270","40910","39420"
"In post","2021","Operational Research","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","AA/AO","AA","2150","2040","19430","19300"
"In post","2021","Other","AA/AO","AO","5695","5410","21940","21130"
"In post","2021","Other","EO","EO","5150","4905","26400","26670"
"In post","2021","Other","G6/G7","G6","685","650","72570","68720"
"In post","2021","Other","G6/G7","G7","1270","1240","55840","54700"
"In post","2021","Other","SCS level","SCS level","270","260","94350","87250"
"In post","2021","Other","SEO/HEO","HEO","3510","3390","33410","33300"
"In post","2021","Other","SEO/HEO","SEO","1880","1815","41150","40850"
"In post","2021","Other","Unknown","Unknown","2060","2055","38270","34660"
"In post","2021","Planning","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Planning","EO","EO","20","20","27850","27850"
"In post","2021","Planning","G6/G7","G6","15","15","65760","65390"
"In post","2021","Planning","G6/G7","G7","45","45","54840","53650"
"In post","2021","Planning","SCS level","SCS level","10","10","88110","80630"
"In post","2021","Planning","SEO/HEO","HEO","45","40","34970","34860"
"In post","2021","Planning","SEO/HEO","SEO","60","55","41630","40720"
"In post","2021","Planning Inspectors","G6/G7","G6","205","175","64020","58810"
"In post","2021","Planning Inspectors","G6/G7","G7","140","130","48610","47660"
"In post","2021","Planning Inspectors","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Policy","AA/AO","AA","50","50","18850","17610"
"In post","2021","Policy","AA/AO","AO","745","710","23780","23830"
"In post","2021","Policy","EO","EO","2690","2610","28300","28490"
"In post","2021","Policy","G6/G7","G6","3270","3160","66830","66200"
"In post","2021","Policy","G6/G7","G7","8110","7900","55110","54110"
"In post","2021","Policy","SCS level","SCS level","1835","1775","85630","77730"
"In post","2021","Policy","SEO/HEO","HEO","7075","6925","34110","33640"
"In post","2021","Policy","SEO/HEO","SEO","5290","5135","41320","40510"
"In post","2021","Policy","Unknown","Unknown","30","30","43910","39880"
"In post","2021","Project Delivery","AA/AO","AA","15","15","19680","19560"
"In post","2021","Project Delivery","AA/AO","AO","305","290","21840","21430"
"In post","2021","Project Delivery","EO","EO","1905","1830","26540","26670"
"In post","2021","Project Delivery","G6/G7","G6","1100","1075","66970","66090"
"In post","2021","Project Delivery","G6/G7","G7","3235","3160","53460","53720"
"In post","2021","Project Delivery","SCS level","SCS level","430","420","92030","85440"
"In post","2021","Project Delivery","SEO/HEO","HEO","4000","3870","32950","33300"
"In post","2021","Project Delivery","SEO/HEO","SEO","4485","4345","40380","40580"
"In post","2021","Project Delivery","Unknown","Unknown","550","535","43170","40640"
"In post","2021","Property","AA/AO","AA","610","590","18000","17230"
"In post","2021","Property","AA/AO","AO","405","370","22150","21160"
"In post","2021","Property","EO","EO","1505","1410","27020","26560"
"In post","2021","Property","G6/G7","G6","340","335","66380","65370"
"In post","2021","Property","G6/G7","G7","815","795","54650","54540"
"In post","2021","Property","SCS level","SCS level","70","65","90360","81660"
"In post","2021","Property","SEO/HEO","HEO","1755","1690","33250","33300"
"In post","2021","Property","SEO/HEO","SEO","1420","1355","42050","41770"
