"Status","Year","Age","Ethnicity","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Attorney General's Departments","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Attorney General's Departments","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Attorney General's Departments","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Attorney General's Departments","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Attorney General's Departments","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Attorney General's Departments","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Attorney General's Departments","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Attorney General's Departments","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cabinet Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cabinet Office","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Business, Energy and Industrial Strategy","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Business, Energy and Industrial Strategy","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Business, Energy and Industrial Strategy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Business, Energy and Industrial Strategy","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Business, Energy and Industrial Strategy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Business, Energy and Industrial Strategy","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Education","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Education","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Education","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Education","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Environment, Food and Rural Affairs","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Environment, Food and Rural Affairs","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Environment, Food and Rural Affairs","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Environment, Food and Rural Affairs","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Environment, Food and Rural Affairs","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Transport","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Transport","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Transport","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Transport","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Transport","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Work and Pensions","East Midlands (England)","5","5","[c]","[c]"
"In post","2021","16-19","Asian","Department for Work and Pensions","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Work and Pensions","London","5","5","[c]","[c]"
"In post","2021","16-19","Asian","Department for Work and Pensions","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Work and Pensions","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Work and Pensions","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Work and Pensions","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Work and Pensions","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Work and Pensions","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Work and Pensions","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Work and Pensions","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department of Health and Social Care","East of England","[c]","[c]","[c]","[c]"
