"Status","Year","Age","Ethnicity","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Bedfordshire and Hertfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Bedfordshire and Hertfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Berkshire, Buckinghamshire and Oxfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Berkshire, Buckinghamshire and Oxfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cheshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cheshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Devon","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Dorset and Somerset","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Dorset and Somerset","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East Anglia","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East Anglia","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East Yorkshire and Northern Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East Yorkshire and Northern Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East Yorkshire and Northern Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Essex","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
