"Status","Year","Age","Ethnicity","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Female","35","30","23240","22030"
"In post","2021","16-19","Asian","Male","35","30","22210","21010"
"In post","2021","16-19","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Female","10","10","[c]","[c]"
"In post","2021","16-19","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Female","10","10","[c]","[c]"
"In post","2021","16-19","Mixed","Male","10","10","[c]","[c]"
"In post","2021","16-19","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Male","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Female","235","225","20810","20140"
"In post","2021","16-19","Unknown","Male","270","260","20250","20140"
"In post","2021","16-19","White","Female","380","370","21820","21010"
"In post","2021","16-19","White","Male","330","325","21150","21010"
"In post","2021","16-19","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Female","3105","3025","29220","27570"
"In post","2021","20-29","Asian","Male","2625","2585","29200","27570"
"In post","2021","20-29","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","Female","1525","1505","30030","29510"
"In post","2021","20-29","Black","Male","645","640","29910","28670"
"In post","2021","20-29","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Female","115","115","33720","30460"
"In post","2021","20-29","Chinese","Male","115","110","34250","32790"
"In post","2021","20-29","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","Female","1295","1270","30320","28590"
"In post","2021","20-29","Mixed","Male","860","850","31400","28670"
"In post","2021","20-29","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other ethnicity","Female","270","265","31430","31060"
"In post","2021","20-29","Other ethnicity","Male","180","180","32640","30800"
"In post","2021","20-29","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Female","550","535","30200","27760"
"In post","2021","20-29","Undeclared","Male","915","910","31340","29000"
"In post","2021","20-29","Unknown","Female","9945","9745","28060","26550"
"In post","2021","20-29","Unknown","Male","9795","9710","28360","26610"
"In post","2021","20-29","Unknown","Unknown","10","10","[c]","[c]"
