"Status","Year","Age","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","Female","20","20","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Male","10","10","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Female","10","10","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Male","5","5","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Female","20","20","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Male","15","15","[c]","[c]"
"In post","2021","16-19","Department for Education","Female","5","5","[c]","[c]"
"In post","2021","16-19","Department for Education","Male","10","10","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Female","15","15","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Male","10","10","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Female","35","30","20890","20900"
"In post","2021","16-19","Department for Transport","Male","20","15","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Female","120","120","22680","21010"
"In post","2021","16-19","Department for Work and Pensions","Male","80","80","22610","21010"
"In post","2021","16-19","Department of Health and Social Care","Female","25","15","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Male","10","10","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Female","10","10","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Male","10","10","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Female","5","5","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Male","10","10","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Female","125","120","20530","20140"
"In post","2021","16-19","HM Revenue and Customs","Male","120","110","20820","20140"
"In post","2021","16-19","HM Treasury","Female","15","15","[c]","[c]"
"In post","2021","16-19","HM Treasury","Male","15","15","[c]","[c]"
"In post","2021","16-19","Home Office","Female","45","40","22700","21430"
"In post","2021","16-19","Home Office","Male","35","30","21880","21430"
"In post","2021","16-19","Ministry of Defence","Female","55","55","19070","19040"
"In post","2021","16-19","Ministry of Defence","Male","195","195","18670","17780"
"In post","2021","16-19","Ministry of Justice","Female","95","95","21610","20880"
"In post","2021","16-19","Ministry of Justice","Male","50","50","22180","20600"
"In post","2021","16-19","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","Male","[c]","[c]","[c]","[c]"
