"Status","Year","Age","Region_ITL2","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Bedfordshire and Hertfordshire","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","AO","15","15","23930","23540"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","EO","EO","5","5","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","15","15","20740","21370"
"In post","2021","16-19","Cheshire","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","16-19","Cheshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","AA/AO","AO","25","25","21150","21010"
"In post","2021","16-19","Derbyshire and Nottinghamshire","EO","EO","10","10","[c]","[c]"
"In post","2021","16-19","Devon","AA/AO","AA","10","10","[c]","[c]"
"In post","2021","16-19","Devon","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","AA/AO","AO","20","20","22660","21430"
"In post","2021","16-19","East Anglia","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","AA/AO","AA","15","15","16260","16780"
"In post","2021","16-19","East Wales","AA/AO","AO","45","40","20370","20140"
"In post","2021","16-19","East Wales","EO","EO","10","10","24280","23320"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","AA/AO","AA","40","40","20660","21150"
"In post","2021","16-19","Eastern Scotland","AA/AO","AO","50","50","21080","20810"
"In post","2021","16-19","Eastern Scotland","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex","AA/AO","AO","15","15","22070","21430"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","AA","15","15","17180","16990"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","AO","30","30","20120","19870"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","EO","EO","100","100","18650","17780"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Greater Manchester","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester","AA/AO","AO","25","25","20520","20880"
"In post","2021","16-19","Greater Manchester","EO","EO","15","15","24850","25000"
"In post","2021","16-19","Hampshire and Isle of Wight","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","AA/AO","AO","15","15","20860","20920"
"In post","2021","16-19","Hampshire and Isle of Wight","EO","EO","5","5","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Herefordshire, Worcestershire and Warwickshire","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Herefordshire, Worcestershire and Warwickshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Herefordshire, Worcestershire and Warwickshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Highlands and Islands","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","16-19","Inner London - East","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","16-19","Inner London - East","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","16-19","Inner London - East","EO","EO","10","5","[c]","[c]"
"In post","2021","16-19","Inner London - East","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - West","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - West","AA/AO","AO","30","30","23750","23510"
"In post","2021","16-19","Inner London - West","EO","EO","65","65","25870","25170"
"In post","2021","16-19","Inner London - West","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","16-19","Kent","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kent","AA/AO","AO","40","40","22190","21430"
"In post","2021","16-19","Lancashire","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","16-19","Lancashire","AA/AO","AO","35","30","20900","21010"
"In post","2021","16-19","Lancashire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicestershire, Rutland and Northamptonshire","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","16-19","Leicestershire, Rutland and Northamptonshire","AA/AO","AO","10","10","20840","21010"
"In post","2021","16-19","Lincolnshire","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Merseyside","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Merseyside","AA/AO","AO","45","40","20660","20140"
"In post","2021","16-19","Merseyside","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Eastern Scotland","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Eastern Scotland","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Yorkshire","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","16-19","North Yorkshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northumberland and Tyne and Wear","AA/AO","AO","70","70","20480","20140"
"In post","2021","16-19","Northumberland and Tyne and Wear","EO","EO","10","10","[c]","[c]"
