"Status","Year","Age","Disability","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","AA/AO","35","35","20730","21010"
"In post","2021","16-19","Declared disabled","EO","20","20","[c]","[c]"
"In post","2021","16-19","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","AA/AO","485","465","20930","21010"
"In post","2021","16-19","Declared non-disabled","EO","185","180","23480","24300"
"In post","2021","16-19","Declared non-disabled","SEO/HEO","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Undeclared","AA/AO","15","15","[c]","[c]"
"In post","2021","16-19","Undeclared","EO","10","10","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","AA/AO","410","395","20680","20140"
"In post","2021","16-19","Unknown","EO","90","90","21770","23050"
"In post","2021","16-19","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","55","55","18270","16780"
"In post","2021","20-29","Declared disabled","AA/AO","1525","1480","22200","21010"
"In post","2021","20-29","Declared disabled","EO","1565","1540","27200","27570"
"In post","2021","20-29","Declared disabled","G6/G7","265","260","54310","53380"
"In post","2021","20-29","Declared disabled","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","SEO/HEO","1330","1315","34240","33420"
"In post","2021","20-29","Declared disabled","Unknown","250","245","25970","24020"
"In post","2021","20-29","Declared non-disabled","AA/AO","15420","14985","22650","21430"
"In post","2021","20-29","Declared non-disabled","EO","13690","13535","26940","27500"
"In post","2021","20-29","Declared non-disabled","G6/G7","2710","2700","54520","53420"
"In post","2021","20-29","Declared non-disabled","SCS level","20","20","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","SEO/HEO","12775","12715","34600","33620"
"In post","2021","20-29","Declared non-disabled","Unknown","1890","1860","26200","24020"
"In post","2021","20-29","Undeclared","AA/AO","760","735","22710","21010"
"In post","2021","20-29","Undeclared","EO","780","775","27420","27570"
"In post","2021","20-29","Undeclared","G6/G7","205","205","54200","53600"
"In post","2021","20-29","Undeclared","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","SEO/HEO","940","935","34560","34020"
"In post","2021","20-29","Undeclared","Unknown","80","75","26490","25500"
"In post","2021","20-29","Unknown","AA/AO","8755","8545","22200","21010"
"In post","2021","20-29","Unknown","EO","5570","5515","27130","26860"
"In post","2021","20-29","Unknown","G6/G7","1175","1175","54450","53380"
"In post","2021","20-29","Unknown","SCS level","25","25","[c]","[c]"
"In post","2021","20-29","Unknown","SEO/HEO","6945","6915","33510","32540"
"In post","2021","20-29","Unknown","Unknown","750","735","26630","24020"
"In post","2021","30-39","Declared disabled","AA/AO","2115","1930","22260","21010"
"In post","2021","30-39","Declared disabled","EO","2280","2145","27510","27570"
"In post","2021","30-39","Declared disabled","G6/G7","1050","1025","56460","54700"
"In post","2021","30-39","Declared disabled","SCS level","60","60","80020","74890"
"In post","2021","30-39","Declared disabled","SEO/HEO","2150","2085","35940","35110"
"In post","2021","30-39","Declared disabled","Unknown","485","455","29610","30210"
"In post","2021","30-39","Declared non-disabled","AA/AO","16760","15140","22820","21240"
"In post","2021","30-39","Declared non-disabled","EO","17410","16395","27310","27570"
"In post","2021","30-39","Declared non-disabled","G6/G7","11165","10840","57140","55060"
"In post","2021","30-39","Declared non-disabled","SCS level","750","720","79380","75180"
"In post","2021","30-39","Declared non-disabled","SEO/HEO","20580","19935","36250","35640"
"In post","2021","30-39","Declared non-disabled","Unknown","2570","2390","31060","31420"
"In post","2021","30-39","Undeclared","AA/AO","1450","1325","23570","21390"
"In post","2021","30-39","Undeclared","EO","1365","1300","28150","27570"
"In post","2021","30-39","Undeclared","G6/G7","835","820","56810","54760"
"In post","2021","30-39","Undeclared","SCS level","55","50","80130","76420"
"In post","2021","30-39","Undeclared","SEO/HEO","1580","1535","36530","36160"
"In post","2021","30-39","Undeclared","Unknown","160","150","32040","31420"
"In post","2021","30-39","Unknown","AA/AO","5500","5110","22650","21010"
"In post","2021","30-39","Unknown","EO","4610","4455","27900","27130"
"In post","2021","30-39","Unknown","G6/G7","3475","3385","57210","54700"
"In post","2021","30-39","Unknown","SCS level","300","295","77970","72960"
"In post","2021","30-39","Unknown","SEO/HEO","6025","5865","36170","35830"
"In post","2021","30-39","Unknown","Unknown","665","640","34230","32690"
"In post","2021","40-49","Declared disabled","AA/AO","3235","2840","22040","21010"
"In post","2021","40-49","Declared disabled","EO","3585","3295","27730","27570"
"In post","2021","40-49","Declared disabled","G6/G7","1350","1300","58360","57080"
"In post","2021","40-49","Declared disabled","SCS level","160","155","86030","79240"
"In post","2021","40-49","Declared disabled","SEO/HEO","2855","2750","36510","35780"
"In post","2021","40-49","Declared disabled","Unknown","620","580","32290","32690"
"In post","2021","40-49","Declared non-disabled","AA/AO","17590","15640","22480","21010"
"In post","2021","40-49","Declared non-disabled","EO","19870","18410","27670","27570"
"In post","2021","40-49","Declared non-disabled","G6/G7","13490","12950","59120","57680"
"In post","2021","40-49","Declared non-disabled","SCS level","2040","1975","87750","80670"
"In post","2021","40-49","Declared non-disabled","SEO/HEO","21250","20380","37370","36780"
