"Status","Year","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Heterosexual / straight","175995","159885","32820","27920"
"In post","2021","Female","LGBO","9035","8700","32690","28590"
"In post","2021","Female","Undeclared","22755","20250","31860","27570"
"In post","2021","Female","Unknown","54885","48765","31320","27570"
"In post","2021","Male","Heterosexual / straight","140960","136855","35570","31520"
"In post","2021","Male","LGBO","9780","9565","36010","31060"
"In post","2021","Male","Undeclared","20915","20060","35680","31810"
"In post","2021","Male","Unknown","50500","48695","34110","30330"
"In post","2021","Unknown","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Unknown","LGBO","10","10","[c]","[c]"
"In post","2021","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","20","20","[c]","[c]"
"Leaver CS","2021","Female","Heterosexual / straight","6310","[c]","30940","26600"
"Leaver CS","2021","Female","LGBO","395","[c]","30540","25310"
"Leaver CS","2021","Female","Undeclared","980","[c]","31040","26670"
"Leaver CS","2021","Female","Unknown","6935","[c]","30350","26410"
"Leaver CS","2021","Male","Heterosexual / straight","6040","[c]","34800","28910"
"Leaver CS","2021","Male","LGBO","355","[c]","34210","27570"
"Leaver CS","2021","Male","Undeclared","1000","[c]","35520","30440"
"Leaver CS","2021","Male","Unknown","5705","[c]","33740","27570"
"Leaver CS","2021","Unknown","Heterosexual / straight","50","[c]","41550","39850"
"Leaver CS","2021","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","45","[c]","48770","40850"
"Leaver Dept.","2021","Female","Heterosexual / straight","3460","[c]","37070","32000"
"Leaver Dept.","2021","Female","LGBO","265","[c]","35620","32560"
"Leaver Dept.","2021","Female","Undeclared","375","[c]","39870","35070"
"Leaver Dept.","2021","Female","Unknown","2510","[c]","36990","32000"
"Leaver Dept.","2021","Male","Heterosexual / straight","2525","[c]","38450","33280"
"Leaver Dept.","2021","Male","LGBO","320","[c]","37590","32090"
"Leaver Dept.","2021","Male","Undeclared","315","[c]","38490","33870"
"Leaver Dept.","2021","Male","Unknown","2190","[c]","37860","33120"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2021","Female","Heterosexual / straight","19265","[c]","28820","27570"
"New entrant CS","2021","Female","LGBO","1785","[c]","27840","27570"
"New entrant CS","2021","Female","Undeclared","1455","[c]","30020","27570"
"New entrant CS","2021","Female","Unknown","9170","[c]","28870","25560"
"New entrant CS","2021","Male","Heterosexual / straight","14475","[c]","30240","27570"
"New entrant CS","2021","Male","LGBO","1685","[c]","28940","27570"
"New entrant CS","2021","Male","Undeclared","1095","[c]","32590","27570"
"New entrant CS","2021","Male","Unknown","8200","[c]","30190","25560"
"New entrant CS","2021","Unknown","Heterosexual / straight","35","[c]","33650","29540"
"New entrant CS","2021","Unknown","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","25","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Sex","Self reported sex.","","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","","",""
"Sexual_orientation","Self reported sexual orientation.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their sexual orientation and ""Unknown"" accounts for employees who have not made an active declaration about their sexual orientation.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
