"Status","Year","Age","Organisation","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Accountant in Bankruptcy","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Accountant in Bankruptcy","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Wales","Male","5","5","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Scotland","Female","5","5","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","East Midlands (England)","Female","5","5","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Wales","Male","15","15","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Scotland","Male","10","10","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","South West (England)","Female","25","25","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","South West (England)","Male","70","70","18110","17780"
"In post","2021","16-19","Defence Science and Technology Laboratory","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","South West (England)","Male","15","15","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","North West (England)","Male","5","5","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Male","5","5","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","South West (England)","Male","[c]","[c]","[c]","[c]"
