"Status","Year","Parent_department","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","AA/AO","Female","Heterosexual / straight","795","720","22370","21950"
"In post","2021","Attorney General's Departments","AA/AO","Female","LGBO","35","30","22020","21950"
"In post","2021","Attorney General's Departments","AA/AO","Female","Undeclared","35","35","22180","21950"
"In post","2021","Attorney General's Departments","AA/AO","Female","Unknown","250","215","22200","21950"
"In post","2021","Attorney General's Departments","AA/AO","Male","Heterosexual / straight","285","275","22440","21950"
"In post","2021","Attorney General's Departments","AA/AO","Male","LGBO","30","30","22130","21950"
"In post","2021","Attorney General's Departments","AA/AO","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Male","Unknown","95","90","22040","21950"
"In post","2021","Attorney General's Departments","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Female","Heterosexual / straight","855","785","27920","27760"
"In post","2021","Attorney General's Departments","EO","Female","LGBO","50","50","27740","27350"
"In post","2021","Attorney General's Departments","EO","Female","Undeclared","40","40","28260","27580"
"In post","2021","Attorney General's Departments","EO","Female","Unknown","290","250","28410","28430"
"In post","2021","Attorney General's Departments","EO","Male","Heterosexual / straight","355","350","27960","27580"
"In post","2021","Attorney General's Departments","EO","Male","LGBO","45","45","29090","28430"
"In post","2021","Attorney General's Departments","EO","Male","Undeclared","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Male","Unknown","105","100","28160","28430"
"In post","2021","Attorney General's Departments","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Female","Heterosexual / straight","2015","1825","57060","54790"
"In post","2021","Attorney General's Departments","G6/G7","Female","LGBO","75","70","59330","55610"
"In post","2021","Attorney General's Departments","G6/G7","Female","Undeclared","120","110","58880","55610"
"In post","2021","Attorney General's Departments","G6/G7","Female","Unknown","745","640","59720","58970"
"In post","2021","Attorney General's Departments","G6/G7","Male","Heterosexual / straight","1165","1135","58680","56560"
"In post","2021","Attorney General's Departments","G6/G7","Male","LGBO","120","120","59760","56580"
"In post","2021","Attorney General's Departments","G6/G7","Male","Undeclared","85","80","59260","57930"
"In post","2021","Attorney General's Departments","G6/G7","Male","Unknown","450","430","61960","61260"
"In post","2021","Attorney General's Departments","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS level","Female","Heterosexual / straight","120","115","87890","82500"
"In post","2021","Attorney General's Departments","SCS level","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS level","Female","Undeclared","10","5","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS level","Female","Unknown","50","45","86060","80950"
"In post","2021","Attorney General's Departments","SCS level","Male","Heterosexual / straight","80","75","90910","84160"
"In post","2021","Attorney General's Departments","SCS level","Male","LGBO","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS level","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS level","Male","Unknown","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Female","Heterosexual / straight","700","670","36510","38000"
"In post","2021","Attorney General's Departments","SEO/HEO","Female","LGBO","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Female","Undeclared","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Female","Unknown","145","135","36660","35290"
"In post","2021","Attorney General's Departments","SEO/HEO","Male","Heterosexual / straight","395","390","36650","37730"
"In post","2021","Attorney General's Departments","SEO/HEO","Male","LGBO","35","35","37640","38000"
"In post","2021","Attorney General's Departments","SEO/HEO","Male","Undeclared","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Male","Unknown","105","105","36770","36240"
"In post","2021","Attorney General's Departments","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Female","Heterosexual / straight","185","160","21850","20920"
"In post","2021","Cabinet Office","AA/AO","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Female","Undeclared","20","15","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Female","Unknown","100","95","21410","20920"
"In post","2021","Cabinet Office","AA/AO","Male","Heterosexual / straight","135","130","21940","20920"
"In post","2021","Cabinet Office","AA/AO","Male","LGBO","15","15","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Male","Unknown","75","75","21510","20920"
"In post","2021","Cabinet Office","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","Female","Heterosexual / straight","360","345","27070","27500"
"In post","2021","Cabinet Office","EO","Female","LGBO","30","30","26950","27500"
"In post","2021","Cabinet Office","EO","Female","Undeclared","35","30","27610","27500"
"In post","2021","Cabinet Office","EO","Female","Unknown","105","100","27350","27500"
"In post","2021","Cabinet Office","EO","Male","Heterosexual / straight","210","210","27250","27500"
"In post","2021","Cabinet Office","EO","Male","LGBO","30","30","26950","27500"
"In post","2021","Cabinet Office","EO","Male","Undeclared","30","30","27500","27500"
"In post","2021","Cabinet Office","EO","Male","Unknown","80","80","27480","27500"
"In post","2021","Cabinet Office","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","G6/G7","Female","Heterosexual / straight","875","850","58780","56340"
"In post","2021","Cabinet Office","G6/G7","Female","LGBO","45","45","57930","54700"
"In post","2021","Cabinet Office","G6/G7","Female","Undeclared","80","80","59000","56750"
