"Status","Year","Age","Function_of_post","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","Department for Business, Energy and Industrial Strategy","Female","5","5","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Transport","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Transport","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","HM Revenue and Customs","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","HM Revenue and Customs","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Justice","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","United Kingdom Statistics Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","United Kingdom Statistics Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Transport","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Transport","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department of Health and Social Care","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department of Health and Social Care","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Other Cabinet Office Agencies","Female","[c]","[c]","[c]","[c]"
