"Status","Year","Age","Ethnicity","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data and Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data and Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data and Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Economics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Economics","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
