"Status","Year","Disability","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","Female","310","295","38920","36970"
"In post","2021","Declared disabled","Commercial","Male","195","190","41000","40580"
"In post","2021","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Female","150","140","38260","34320"
"In post","2021","Declared disabled","Communications","Male","110","105","36120","34240"
"In post","2021","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Female","45","40","33590","31000"
"In post","2021","Declared disabled","Counter Fraud","Male","30","25","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Female","410","385","37340","33770"
"In post","2021","Declared disabled","Digital, Data and Technology","Male","630","615","40490","37410"
"In post","2021","Declared disabled","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Female","40","40","46140","37910"
"In post","2021","Declared disabled","Economics","Male","60","60","47760","51970"
"In post","2021","Declared disabled","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Female","455","415","36210","32180"
"In post","2021","Declared disabled","Finance","Male","315","305","40300","37410"
"In post","2021","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Female","695","650","39420","35000"
"In post","2021","Declared disabled","Human Resources","Male","285","275","41120","36720"
"In post","2021","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","Female","45","40","58250","51360"
"In post","2021","Declared disabled","Inspector of Education and Training","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","Female","150","140","31150","28760"
"In post","2021","Declared disabled","Intelligence Analysis","Male","155","150","35720","33300"
"In post","2021","Declared disabled","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Female","45","45","42700","39980"
"In post","2021","Declared disabled","Internal Audit","Male","45","45","44660","40660"
"In post","2021","Declared disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","Female","55","55","44740","39360"
"In post","2021","Declared disabled","International Trade","Male","50","50","47750","50560"
"In post","2021","Declared disabled","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","Female","140","130","33770","33300"
"In post","2021","Declared disabled","Knowledge and Information Management","Male","130","125","35540","32860"
"In post","2021","Declared disabled","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Female","585","525","48450","50520"
"In post","2021","Declared disabled","Legal","Male","385","370","48630","50520"
"In post","2021","Declared disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Female","75","70","50710","38640"
"In post","2021","Declared disabled","Medicine","Male","40","35","66330","62480"
"In post","2021","Declared disabled","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","Female","10305","9125","27340","24940"
"In post","2021","Declared disabled","Operational Delivery","Male","7035","6610","29010","26780"
"In post","2021","Declared disabled","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","Female","55","55","40910","38970"
"In post","2021","Declared disabled","Operational Research","Male","80","75","43130","38630"
"In post","2021","Declared disabled","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","Female","1000","925","27950","24620"
"In post","2021","Declared disabled","Other","Male","895","870","28960","26250"
"In post","2021","Declared disabled","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Planning","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Policy","Female","1395","1335","43880","39330"
"In post","2021","Declared disabled","Policy","Male","1070","1050","46330","41760"
"In post","2021","Declared disabled","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","Female","845","815","39060","36160"
"In post","2021","Declared disabled","Project Delivery","Male","625","610","42280","40000"
"In post","2021","Declared disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Property","Female","270","250","34870","33000"
"In post","2021","Declared disabled","Property","Male","305","295","35610","33300"
"In post","2021","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Psychology","Female","100","95","32800","29750"
"In post","2021","Declared disabled","Psychology","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Science and Engineering","Female","375","350","35310","32560"
"In post","2021","Declared disabled","Science and Engineering","Male","750","730","37500","37210"
"In post","2021","Declared disabled","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","Female","150","145","30900","28200"
"In post","2021","Declared disabled","Security","Male","445","435","32240","28970"
"In post","2021","Declared disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Social Research","Female","80","75","42580","40200"
"In post","2021","Declared disabled","Social Research","Male","25","25","[c]","[c]"
"In post","2021","Declared disabled","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Statistics","Female","85","75","42520","39090"
"In post","2021","Declared disabled","Statistics","Male","90","85","43580","38090"
"In post","2021","Declared disabled","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Tax","Female","710","650","34180","31810"
"In post","2021","Declared disabled","Tax","Male","650","610","36370","31940"
"In post","2021","Declared disabled","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Female","11490","9870","28250","27570"
"In post","2021","Declared disabled","Unknown","Male","6000","5665","29240","27570"
"In post","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","Female","1885","1785","38990","36460"
"In post","2021","Declared non-disabled","Commercial","Male","1640","1620","42930","40000"
"In post","2021","Declared non-disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Communications","Female","1525","1445","41700","38630"
"In post","2021","Declared non-disabled","Communications","Male","1025","1015","42060","38620"
"In post","2021","Declared non-disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Corporate Finance","Female","70","65","44410","41990"
"In post","2021","Declared non-disabled","Corporate Finance","Male","60","60","50400","47140"
"In post","2021","Declared non-disabled","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Counter Fraud","Female","280","260","34380","33100"
"In post","2021","Declared non-disabled","Counter Fraud","Male","330","320","41080","39490"
"In post","2021","Declared non-disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Digital, Data and Technology","Female","3015","2855","41220","38450"
"In post","2021","Declared non-disabled","Digital, Data and Technology","Male","5360","5290","43200","39750"
"In post","2021","Declared non-disabled","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Economics","Female","535","515","48820","51970"
"In post","2021","Declared non-disabled","Economics","Male","865","855","49170","48370"
"In post","2021","Declared non-disabled","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","Female","3630","3365","38460","33930"
"In post","2021","Declared non-disabled","Finance","Male","2825","2780","44640","40580"
"In post","2021","Declared non-disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Human Resources","Female","3760","3515","38690","33900"
"In post","2021","Declared non-disabled","Human Resources","Male","1545","1515","40570","36500"
"In post","2021","Declared non-disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Inspector of Education and Training","Female","495","485","64840","64500"
"In post","2021","Declared non-disabled","Inspector of Education and Training","Male","225","220","73860","75500"
