"Status","Year","Age","Organisation","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Accountant in Bankruptcy","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Accountant in Bankruptcy","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Unknown","Female","10","10","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Unknown","Male","5","5","[c]","[c]"
"In post","2021","16-19","Companies House","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Operational Delivery","Male","5","5","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Operational Delivery","Female","5","5","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Operational Delivery","Female","15","15","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Operational Delivery","Male","10","10","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Science and Engineering","Male","15","15","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Finance","Female","10","10","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Finance","Male","10","10","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Other","Female","10","10","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Other","Male","15","15","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Science and Engineering","Female","10","10","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Science and Engineering","Male","55","55","17850","17780"
"In post","2021","16-19","Defence Science and Technology Laboratory","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Science and Engineering","Male","15","15","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","Female","5","5","[c]","[c]"
