"Status","Year","Disability","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","London","AA/AO","Female","835","735","24660","24590"
"In post","2021","Declared disabled","London","AA/AO","Male","540","520","25800","25110"
"In post","2021","Declared disabled","London","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","EO","Female","1525","1405","30120","30690"
"In post","2021","Declared disabled","London","EO","Male","915","875","30290","30500"
"In post","2021","Declared disabled","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","G6/G7","Female","1100","1050","60190","59160"
"In post","2021","Declared disabled","London","G6/G7","Male","915","895","60580","59160"
"In post","2021","Declared disabled","London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","SCS level","Female","135","130","87780","80000"
"In post","2021","Declared disabled","London","SCS level","Male","145","140","91320","81220"
"In post","2021","Declared disabled","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","SEO/HEO","Female","1565","1500","38370","37640"
"In post","2021","Declared disabled","London","SEO/HEO","Male","1230","1210","38960","37910"
"In post","2021","Declared disabled","London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Unknown","Female","230","220","33620","32090"
"In post","2021","Declared disabled","London","Unknown","Male","70","70","35810","36580"
"In post","2021","Declared disabled","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Outside London","AA/AO","Female","8385","6980","21230","21010"
"In post","2021","Declared disabled","Outside London","AA/AO","Male","5750","5360","22330","21010"
"In post","2021","Declared disabled","Outside London","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Outside London","EO","Female","8190","7170","27170","27570"
"In post","2021","Declared disabled","Outside London","EO","Male","4940","4670","27670","27570"
"In post","2021","Declared disabled","Outside London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Outside London","G6/G7","Female","1320","1245","56110","53430"
"In post","2021","Declared disabled","Outside London","G6/G7","Male","1185","1150","57260","54950"
"In post","2021","Declared disabled","Outside London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Outside London","SCS level","Female","60","60","85760","80140"
"In post","2021","Declared disabled","Outside London","SCS level","Male","75","75","89420","83600"
"In post","2021","Declared disabled","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Outside London","SEO/HEO","Female","4905","4570","35450","33930"
"In post","2021","Declared disabled","Outside London","SEO/HEO","Male","3965","3810","36610","35310"
"In post","2021","Declared disabled","Outside London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Outside London","Unknown","Female","1640","1505","30060","28770"
"In post","2021","Declared disabled","Outside London","Unknown","Male","520","500","33770","32990"
"In post","2021","Declared disabled","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","EO","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Overseas","EO","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Overseas","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","G6/G7","Female","40","40","59360","57210"
"In post","2021","Declared disabled","Overseas","G6/G7","Male","55","55","60860","58390"
"In post","2021","Declared disabled","Overseas","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Overseas","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","SEO/HEO","Female","30","30","36380","34770"
"In post","2021","Declared disabled","Overseas","SEO/HEO","Male","60","60","36450","34770"
"In post","2021","Declared disabled","Overseas","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Unknown","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","AA/AO","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Unknown","AA/AO","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","EO","Female","70","60","28220","27570"
"In post","2021","Declared disabled","Unknown","EO","Male","30","30","27470","27570"
"In post","2021","Declared disabled","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","G6/G7","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Unknown","G6/G7","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","SEO/HEO","Female","30","30","35430","34840"
"In post","2021","Declared disabled","Unknown","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","London","AA/AO","Female","4660","4135","24820","25050"
"In post","2021","Declared non-disabled","London","AA/AO","Male","3455","3360","26260","25110"
"In post","2021","Declared non-disabled","London","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","London","EO","Female","8590","7975","29870","30170"
"In post","2021","Declared non-disabled","London","EO","Male","5860","5675","30060","30110"
"In post","2021","Declared non-disabled","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","London","G6/G7","Female","9510","8990","60100","58130"
"In post","2021","Declared non-disabled","London","G6/G7","Male","9315","9180","61230","59160"
"In post","2021","Declared non-disabled","London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","London","SCS level","Female","1565","1470","87350","79890"
"In post","2021","Declared non-disabled","London","SCS level","Male","1665","1635","92860","84000"
"In post","2021","Declared non-disabled","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","London","SEO/HEO","Female","11440","11040","38350","37510"
"In post","2021","Declared non-disabled","London","SEO/HEO","Male","10070","9940","39070","38510"
"In post","2021","Declared non-disabled","London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","London","Unknown","Female","840","800","33980","34100"
"In post","2021","Declared non-disabled","London","Unknown","Male","315","310","35090","34100"
"In post","2021","Declared non-disabled","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Outside London","AA/AO","Female","46785","39645","21420","21010"
