"Status","Year","Disability","Function_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","AO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Analysis","EO","65","60","27130","27200"
"In post","2021","Declared disabled","Analysis","G6","45","40","69820","67220"
"In post","2021","Declared disabled","Analysis","G7","115","105","54240","53170"
"In post","2021","Declared disabled","Analysis","HEO","170","160","32460","32000"
"In post","2021","Declared disabled","Analysis","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","SEO","155","150","40050","38900"
"In post","2021","Declared disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AO","65","60","22150","21590"
"In post","2021","Declared disabled","Commercial","EO","90","85","27240","26780"
"In post","2021","Declared disabled","Commercial","G6","25","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G7","60","60","55840","54700"
"In post","2021","Declared disabled","Commercial","HEO","125","120","33240","33300"
"In post","2021","Declared disabled","Commercial","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SEO","165","160","42660","41950"
"In post","2021","Declared disabled","Commercial","Unknown","30","30","41900","40000"
"In post","2021","Declared disabled","Communications","AA","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","AO","70","60","21360","21370"
"In post","2021","Declared disabled","Communications","EO","205","190","25920","25560"
"In post","2021","Declared disabled","Communications","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","G7","35","35","53610","53400"
"In post","2021","Declared disabled","Communications","HEO","150","145","32660","31810"
"In post","2021","Declared disabled","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","SEO","75","70","41540","40580"
"In post","2021","Declared disabled","Counter Fraud","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","AO","110","95","21720","21440"
"In post","2021","Declared disabled","Counter Fraud","EO","275","250","27130","25720"
"In post","2021","Declared disabled","Counter Fraud","G6","25","25","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","G7","60","55","54200","52580"
"In post","2021","Declared disabled","Counter Fraud","HEO","255","235","33450","31870"
"In post","2021","Declared disabled","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","SEO","95","95","40070","38630"
"In post","2021","Declared disabled","Debt","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","AO","280","240","21260","20220"
"In post","2021","Declared disabled","Debt","EO","75","65","26780","25560"
"In post","2021","Declared disabled","Debt","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","HEO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Debt","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","AA","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","AO","40","40","22400","21590"
"In post","2021","Declared disabled","Digital, Data & Technology","EO","255","245","27470","26670"
"In post","2021","Declared disabled","Digital, Data & Technology","G6","40","40","65660","64670"
"In post","2021","Declared disabled","Digital, Data & Technology","G7","195","190","55710","54700"
"In post","2021","Declared disabled","Digital, Data & Technology","HEO","280","270","33290","33090"
"In post","2021","Declared disabled","Digital, Data & Technology","SCS level","15","15","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","SEO","230","225","41070","40300"
"In post","2021","Declared disabled","Digital, Data & Technology","Unknown","20","15","[c]","[c]"
"In post","2021","Declared disabled","Finance","AA","10","10","[c]","[c]"
"In post","2021","Declared disabled","Finance","AO","135","110","21240","21440"
"In post","2021","Declared disabled","Finance","EO","155","145","26090","26580"
"In post","2021","Declared disabled","Finance","G6","40","35","65790","66590"
"In post","2021","Declared disabled","Finance","G7","115","110","55370","54390"
"In post","2021","Declared disabled","Finance","HEO","180","170","33170","32840"
"In post","2021","Declared disabled","Finance","SCS level","20","20","[c]","[c]"
"In post","2021","Declared disabled","Finance","SEO","160","150","41330","40580"
"In post","2021","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","AO","85","75","21050","21050"
"In post","2021","Declared disabled","Grants Management","EO","35","30","25790","25990"
"In post","2021","Declared disabled","Grants Management","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","HEO","25","20","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","SEO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","AA","10","10","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","AO","185","170","21520","21130"
"In post","2021","Declared disabled","Human Resources","EO","215","200","26930","26670"
"In post","2021","Declared disabled","Human Resources","G6","65","60","66840","65410"
"In post","2021","Declared disabled","Human Resources","G7","185","175","54360","53660"
"In post","2021","Declared disabled","Human Resources","HEO","280","270","33170","32730"
"In post","2021","Declared disabled","Human Resources","SCS level","40","40","89280","80000"
"In post","2021","Declared disabled","Human Resources","SEO","215","200","41690","40580"
"In post","2021","Declared disabled","Human Resources","Unknown","25","25","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","HEO","30","30","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","SEO","35","35","43710","43450"
"In post","2021","Declared disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","AA","10","10","[c]","[c]"
"In post","2021","Declared disabled","Legal","AO","190","175","22580","21950"
"In post","2021","Declared disabled","Legal","EO","220","200","28050","28430"
"In post","2021","Declared disabled","Legal","G6","90","80","70920","69650"
"In post","2021","Declared disabled","Legal","G7","405","375","57240","55610"
"In post","2021","Declared disabled","Legal","HEO","140","130","34600","33980"
"In post","2021","Declared disabled","Legal","SCS level","35","35","87390","82500"
"In post","2021","Declared disabled","Legal","SEO","160","150","42550","41760"
"In post","2021","Declared disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
