"Status","Year","Ethnicity","Function_of_post","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","Commercial","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Commercial","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Commercial","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Communications","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Digital, Data and Technology","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Digital, Data and Technology","London","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Digital, Data and Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Digital, Data and Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Digital, Data and Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Digital, Data and Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Digital, Data and Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Economics","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Economics","London","90","90","46470","44020"
"In post","2021","Asian","Analysis","Economics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Economics","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Economics","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Economics","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Economics","Wales","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Economics","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Economics","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Finance","London","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Intelligence Analysis","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Intelligence Analysis","London","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Intelligence Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Intelligence Analysis","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Intelligence Analysis","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Intelligence Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Intelligence Analysis","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Intelligence Analysis","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Knowledge and Information Management","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Knowledge and Information Management","North East (England)","[c]","[c]","[c]","[c]"
