"Status","Year","Region_ITL2","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","AA","50","50","21480","21500"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","AO","245","230","26780","27850"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","EO","285","260","27760","27570"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","G6","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","G7","20","20","55730","52540"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","HEO","100","95","33760","32740"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","SEO","65","60","44670","45100"
"In post","2021","Bedfordshire and Hertfordshire","Bedford","Unknown","70","60","27390","23840"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","AA","50","45","19290","19560"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","AO","95","90","21550","20920"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","EO","125","120","28060","27390"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","G6","5","5","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","G7","10","10","61770","55360"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","HEO","105","105","35190","34740"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","SEO","35","35","42760","41600"
"In post","2021","Bedfordshire and Hertfordshire","Central Bedfordshire","Unknown","5","5","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","AA","130","120","20890","21500"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","AO","565","530","26350","25110"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","EO","920","860","29990","29290"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","G6","60","60","70930","69580"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","G7","225","210","57440","55980"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","HEO","385","370","36320","36830"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","SCS level","25","25","88790","88300"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","SEO","275","265","43760","44040"
"In post","2021","Bedfordshire and Hertfordshire","Hertfordshire","Unknown","135","125","29320","28200"
"In post","2021","Bedfordshire and Hertfordshire","Luton","AA","20","15","17210","16900"
"In post","2021","Bedfordshire and Hertfordshire","Luton","AO","115","105","20920","21010"
"In post","2021","Bedfordshire and Hertfordshire","Luton","EO","280","245","27590","27570"
"In post","2021","Bedfordshire and Hertfordshire","Luton","G7","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Luton","HEO","30","30","31540","31200"
"In post","2021","Bedfordshire and Hertfordshire","Luton","SEO","15","15","38830","37770"
"In post","2021","Bedfordshire and Hertfordshire","Luton","Unknown","85","80","26140","22920"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","AA","95","90","18970","18800"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","AO","905","865","28470","25630"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","EO","795","755","30940","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","G6","70","65","66040","64590"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","G7","225","215","54210","52570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","HEO","405","385","35720","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","SCS level","20","20","91400","91810"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","SEO","245","235","41340","40040"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Unknown","190","185","31760","31910"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","AA","115","110","21230","21500"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","AO","450","425","26330","23580"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","EO","490","465","28760","28350"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","G6","20","20","75240","70670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","G7","55","55","60590","56540"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","HEO","275","265","35080","35300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","SCS level","10","10","78190","72500"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","SEO","170","160","44710","42580"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","Unknown","95","85","29700","31310"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","AA","115","110","21410","21500"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","AO","750","725","25800","24750"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","EO","575","545","28320","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","G6","35","35","75600","72900"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","G7","140","125","58260","57760"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","HEO","290","275","34730","34290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","SCS level","5","5","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","SEO","240","235","44930","43700"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Unknown","60","60","22960","21600"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","AA","280","270","19910","19560"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","AO","865","815","25640","22030"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","EO","555","525","28350","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","G6","55","50","72610","69840"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","G7","170","155","57640","54540"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","HEO","380","360","33730","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","SCS level","20","20","102620","101450"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","SEO","280","265","42430","40580"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","Unknown","145","130","30290","32040"
"In post","2021","Cheshire","Cheshire East","AA","50","45","20350","20600"
"In post","2021","Cheshire","Cheshire East","AO","240","220","24570","22850"
"In post","2021","Cheshire","Cheshire East","EO","240","225","27510","27570"
"In post","2021","Cheshire","Cheshire East","G6","10","10","70210","65740"
"In post","2021","Cheshire","Cheshire East","G7","30","30","52640","50210"
"In post","2021","Cheshire","Cheshire East","HEO","65","60","33130","31800"
"In post","2021","Cheshire","Cheshire East","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Cheshire East","SEO","60","55","45060","43830"
"In post","2021","Cheshire","Cheshire East","Unknown","55","50","29630","30150"
"In post","2021","Cheshire","Cheshire West and Chester","AA","10","5","[c]","[c]"
"In post","2021","Cheshire","Cheshire West and Chester","AO","150","145","20900","21010"
"In post","2021","Cheshire","Cheshire West and Chester","EO","180","165","27190","27570"
"In post","2021","Cheshire","Cheshire West and Chester","G6","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Cheshire West and Chester","G7","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Cheshire West and Chester","HEO","25","20","32530","32470"
"In post","2021","Cheshire","Cheshire West and Chester","SEO","10","10","40070","39840"
"In post","2021","Cheshire","Cheshire West and Chester","Unknown","75","70","28740","28200"
"In post","2021","Cheshire","Warrington","AA","95","90","20380","20600"
"In post","2021","Cheshire","Warrington","AO","665","600","23850","22080"
"In post","2021","Cheshire","Warrington","EO","1010","980","30460","28860"
"In post","2021","Cheshire","Warrington","G6","30","30","69870","67570"
"In post","2021","Cheshire","Warrington","G7","125","125","53380","52810"
"In post","2021","Cheshire","Warrington","HEO","465","450","37420","36740"
"In post","2021","Cheshire","Warrington","SCS level","5","5","[c]","[c]"
"In post","2021","Cheshire","Warrington","SEO","220","215","44720","45480"
"In post","2021","Cheshire","Warrington","Unknown","65","60","30010","30210"
"In post","2021","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","AA","110","100","18970","19560"
"In post","2021","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","AO","600","535","21210","21010"
"In post","2021","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","EO","620","570","27220","27570"
"In post","2021","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","G6","5","5","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","G7","45","40","58440","53970"
"In post","2021","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","HEO","150","140","33270","33300"
"In post","2021","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","SEO","65","65","40930","40580"
"In post","2021","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Unknown","50","45","29330","28200"
"In post","2021","Cumbria","East Cumbria","AA","35","35","19180","19560"
"In post","2021","Cumbria","East Cumbria","AO","305","270","21730","21050"
"In post","2021","Cumbria","East Cumbria","EO","305","275","25240","25740"
"In post","2021","Cumbria","East Cumbria","G6","10","10","61680","60360"
"In post","2021","Cumbria","East Cumbria","G7","45","45","51220","50270"
"In post","2021","Cumbria","East Cumbria","HEO","105","95","30660","30400"
"In post","2021","Cumbria","East Cumbria","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","East Cumbria","SEO","75","70","39570","37320"
"In post","2021","Cumbria","East Cumbria","Unknown","55","50","29900","28200"
"In post","2021","Cumbria","West Cumbria","AA","50","45","20300","20600"
