"Status","Year","Ethnicity","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East of England","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","London","105","105","41720","38540"
"In post","2021","Asian","Commercial","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North West (England)","15","15","[c]","[c]"
"In post","2021","Asian","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","South East (England)","20","15","[c]","[c]"
"In post","2021","Asian","Commercial","South West (England)","30","30","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","West Midlands (England)","35","35","36950","36780"
"In post","2021","Asian","Commercial","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2021","Asian","Communications","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","London","135","130","41150","36800"
"In post","2021","Asian","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","North West (England)","10","10","[c]","[c]"
"In post","2021","Asian","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","West Midlands (England)","15","15","[c]","[c]"
"In post","2021","Asian","Communications","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","London","20","20","[c]","[c]"
"In post","2021","Asian","Corporate Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","35","30","38330","33100"
"In post","2021","Asian","Counter Fraud","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","West Midlands (England)","5","5","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","East Midlands (England)","15","15","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","East of England","20","20","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","London","490","485","46620","42550"
"In post","2021","Asian","Digital, Data and Technology","North East (England)","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","North West (England)","50","50","36030","34150"
"In post","2021","Asian","Digital, Data and Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Scotland","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","South East (England)","30","30","36190","31570"
"In post","2021","Asian","Digital, Data and Technology","South West (England)","55","55","38190","35610"
"In post","2021","Asian","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Wales","35","35","35110","34750"
"In post","2021","Asian","Digital, Data and Technology","West Midlands (England)","95","95","38440","36500"
"In post","2021","Asian","Digital, Data and Technology","Yorkshire and The Humber","55","55","34640","31810"
"In post","2021","Asian","Economics","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","London","155","155","45400","42470"
"In post","2021","Asian","Economics","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","North West (England)","5","5","[c]","[c]"
"In post","2021","Asian","Economics","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Wales","5","5","[c]","[c]"
"In post","2021","Asian","Economics","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","East Midlands (England)","25","25","[c]","[c]"
"In post","2021","Asian","Finance","East of England","25","25","[c]","[c]"
"In post","2021","Asian","Finance","London","430","420","43340","39910"
"In post","2021","Asian","Finance","North East (England)","5","5","[c]","[c]"
