"Status","Year","Function_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","AA/AO","AA","10","10","[c]","[c]"
"In post","2021","Analysis","AA/AO","AO","195","185","21620","21050"
"In post","2021","Analysis","EO","EO","730","695","26460","26130"
"In post","2021","Analysis","G6/G7","G6","570","545","71840","67220"
"In post","2021","Analysis","G6/G7","G7","1845","1765","54250","53760"
"In post","2021","Analysis","SCS level","SCS level","155","150","88870","79590"
"In post","2021","Analysis","SEO/HEO","HEO","2150","2100","32780","32280"
"In post","2021","Analysis","SEO/HEO","SEO","1550","1485","40130","38990"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","AA","40","35","21680","20290"
"In post","2021","Commercial","AA/AO","AO","485","455","22140","21580"
"In post","2021","Commercial","EO","EO","865","825","26820","26670"
"In post","2021","Commercial","G6/G7","G6","595","585","74220","71140"
"In post","2021","Commercial","G6/G7","G7","1145","1120","54810","54070"
"In post","2021","Commercial","SCS level","SCS level","585","575","93050","74340"
"In post","2021","Commercial","SEO/HEO","HEO","1240","1205","32830","33290"
"In post","2021","Commercial","SEO/HEO","SEO","1790","1750","41950","40780"
"In post","2021","Commercial","Unknown","Unknown","240","235","41100","38240"
"In post","2021","Communications","AA/AO","AA","30","25","19920","20070"
"In post","2021","Communications","AA/AO","AO","475","420","21540","21400"
"In post","2021","Communications","EO","EO","3205","3080","25780","25560"
"In post","2021","Communications","G6/G7","G6","285","275","67390","66720"
"In post","2021","Communications","G6/G7","G7","780","755","54620","54400"
"In post","2021","Communications","SCS level","SCS level","135","135","88640","82120"
"In post","2021","Communications","SEO/HEO","HEO","2050","2000","32770","31810"
"In post","2021","Communications","SEO/HEO","SEO","1250","1220","40670","39910"
"In post","2021","Counter Fraud","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","AO","850","735","21480","21440"
"In post","2021","Counter Fraud","EO","EO","3410","3210","26990","25560"
"In post","2021","Counter Fraud","G6/G7","G6","280","270","66590","64720"
"In post","2021","Counter Fraud","G6/G7","G7","820","785","54300","52580"
"In post","2021","Counter Fraud","SCS level","SCS level","40","40","84330","79810"
"In post","2021","Counter Fraud","SEO/HEO","HEO","2990","2835","33260","31810"
"In post","2021","Counter Fraud","SEO/HEO","SEO","1220","1175","39960","38630"
"In post","2021","Debt","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Debt","AA/AO","AO","3415","3070","20950","20140"
"In post","2021","Debt","EO","EO","955","870","26830","25560"
"In post","2021","Debt","G6/G7","G6","15","10","72180","64670"
"In post","2021","Debt","G6/G7","G7","35","35","51810","52580"
"In post","2021","Debt","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SEO/HEO","HEO","185","170","32740","31810"
"In post","2021","Debt","SEO/HEO","SEO","65","60","39630","38630"
"In post","2021","Digital, Data & Technology","AA/AO","AA","55","55","20300","20070"
"In post","2021","Digital, Data & Technology","AA/AO","AO","395","380","22050","21580"
"In post","2021","Digital, Data & Technology","EO","EO","2280","2200","27440","26670"
"In post","2021","Digital, Data & Technology","G6/G7","G6","745","730","66650","65040"
"In post","2021","Digital, Data & Technology","G6/G7","G7","2930","2865","55030","53620"
"In post","2021","Digital, Data & Technology","SCS level","SCS level","255","250","91370","85000"
"In post","2021","Digital, Data & Technology","SEO/HEO","HEO","3435","3325","33480","32800"
"In post","2021","Digital, Data & Technology","SEO/HEO","SEO","3395","3305","41040","40140"
"In post","2021","Digital, Data & Technology","Unknown","Unknown","100","100","37160","36000"
"In post","2021","Finance","AA/AO","AA","155","135","19910","20070"
"In post","2021","Finance","AA/AO","AO","1335","1130","21250","21160"
"In post","2021","Finance","EO","EO","1690","1600","26450","26670"
"In post","2021","Finance","G6/G7","G6","570","555","67580","67220"
"In post","2021","Finance","G6/G7","G7","1500","1470","55240","54540"
"In post","2021","Finance","SCS level","SCS level","280","275","91170","85000"
"In post","2021","Finance","SEO/HEO","HEO","1925","1860","33290","32820"
"In post","2021","Finance","SEO/HEO","SEO","1895","1835","41450","40580"
"In post","2021","Finance","Unknown","Unknown","50","50","50180","41340"
"In post","2021","Grants Management","AA/AO","AO","955","855","21010","21050"
"In post","2021","Grants Management","EO","EO","540","495","25520","25190"
"In post","2021","Grants Management","G6/G7","G6","15","15","59840","59960"
"In post","2021","Grants Management","G6/G7","G7","40","40","49810","49350"
"In post","2021","Grants Management","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Grants Management","SEO/HEO","HEO","235","220","30630","30360"
"In post","2021","Grants Management","SEO/HEO","SEO","95","90","37870","37230"
"In post","2021","Human Resources","AA/AO","AA","95","85","19740","19560"
"In post","2021","Human Resources","AA/AO","AO","1515","1370","21450","21130"
"In post","2021","Human Resources","EO","EO","1770","1665","26680","26670"
"In post","2021","Human Resources","G6/G7","G6","480","470","66730","65500"
"In post","2021","Human Resources","G6/G7","G7","1415","1370","54770","54070"
"In post","2021","Human Resources","SCS level","SCS level","225","220","89150","82130"
"In post","2021","Human Resources","SEO/HEO","HEO","2260","2160","32940","32640"
"In post","2021","Human Resources","SEO/HEO","SEO","1590","1525","41290","40580"
"In post","2021","Human Resources","Unknown","Unknown","235","220","37670","32710"
"In post","2021","Internal Audit","AA/AO","AO","25","20","28850","31650"
"In post","2021","Internal Audit","EO","EO","50","45","28350","26930"
"In post","2021","Internal Audit","G6/G7","G6","75","70","67230","65360"
"In post","2021","Internal Audit","G6/G7","G7","130","125","54260","54130"
"In post","2021","Internal Audit","SCS level","SCS level","25","25","90340","87740"
"In post","2021","Internal Audit","SEO/HEO","HEO","165","160","34200","33550"
"In post","2021","Internal Audit","SEO/HEO","SEO","300","280","44030","43110"
"In post","2021","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","AA","310","260","20080","20070"
