"Status","Year","Disability","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","Female","295","270","40640","37280"
"In post","2021","Declared disabled","Analysis","Male","285","275","41810","37320"
"In post","2021","Declared disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Female","335","320","37700","34800"
"In post","2021","Declared disabled","Commercial","Male","235","230","40860","39860"
"In post","2021","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Female","290","265","32980","29750"
"In post","2021","Declared disabled","Communications","Male","260","255","31110","27290"
"In post","2021","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Female","450","400","32180","29620"
"In post","2021","Declared disabled","Counter Fraud","Male","375","350","34430","31810"
"In post","2021","Declared disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Female","235","195","23150","21440"
"In post","2021","Declared disabled","Debt","Male","140","130","22900","20640"
"In post","2021","Declared disabled","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Female","465","440","37820","34160"
"In post","2021","Declared disabled","Digital, Data & Technology","Male","620","605","40250","36780"
"In post","2021","Declared disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Female","485","440","35710","31810"
"In post","2021","Declared disabled","Finance","Male","330","320","40260","36460"
"In post","2021","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Female","100","85","25850","21050"
"In post","2021","Declared disabled","Grants Management","Male","55","55","25140","21050"
"In post","2021","Declared disabled","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Female","865","805","38460","33490"
"In post","2021","Declared disabled","Human Resources","Male","355","345","38880","34420"
"In post","2021","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Female","45","45","43360","39980"
"In post","2021","Declared disabled","Internal Audit","Male","45","40","45360","42650"
"In post","2021","Declared disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Female","810","730","42950","38760"
"In post","2021","Declared disabled","Legal","Male","435","415","45710","46530"
"In post","2021","Declared disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","Female","10190","9185","30020","26780"
"In post","2021","Declared disabled","No function","Male","7320","6945","32730","30400"
"In post","2021","Declared disabled","No function","Unknown","[c]","[c]","[c]","[c]"
