"Status","Year","Function_of_post","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","30","25","42620","43000"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Bedford","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedford","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Berkshire","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Birmingham","Female","20","20","[c]","[c]"
"In post","2021","Analysis","Birmingham","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Bradford","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bradford","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Female","75","70","38750","33520"
"In post","2021","Analysis","Bristol, City of","Male","75","75","39900","39250"
"In post","2021","Analysis","Buckinghamshire CC","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","Female","80","70","67370","65470"
"In post","2021","Analysis","Camden and City of London","Male","150","145","67770","58350"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","Female","90","85","38040","37320"
"In post","2021","Analysis","Central Hampshire","Male","260","255","41740","41150"
"In post","2021","Analysis","Central Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire East","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire East","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Female","20","20","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Coventry","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Coventry","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Croydon","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Croydon","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Darlington","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Darlington","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Devon CC","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon CC","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset CC","Female","55","50","30320","29270"
"In post","2021","Analysis","Dorset CC","Male","65","60","35290","29990"
"In post","2021","Analysis","Durham CC","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Durham CC","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Cumbria","Male","10","10","[c]","[c]"
"In post","2021","Analysis","East Derbyshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Derbyshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Kent","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Kent","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Riding of Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Riding of Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Sussex CC","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Sussex CC","Male","[c]","[c]","[c]","[c]"
