"Status","Year","Age","Function_of_post","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","HM Revenue and Customs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Defence","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Justice","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","United Kingdom Statistics Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","United Kingdom Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Environment, Food and Rural Affairs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department of Health and Social Care","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Foreign, Commonwealth and Development Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
