"Status","Year","Age","Region_ITL3","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barking & Dagenham and Havering","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","EO","95","95","18130","17780"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Bedford","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Belfast","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","Outside London","AO","20","20","20230","20140"
"In post","2021","16-19","Birmingham","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackburn with Darwen","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackpool","Outside London","AO","15","15","21010","21010"
"In post","2021","16-19","Bradford","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bradford","Outside London","AO","5","5","[c]","[c]"
"In post","2021","16-19","Bradford","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Breckland and South Norfolk","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brent","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brent","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bridgend and Neath Port Talbot","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bridgend and Neath Port Talbot","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brighton and Hove","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bristol, City of","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bristol, City of","Outside London","AO","5","5","[c]","[c]"
"In post","2021","16-19","Bristol, City of","Outside London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Buckinghamshire CC","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Buckinghamshire CC","Outside London","AO","5","5","[c]","[c]"
"In post","2021","16-19","Calderdale and Kirklees","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Calderdale and Kirklees","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cambridgeshire CC","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cambridgeshire CC","Outside London","AO","5","5","[c]","[c]"
"In post","2021","16-19","Camden and City of London","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Camden and City of London","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","Outside London","AO","35","30","20200","20140"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Bedfordshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Hampshire","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Hampshire","Outside London","AO","5","5","[c]","[c]"
"In post","2021","16-19","Central Valleys","Outside London","AO","5","5","[c]","[c]"
"In post","2021","16-19","Cheshire East","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire East","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire West and Chester","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chorley and West Lancashire","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","City of Edinburgh","Outside London","AA","40","40","20710","21150"
"In post","2021","16-19","City of Edinburgh","Outside London","AO","40","40","21160","20140"
"In post","2021","16-19","City of Edinburgh","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Clackmannanshire and Fife","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Clackmannanshire and Fife","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Coventry","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Coventry","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Croydon","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Croydon","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Croydon","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derby","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon CC","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon CC","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon CC","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dudley","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dudley","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dumfries and Galloway","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dumfries and Galloway","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Durham CC","Outside London","AO","10","10","[c]","[c]"
"In post","2021","16-19","Durham CC","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ealing","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Ayrshire and North Ayrshire mainland","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Ayrshire and North Ayrshire mainland","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Ayrshire and North Ayrshire mainland","Outside London","EO","10","10","17080","16780"
"In post","2021","16-19","East Cumbria","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Kent","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Kent","Outside London","AO","25","25","21840","21430"
"In post","2021","16-19","East Riding of Yorkshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Surrey","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Sussex CC","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Sussex CC","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Enfield","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex Haven Gateway","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex Thames Gateway","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Falkirk","Outside London","AO","5","5","[c]","[c]"
"In post","2021","16-19","Flintshire and Wrexham","Outside London","AA","15","15","16260","16780"
"In post","2021","16-19","Flintshire and Wrexham","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Flintshire and Wrexham","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Glasgow City","Outside London","AA","15","15","20540","20060"
"In post","2021","16-19","Glasgow City","Outside London","AO","15","15","21050","21010"
"In post","2021","16-19","Glasgow City","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester North West","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester North West","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester South East","Outside London","AO","5","5","[c]","[c]"
"In post","2021","16-19","Greater Manchester South West","Outside London","AO","10","10","20120","20140"
"In post","2021","16-19","Greater Manchester South West","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gwent Valleys","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gwynedd","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gwynedd","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hackney and Newham","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Haringey and Islington","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Haringey and Islington","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Harrow and Hillingdon","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heart of Essex","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hertfordshire","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hertfordshire","Outside London","AO","5","5","[c]","[c]"
"In post","2021","16-19","Hertfordshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hounslow and Richmond upon Thames","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hounslow and Richmond upon Thames","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inverclyde, East Renfrewshire and Renfrewshire","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inverness and Nairn and Moray, Badenoch and Strathspey","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kensington & Chelsea and Hammersmith & Fulham","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kent Thames Gateway","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kent Thames Gateway","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kingston upon Hull, City of","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lambeth","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lambeth","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lambeth","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lancaster and Wyre","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leeds","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leeds","Outside London","AO","45","40","20430","20140"
"In post","2021","16-19","Leeds","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicester","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicester","Outside London","AO","10","10","[c]","[c]"
"In post","2021","16-19","Leicestershire CC and Rutland","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicestershire CC and Rutland","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lewisham and Southwark","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lewisham and Southwark","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lincolnshire","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Liverpool","Outside London","AA","[c]","[c]","[c]","[c]"
