"Status","Year","Organisation","Parent_department","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Female","Heterosexual / straight","50","45","32060","29190"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Female","Unknown","25","20","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Male","Heterosexual / straight","30","30","33800","29190"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Male","Unknown","5","5","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Female","Heterosexual / straight","375","340","33780","31240"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Female","LGBO","25","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Female","Undeclared","70","60","32710","33070"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Female","Unknown","150","140","27980","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Male","Heterosexual / straight","255","240","36290","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Male","LGBO","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Male","Undeclared","60","55","38220","38590"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Male","Unknown","105","105","29210","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Female","Heterosexual / straight","1175","1090","29310","25520"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Female","LGBO","65","65","26970","24920"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Female","Undeclared","180","170","31850","29180"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Female","Unknown","185","165","29860","25750"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Male","Heterosexual / straight","705","690","32350","29180"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Male","LGBO","65","65","28140","25190"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Male","Undeclared","155","150","34840","31730"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Male","Unknown","145","135","31100","26520"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","Female","Unknown","20","15","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","Male","Unknown","10","10","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Female","Heterosexual / straight","2475","2375","45960","40580"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Female","LGBO","165","165","41470","34640"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Female","Undeclared","230","225","45300","40580"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Female","Unknown","2170","2135","42670","32000"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Male","Heterosexual / straight","1940","1925","50540","49700"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Male","LGBO","270","270","46990","43890"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Male","Undeclared","275","270","49780","47050"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Male","Unknown","1930","1920","48310","34640"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Female","Heterosexual / straight","110","105","32680","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Female","Undeclared","15","10","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Female","Unknown","160","145","30630","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Male","Heterosexual / straight","115","110","34940","30220"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Male","Undeclared","20","20","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Male","Unknown","180","175","37890","35900"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Female","Heterosexual / straight","130","120","34350","29160"
"In post","2021","Charity Commission","Charity Commission","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Female","Unknown","100","95","34130","29320"
"In post","2021","Charity Commission","Charity Commission","Male","Heterosexual / straight","100","95","34560","29160"
