"Status","Year","Organisation","Region_london","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","EO","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","EO","Unknown","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","HEO","Heterosexual / straight","50","45","37760","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","HEO","Undeclared","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","HEO","Unknown","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","SEO","Heterosexual / straight","30","30","46990","47610"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","SEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","SEO","Unknown","15","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","AO","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","AO","Undeclared","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","AO","Unknown","15","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","EO","Heterosexual / straight","140","130","24920","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","EO","LGBO","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","EO","Undeclared","25","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","EO","Unknown","140","135","24330","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","G6","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","HEO","Heterosexual / straight","235","210","32700","31640"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","HEO","LGBO","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","HEO","Undeclared","50","45","33090","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","HEO","Unknown","60","60","31120","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","SEO","Heterosexual / straight","80","70","41310","40180"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","SEO","Undeclared","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","EO","Heterosexual / straight","40","35","31080","31460"
"In post","2021","Animal and Plant Health Agency","London","EO","LGBO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","EO","Undeclared","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","G7","Undeclared","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","SEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outside London","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outside London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outside London","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outside London","AO","Heterosexual / straight","575","535","21810","21050"
"In post","2021","Animal and Plant Health Agency","Outside London","AO","LGBO","45","45","22010","21050"
"In post","2021","Animal and Plant Health Agency","Outside London","AO","Undeclared","70","65","21450","21050"
"In post","2021","Animal and Plant Health Agency","Outside London","AO","Unknown","105","95","22430","21050"
"In post","2021","Animal and Plant Health Agency","Outside London","EO","Heterosexual / straight","495","465","26280","25330"
"In post","2021","Animal and Plant Health Agency","Outside London","EO","LGBO","50","50","25850","25100"
"In post","2021","Animal and Plant Health Agency","Outside London","EO","Undeclared","80","75","25990","25520"
"In post","2021","Animal and Plant Health Agency","Outside London","EO","Unknown","95","85","26270","25770"
"In post","2021","Animal and Plant Health Agency","Outside London","G6","Heterosexual / straight","35","35","61740","61710"
"In post","2021","Animal and Plant Health Agency","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outside London","G6","Undeclared","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outside London","G6","Unknown","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outside London","G7","Heterosexual / straight","100","95","51520","51580"
"In post","2021","Animal and Plant Health Agency","Outside London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outside London","G7","Undeclared","20","20","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outside London","G7","Unknown","15","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outside London","HEO","Heterosexual / straight","285","270","31420","30870"
"In post","2021","Animal and Plant Health Agency","Outside London","HEO","LGBO","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outside London","HEO","Undeclared","50","45","31910","31910"
"In post","2021","Animal and Plant Health Agency","Outside London","HEO","Unknown","40","35","31150","30420"
"In post","2021","Animal and Plant Health Agency","Outside London","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outside London","SEO","Heterosexual / straight","310","295","39740","37910"
"In post","2021","Animal and Plant Health Agency","Outside London","SEO","LGBO","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outside London","SEO","Undeclared","80","75","40230","38150"
"In post","2021","Animal and Plant Health Agency","Outside London","SEO","Unknown","65","60","40220","37550"
"In post","2021","Attorney General's Office","London","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Office","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","G6","Unknown","10","10","[c]","[c]"
"In post","2021","Attorney General's Office","London","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","G7","Unknown","10","10","[c]","[c]"
"In post","2021","Attorney General's Office","London","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","London","AO","Heterosexual / straight","90","85","24460","24490"
"In post","2021","Cabinet Office (excl. agencies)","London","AO","LGBO","10","10","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","London","AO","Undeclared","15","15","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","London","AO","Unknown","25","25","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","London","EO","Heterosexual / straight","385","380","27900","27500"
"In post","2021","Cabinet Office (excl. agencies)","London","EO","LGBO","45","45","27570","27500"
"In post","2021","Cabinet Office (excl. agencies)","London","EO","Undeclared","50","50","27980","27500"
"In post","2021","Cabinet Office (excl. agencies)","London","EO","Unknown","120","120","28260","27500"
"In post","2021","Cabinet Office (excl. agencies)","London","G6","Heterosexual / straight","370","365","67740","66440"
"In post","2021","Cabinet Office (excl. agencies)","London","G6","LGBO","30","30","67390","66440"
"In post","2021","Cabinet Office (excl. agencies)","London","G6","Undeclared","40","40","67330","66440"
"In post","2021","Cabinet Office (excl. agencies)","London","G6","Unknown","195","195","74490","70710"
"In post","2021","Cabinet Office (excl. agencies)","London","G7","Heterosexual / straight","1035","1015","56080","54700"
"In post","2021","Cabinet Office (excl. agencies)","London","G7","LGBO","120","120","56160","54700"
"In post","2021","Cabinet Office (excl. agencies)","London","G7","Undeclared","135","130","56210","54700"
"In post","2021","Cabinet Office (excl. agencies)","London","G7","Unknown","435","430","56150","54700"
"In post","2021","Cabinet Office (excl. agencies)","London","HEO","Heterosexual / straight","685","680","35090","34550"
"In post","2021","Cabinet Office (excl. agencies)","London","HEO","LGBO","95","95","34680","34550"
"In post","2021","Cabinet Office (excl. agencies)","London","HEO","Undeclared","80","80","34860","34550"
"In post","2021","Cabinet Office (excl. agencies)","London","HEO","Unknown","1265","1265","30630","29250"
"In post","2021","Cabinet Office (excl. agencies)","London","SCS level","Heterosexual / straight","365","360","96460","87730"
"In post","2021","Cabinet Office (excl. agencies)","London","SCS level","LGBO","20","20","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","London","SCS level","Undeclared","40","40","94180","89170"
"In post","2021","Cabinet Office (excl. agencies)","London","SCS level","Unknown","330","325","93280","74160"
"In post","2021","Cabinet Office (excl. agencies)","London","SEO","Heterosexual / straight","285","280","41490","40600"
"In post","2021","Cabinet Office (excl. agencies)","London","SEO","LGBO","40","40","40850","40600"
"In post","2021","Cabinet Office (excl. agencies)","London","SEO","Undeclared","45","45","41280","40600"
"In post","2021","Cabinet Office (excl. agencies)","London","SEO","Unknown","130","130","41420","40600"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","AO","Heterosexual / straight","225","200","20870","20800"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","AO","LGBO","10","10","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","AO","Undeclared","20","20","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","AO","Unknown","135","130","20920","20920"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","EO","Heterosexual / straight","170","160","25420","25550"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","EO","LGBO","15","15","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","EO","Undeclared","10","10","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","EO","Unknown","60","55","25930","26670"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","G6","Heterosexual / straight","60","60","67000","64550"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","G6","Undeclared","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","G6","Unknown","120","115","77250","73750"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","G7","Heterosexual / straight","130","130","52320","51600"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","G7","LGBO","10","10","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","G7","Undeclared","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","G7","Unknown","245","240","52360","51560"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","HEO","Heterosexual / straight","285","275","33180","33300"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","HEO","LGBO","15","15","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","HEO","Undeclared","30","30","33770","33300"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","HEO","Unknown","375","370","30340","29250"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","SCS level","Heterosexual / straight","35","35","101040","93270"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","SCS level","Unknown","155","155","78240","70000"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","SEO","Heterosexual / straight","150","140","38860","38420"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","SEO","LGBO","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","SEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","SEO","Unknown","60","55","38600","38360"
"In post","2021","Cabinet Office (excl. agencies)","Overseas","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Overseas","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","AO","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","AO","Unknown","10","10","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","EO","Unknown","10","10","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","G6","Unknown","15","15","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","G7","Heterosexual / straight","35","35","53230","54700"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","G7","Unknown","15","15","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","HEO","Heterosexual / straight","55","50","33620","33250"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","HEO","Undeclared","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","HEO","Unknown","365","365","30500","29250"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","SCS level","Unknown","15","15","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","SEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","SEO","Unknown","10","10","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AA","Unknown","10","10","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AO","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AO","Unknown","20","15","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","EO","Heterosexual / straight","45","45","25130","24920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","EO","LGBO","10","10","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","EO","Unknown","65","60","25050","24920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G6","Unknown","15","15","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G7","Heterosexual / straight","30","30","48150","47550"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G7","Unknown","50","50","49080","48080"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","HEO","Heterosexual / straight","65","60","29790","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","HEO","Undeclared","15","10","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","HEO","Unknown","105","100","29660","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SEO","Heterosexual / straight","45","45","37300","37280"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SEO","Unknown","75","70","37180","36580"
"In post","2021","Charity Commission","London","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","G6","Unknown","5","5","[c]","[c]"
"In post","2021","Charity Commission","London","G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Charity Commission","London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Charity Commission","London","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","HEO","Unknown","5","5","[c]","[c]"
"In post","2021","Charity Commission","London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Charity Commission","London","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","SEO","Unknown","10","5","[c]","[c]"
"In post","2021","Charity Commission","Outside London","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Charity Commission","Outside London","AO","LGBO","[c]","[c]","[c]","[c]"
