"Status","Year","Disability","Profession_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","AA/AO","Female","20","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AA/AO","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","EO","Female","45","45","26420","26670"
"In post","2021","Declared disabled","Commercial","EO","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G6/G7","Female","45","45","58970","56170"
"In post","2021","Declared disabled","Commercial","G6/G7","Male","30","30","59800","57760"
"In post","2021","Declared disabled","Commercial","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SEO/HEO","Female","185","175","37810","37320"
"In post","2021","Declared disabled","Commercial","SEO/HEO","Male","120","120","38780","40460"
"In post","2021","Declared disabled","Commercial","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","AA/AO","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","AA/AO","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","EO","Female","30","30","27770","26780"
"In post","2021","Declared disabled","Communications","EO","Male","25","25","[c]","[c]"
"In post","2021","Declared disabled","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","G6/G7","Female","25","25","[c]","[c]"
"In post","2021","Declared disabled","Communications","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","SEO/HEO","Female","80","75","37030","36960"
