"Status","Year","Function_of_post","Profession_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","London","Female","40","40","44640","42770"
"In post","2021","Analysis","Digital, Data and Technology","London","Male","40","40","49890","45840"
"In post","2021","Analysis","Digital, Data and Technology","North East (England)","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","North East (England)","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","North West (England)","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","North West (England)","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Wales","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Wales","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Yorkshire and The Humber","Female","35","30","42150","41990"
"In post","2021","Analysis","Digital, Data and Technology","Yorkshire and The Humber","Male","30","30","44450","43030"
"In post","2021","Analysis","Economics","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","London","Female","360","345","47800","42020"
"In post","2021","Analysis","Economics","London","Male","710","700","47740","42020"
"In post","2021","Analysis","Economics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","North West (England)","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Economics","North West (England)","Male","20","20","[c]","[c]"
