"Status","Year","Age","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","East Midlands (England)","AA/AO","50","50","20700","20740"
"In post","2021","16-19","East Midlands (England)","EO","10","10","[c]","[c]"
"In post","2021","16-19","East of England","AA/AO","50","45","22210","21430"
"In post","2021","16-19","East of England","EO","10","10","[c]","[c]"
"In post","2021","16-19","London","AA/AO","65","60","22940","22920"
"In post","2021","16-19","London","EO","85","80","26450","26410"
"In post","2021","16-19","London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","16-19","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North East (England)","AA/AO","85","80","20530","20140"
"In post","2021","16-19","North East (England)","EO","10","10","25270","25560"
"In post","2021","16-19","North West (England)","AA/AO","125","115","20570","20600"
"In post","2021","16-19","North West (England)","EO","20","20","24150","25000"
"In post","2021","16-19","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","AA/AO","160","155","20730","20810"
"In post","2021","16-19","Scotland","EO","15","15","20060","17780"
"In post","2021","16-19","South East (England)","AA/AO","95","90","22000","21430"
"In post","2021","16-19","South East (England)","EO","15","15","24070","23840"
"In post","2021","16-19","South East (England)","Unknown","15","15","20430","21150"
"In post","2021","16-19","South West (England)","AA/AO","60","60","19400","19630"
"In post","2021","16-19","South West (England)","EO","105","105","18810","17780"
"In post","2021","16-19","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Unknown","15","15","16840","16780"
"In post","2021","16-19","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","35","35","18640","15940"
"In post","2021","16-19","Wales","AA/AO","115","105","19620","20140"
"In post","2021","16-19","Wales","EO","15","15","25070","25200"
"In post","2021","16-19","West Midlands (England)","AA/AO","50","50","20680","20740"
"In post","2021","16-19","West Midlands (England)","EO","5","5","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","AA/AO","85","85","20570","20600"
"In post","2021","16-19","Yorkshire and The Humber","EO","10","10","25580","27570"
"In post","2021","16-19","Yorkshire and The Humber","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","AA/AO","1520","1480","22130","21010"
"In post","2021","20-29","East Midlands (England)","EO","845","835","26200","26330"
"In post","2021","20-29","East Midlands (England)","G6/G7","45","45","52260","52580"
"In post","2021","20-29","East Midlands (England)","SEO/HEO","420","420","32290","31810"
"In post","2021","20-29","East Midlands (England)","Unknown","180","175","25190","22920"
"In post","2021","20-29","East of England","AA/AO","1415","1380","24280","22850"
"In post","2021","20-29","East of England","EO","850","840","27410","27570"
"In post","2021","20-29","East of England","G6/G7","15","15","51140","51120"
"In post","2021","20-29","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East of England","SEO/HEO","360","360","33680","33000"
"In post","2021","20-29","East of England","Unknown","225","220","24080","22920"
"In post","2021","20-29","London","AA/AO","2655","2620","25640","24590"
"In post","2021","20-29","London","EO","5465","5415","29180","28810"
"In post","2021","20-29","London","G6/G7","3405","3395","55290","54110"
"In post","2021","20-29","London","SCS level","35","35","72130","71170"
"In post","2021","20-29","London","SEO/HEO","11090","11045","35670","34710"
"In post","2021","20-29","London","Unknown","355","355","28830","26810"
"In post","2021","20-29","North East (England)","AA/AO","2005","1930","21230","21010"
"In post","2021","20-29","North East (England)","EO","1160","1145","26190","25560"
"In post","2021","20-29","North East (England)","G6/G7","55","55","51350","52580"
"In post","2021","20-29","North East (England)","SEO/HEO","605","605","32470","31810"
"In post","2021","20-29","North East (England)","Unknown","105","105","24610","22920"
"In post","2021","20-29","North West (England)","AA/AO","3730","3615","21360","21010"
"In post","2021","20-29","North West (England)","EO","2815","2780","26330","25560"
"In post","2021","20-29","North West (England)","G6/G7","150","150","51230","52580"
"In post","2021","20-29","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","North West (England)","SEO/HEO","1360","1355","32580","31810"
"In post","2021","20-29","North West (England)","Unknown","290","275","25460","23840"
"In post","2021","20-29","Northern Ireland","AA/AO","260","245","20360","20140"
"In post","2021","20-29","Northern Ireland","EO","110","105","25520","25560"
"In post","2021","20-29","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland","SEO/HEO","50","50","32670","31810"
"In post","2021","20-29","Overseas","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Overseas","EO","20","20","27770","26670"
"In post","2021","20-29","Overseas","G6/G7","40","40","53140","52840"
"In post","2021","20-29","Overseas","SEO/HEO","225","225","35900","34220"
"In post","2021","20-29","Overseas","Unknown","20","20","[c]","[c]"
"In post","2021","20-29","Scotland","AA/AO","3215","3105","21670","21010"
"In post","2021","20-29","Scotland","EO","1870","1855","27010","27150"
"In post","2021","20-29","Scotland","G6/G7","115","115","51000","52480"
"In post","2021","20-29","Scotland","SEO/HEO","1305","1295","34100","32890"
"In post","2021","20-29","Scotland","Unknown","15","15","27380","26670"
"In post","2021","20-29","South East (England)","AA/AO","2665","2615","24960","24180"
"In post","2021","20-29","South East (England)","EO","1640","1625","27080","27050"
"In post","2021","20-29","South East (England)","G6/G7","60","60","50560","50520"
"In post","2021","20-29","South East (England)","SEO/HEO","1055","1055","32640","31810"
"In post","2021","20-29","South East (England)","Unknown","305","300","24810","24020"
"In post","2021","20-29","South West (England)","AA/AO","1805","1760","21820","21010"
"In post","2021","20-29","South West (England)","EO","2240","2205","24900","25620"
"In post","2021","20-29","South West (England)","G6/G7","110","110","50800","52260"
"In post","2021","20-29","South West (England)","SEO/HEO","2385","2370","32210","31810"
"In post","2021","20-29","South West (England)","Unknown","505","500","27690","27540"
"In post","2021","20-29","Unknown","AA/AO","45","45","21460","21010"
"In post","2021","20-29","Unknown","EO","100","95","27360","27570"
"In post","2021","20-29","Unknown","G6/G7","20","20","54490","54700"
"In post","2021","20-29","Unknown","SEO/HEO","350","350","31170","31990"
"In post","2021","20-29","Unknown","Unknown","375","375","28960","28980"
"In post","2021","20-29","Wales","AA/AO","2525","2435","21250","21010"
"In post","2021","20-29","Wales","EO","1505","1485","26280","26290"
"In post","2021","20-29","Wales","G6/G7","95","95","51670","49500"
"In post","2021","20-29","Wales","SEO/HEO","965","960","33170","31810"
"In post","2021","20-29","Wales","Unknown","155","155","24580","22920"
"In post","2021","20-29","West Midlands (England)","AA/AO","2020","1970","21610","21000"
"In post","2021","20-29","West Midlands (England)","EO","1320","1305","26240","26670"
"In post","2021","20-29","West Midlands (England)","G6/G7","70","70","51800","52580"
"In post","2021","20-29","West Midlands (England)","SEO/HEO","660","660","32740","31810"
"In post","2021","20-29","West Midlands (England)","Unknown","220","210","24420","22920"
"In post","2021","20-29","Yorkshire and The Humber","AA/AO","2595","2540","22050","21010"
"In post","2021","20-29","Yorkshire and The Humber","EO","1675","1655","26120","25560"
"In post","2021","20-29","Yorkshire and The Humber","G6/G7","165","165","51930","51560"
"In post","2021","20-29","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Yorkshire and The Humber","SEO/HEO","1140","1130","32290","31810"
"In post","2021","20-29","Yorkshire and The Humber","Unknown","220","215","24370","22920"
"In post","2021","30-39","East Midlands (England)","AA/AO","1555","1415","22520","21010"
"In post","2021","30-39","East Midlands (England)","EO","1200","1130","26760","27380"
"In post","2021","30-39","East Midlands (England)","G6/G7","220","215","53790","52580"
"In post","2021","30-39","East Midlands (England)","SCS level","10","10","[c]","[c]"
"In post","2021","30-39","East Midlands (England)","SEO/HEO","1030","990","34670","31990"
"In post","2021","30-39","East Midlands (England)","Unknown","225","205","29540","30210"
"In post","2021","30-39","East of England","AA/AO","1420","1305","24540","22850"
"In post","2021","30-39","East of England","EO","1145","1075","27880","27570"
"In post","2021","30-39","East of England","G6/G7","220","215","55360","53620"
"In post","2021","30-39","East of England","SCS level","10","10","[c]","[c]"
"In post","2021","30-39","East of England","SEO/HEO","1015","980","35470","33300"
"In post","2021","30-39","East of England","Unknown","250","230","29260","30210"
"In post","2021","30-39","London","AA/AO","1955","1835","26690","25390"
"In post","2021","30-39","London","EO","3860","3695","29950","29570"
"In post","2021","30-39","London","G6/G7","9450","9190","59080","57460"
"In post","2021","30-39","London","SCS level","935","905","79220","74840"
"In post","2021","30-39","London","SEO/HEO","7730","7565","38650","38580"
"In post","2021","30-39","London","Unknown","390","375","32600","34100"
"In post","2021","30-39","North East (England)","AA/AO","2445","2165","21410","21010"
"In post","2021","30-39","North East (England)","EO","1700","1610","26390","25820"
"In post","2021","30-39","North East (England)","G6/G7","410","405","53200","52580"
"In post","2021","30-39","North East (England)","SCS level","5","5","[c]","[c]"
"In post","2021","30-39","North East (England)","SEO/HEO","1480","1430","34030","31990"
"In post","2021","30-39","North East (England)","Unknown","170","160","27680","26310"
"In post","2021","30-39","North West (England)","AA/AO","3740","3400","21580","21010"
"In post","2021","30-39","North West (England)","EO","3910","3710","26570","26480"
"In post","2021","30-39","North West (England)","G6/G7","890","865","53760","52580"
"In post","2021","30-39","North West (England)","SCS level","30","25","76790","71400"
"In post","2021","30-39","North West (England)","SEO/HEO","2990","2910","34240","31990"
"In post","2021","30-39","North West (England)","Unknown","500","470","29680","30210"
"In post","2021","30-39","Northern Ireland","AA/AO","305","275","20610","20140"
"In post","2021","30-39","Northern Ireland","EO","250","240","25910","25560"
"In post","2021","30-39","Northern Ireland","G6/G7","55","55","54250","52580"
"In post","2021","30-39","Northern Ireland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Northern Ireland","SEO/HEO","220","215","33410","31810"
"In post","2021","30-39","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Overseas","AA/AO","5","5","[c]","[c]"
"In post","2021","30-39","Overseas","EO","50","50","27410","26670"
"In post","2021","30-39","Overseas","G6/G7","470","470","56620","55060"
"In post","2021","30-39","Overseas","SCS level","25","25","75920","73410"
"In post","2021","30-39","Overseas","SEO/HEO","430","430","38060","34770"
"In post","2021","30-39","Overseas","Unknown","80","80","[c]","[c]"
"In post","2021","30-39","Scotland","AA/AO","3130","2875","22270","21010"
"In post","2021","30-39","Scotland","EO","2955","2830","28020","27570"
"In post","2021","30-39","Scotland","G6/G7","1060","1030","57180","56120"
"In post","2021","30-39","Scotland","SCS level","25","25","78860","81020"
"In post","2021","30-39","Scotland","SEO/HEO","3145","3055","36940","35110"
"In post","2021","30-39","Scotland","Unknown","20","20","31620","26670"
"In post","2021","30-39","South East (England)","AA/AO","2420","2260","25820","24180"
"In post","2021","30-39","South East (England)","EO","2265","2135","27970","27570"
"In post","2021","30-39","South East (England)","G6/G7","580","565","53080","51730"
"In post","2021","30-39","South East (England)","SCS level","15","15","83390","81610"
"In post","2021","30-39","South East (England)","SEO/HEO","1885","1820","35840","35300"
"In post","2021","30-39","South East (England)","Unknown","370","335","30690","31450"
"In post","2021","30-39","South West (England)","AA/AO","1670","1520","22530","21010"
"In post","2021","30-39","South West (England)","EO","1840","1710","26510","26740"
"In post","2021","30-39","South West (England)","G6/G7","1235","1195","52530","50630"
"In post","2021","30-39","South West (England)","SCS level","20","20","78950","75010"
"In post","2021","30-39","South West (England)","SEO/HEO","4140","3975","35810","35890"
"In post","2021","30-39","South West (England)","Unknown","595","560","35660","33360"
"In post","2021","30-39","Unknown","AA/AO","30","25","21230","21010"
"In post","2021","30-39","Unknown","EO","130","125","27670","27570"
"In post","2021","30-39","Unknown","G6/G7","60","55","58190","56730"
"In post","2021","30-39","Unknown","SCS level","10","10","79010","72560"
"In post","2021","30-39","Unknown","SEO/HEO","135","130","34080","32320"
"In post","2021","30-39","Unknown","Unknown","420","420","37240","33860"
