"Status","Year","Ethnicity","Profession_of_post","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Commercial","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","London","EO","25","25","[c]","[c]"
"In post","2021","Asian","Communications","London","G6/G7","20","20","[c]","[c]"
"In post","2021","Asian","Communications","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","London","SEO/HEO","80","80","38380","37480"
"In post","2021","Asian","Communications","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","North East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","North West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","North West (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Asian","Communications","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Northern Ireland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","West Midlands (England)","EO","5","5","[c]","[c]"
"In post","2021","Asian","Communications","West Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","West Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","West Midlands (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Asian","Communications","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Yorkshire and The Humber","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Yorkshire and The Humber","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","London","G6/G7","10","10","[c]","[c]"
"In post","2021","Asian","Corporate Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Asian","Corporate Finance","North West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","South East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","South East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","South West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","West Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","West Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","EO","15","15","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","G6/G7","5","5","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Asian","Counter Fraud","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","North East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","North West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","North West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South East (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","West Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","West Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","West Midlands (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Yorkshire and The Humber","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Yorkshire and The Humber","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","East Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","East Midlands (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","East of England","EO","5","5","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","East of England","G6/G7","5","5","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","East of England","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","London","AA/AO","5","5","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","London","EO","65","65","29330","29010"
"In post","2021","Asian","Digital, Data and Technology","London","G6/G7","160","160","62070","61700"
"In post","2021","Asian","Digital, Data and Technology","London","SCS level","5","5","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","London","SEO/HEO","250","245","40370","40850"
"In post","2021","Asian","Digital, Data and Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","North East (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","North West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","North West (England)","EO","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","North West (England)","G6/G7","5","5","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","North West (England)","SEO/HEO","30","30","34790","34830"
"In post","2021","Asian","Digital, Data and Technology","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Northern Ireland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","South East (England)","EO","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","South East (England)","G6/G7","5","5","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","South East (England)","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","South West (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","South West (England)","EO","15","15","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","South West (England)","G6/G7","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","South West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","South West (England)","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Wales","AA/AO","5","5","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Wales","EO","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Wales","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Wales","SEO/HEO","20","20","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","West Midlands (England)","EO","15","15","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","West Midlands (England)","G6/G7","25","25","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","West Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","West Midlands (England)","SEO/HEO","55","50","34940","35900"
"In post","2021","Asian","Digital, Data and Technology","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Yorkshire and The Humber","EO","15","15","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Yorkshire and The Humber","G6/G7","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Yorkshire and The Humber","SEO/HEO","30","30","34160","31870"
"In post","2021","Asian","Digital, Data and Technology","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","London","AA/AO","10","10","[c]","[c]"
"In post","2021","Asian","Economics","London","EO","10","10","[c]","[c]"
"In post","2021","Asian","Economics","London","G6/G7","75","70","59420","58620"
"In post","2021","Asian","Economics","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","London","SEO/HEO","60","60","34810","33400"
"In post","2021","Asian","Economics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","North West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","North West (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Asian","Economics","Northern Ireland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Northern Ireland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","South East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","South East (England)","SCS level","[c]","[c]","[c]","[c]"
