"Status","Year","Disability","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Attorney General's Departments","80","70","43210","39540"
"In post","2021","Declared disabled","Asian","Cabinet Office","55","55","41990","35590"
"In post","2021","Declared disabled","Asian","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","60","55","38480","33640"
"In post","2021","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Education","55","50","38230","36570"
"In post","2021","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","45","45","35420","33510"
"In post","2021","Declared disabled","Asian","Department for International Trade","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Transport","35","30","37070","34710"
"In post","2021","Declared disabled","Asian","Department for Work and Pensions","985","880","27800","27570"
"In post","2021","Declared disabled","Asian","Department of Health and Social Care","40","35","35020","32330"
"In post","2021","Declared disabled","Asian","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Foreign, Commonwealth and Development Office","45","40","38060","34630"
"In post","2021","Declared disabled","Asian","HM Land Registry","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","HM Revenue and Customs","325","300","31590","31810"
"In post","2021","Declared disabled","Asian","HM Treasury","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Home Office","365","330","32030","29080"
"In post","2021","Declared disabled","Asian","Ministry of Defence","95","95","36640","33230"
"In post","2021","Declared disabled","Asian","Ministry of Housing, Communities and Local Government","35","35","41420","35780"
"In post","2021","Declared disabled","Asian","Ministry of Justice","425","395","28940","25570"
"In post","2021","Declared disabled","Asian","National Crime Agency","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Other Cabinet Office Agencies","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Scottish Government","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","The National Archives","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","United Kingdom Statistics Authority","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Attorney General's Departments","60","55","40660","35020"
"In post","2021","Declared disabled","Black","Cabinet Office","35","30","40740","35590"
"In post","2021","Declared disabled","Black","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Department for Business, Energy and Industrial Strategy","55","55","39570","35460"
"In post","2021","Declared disabled","Black","Department for Digital, Culture, Media and Sport","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Department for Education","20","20","[c]","[c]"
"In post","2021","Declared disabled","Black","Department for Environment, Food and Rural Affairs","20","20","[c]","[c]"
"In post","2021","Declared disabled","Black","Department for International Trade","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","Department for Transport","20","20","[c]","[c]"
"In post","2021","Declared disabled","Black","Department for Work and Pensions","580","535","29360","30330"
"In post","2021","Declared disabled","Black","Department of Health and Social Care","25","25","[c]","[c]"
"In post","2021","Declared disabled","Black","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Food Standards Agency","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Foreign, Commonwealth and Development Office","40","40","33960","33770"
"In post","2021","Declared disabled","Black","HM Land Registry","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","HM Revenue and Customs","150","140","32270","31810"
"In post","2021","Declared disabled","Black","HM Treasury","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Home Office","195","180","32140","29080"
"In post","2021","Declared disabled","Black","Ministry of Defence","75","75","32190","28650"
"In post","2021","Declared disabled","Black","Ministry of Housing, Communities and Local Government","20","20","[c]","[c]"
"In post","2021","Declared disabled","Black","Ministry of Justice","450","430","30870","27730"
"In post","2021","Declared disabled","Black","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Office for Standards in Education","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Scottish Government","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Attorney General's Departments","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Department for Work and Pensions","15","15","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","HM Land Registry","[c]","[c]","[c]","[c]"
