"Status","Year","Age","Disability","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","AA/AO","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","16-19","Declared disabled","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Declared disabled","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","AA/AO","Heterosexual / straight","420","400","20990","21010"
"In post","2021","16-19","Declared non-disabled","AA/AO","LGBO","30","30","20930","21010"
"In post","2021","16-19","Declared non-disabled","AA/AO","Undeclared","20","20","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","EO","Heterosexual / straight","170","170","23350","24300"
"In post","2021","16-19","Declared non-disabled","EO","LGBO","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Undeclared","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Undeclared","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","EO","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Undeclared","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","AA/AO","Heterosexual / straight","45","45","21030","21150"
"In post","2021","16-19","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","AA/AO","Unknown","355","335","20620","20140"
"In post","2021","16-19","Unknown","EO","Heterosexual / straight","15","10","[c]","[c]"
"In post","2021","16-19","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","EO","Unknown","75","75","21300","20230"
"In post","2021","16-19","Unknown","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Unknown","50","50","18300","16780"
"In post","2021","20-29","Declared disabled","AA/AO","Heterosexual / straight","1030","1000","22220","21010"
"In post","2021","20-29","Declared disabled","AA/AO","LGBO","325","320","22130","21010"
"In post","2021","20-29","Declared disabled","AA/AO","Undeclared","110","105","21990","21010"
"In post","2021","20-29","Declared disabled","AA/AO","Unknown","60","60","22680","21050"
"In post","2021","20-29","Declared disabled","EO","Heterosexual / straight","1080","1065","27240","27570"
"In post","2021","20-29","Declared disabled","EO","LGBO","315","310","27070","27570"
"In post","2021","20-29","Declared disabled","EO","Undeclared","105","105","27390","27570"
"In post","2021","20-29","Declared disabled","EO","Unknown","60","60","26960","27540"
"In post","2021","20-29","Declared disabled","G6/G7","Heterosexual / straight","170","170","54210","53380"
"In post","2021","20-29","Declared disabled","G6/G7","LGBO","60","60","54030","53370"
"In post","2021","20-29","Declared disabled","G6/G7","Undeclared","25","20","[c]","[c]"
"In post","2021","20-29","Declared disabled","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","SEO/HEO","Heterosexual / straight","915","905","34260","33510"
"In post","2021","20-29","Declared disabled","SEO/HEO","LGBO","280","270","34080","33270"
"In post","2021","20-29","Declared disabled","SEO/HEO","Undeclared","85","85","34630","34020"
"In post","2021","20-29","Declared disabled","SEO/HEO","Unknown","50","50","33990","32900"
"In post","2021","20-29","Declared disabled","Unknown","Heterosexual / straight","200","195","26020","23840"
"In post","2021","20-29","Declared disabled","Unknown","LGBO","35","35","24980","23840"
"In post","2021","20-29","Declared disabled","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","AA/AO","Heterosexual / straight","12935","12565","22690","21430"
"In post","2021","20-29","Declared non-disabled","AA/AO","LGBO","1200","1180","22710","21020"
"In post","2021","20-29","Declared non-disabled","AA/AO","Undeclared","610","590","22580","21170"
"In post","2021","20-29","Declared non-disabled","AA/AO","Unknown","675","650","21840","21010"
"In post","2021","20-29","Declared non-disabled","EO","Heterosexual / straight","11450","11320","26930","27380"
"In post","2021","20-29","Declared non-disabled","EO","LGBO","960","950","27040","27570"
"In post","2021","20-29","Declared non-disabled","EO","Undeclared","630","625","27000","27500"
"In post","2021","20-29","Declared non-disabled","EO","Unknown","655","645","26950","27570"
"In post","2021","20-29","Declared non-disabled","G6/G7","Heterosexual / straight","2175","2170","54480","53380"
"In post","2021","20-29","Declared non-disabled","G6/G7","LGBO","300","300","54910","53680"
"In post","2021","20-29","Declared non-disabled","G6/G7","Undeclared","165","165","55220","53530"
"In post","2021","20-29","Declared non-disabled","G6/G7","Unknown","70","70","52350","52580"
"In post","2021","20-29","Declared non-disabled","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","SEO/HEO","Heterosexual / straight","10435","10385","34550","33570"
"In post","2021","20-29","Declared non-disabled","SEO/HEO","LGBO","1090","1090","34730","33990"
