"Status","Year","Ethnicity","Function_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","London","320","315","45280","41850"
"In post","2021","Asian","Analysis","Outside London","105","100","35320","32010"
"In post","2021","Asian","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","London","150","145","45060","37640"
"In post","2021","Asian","Commercial","Outside London","120","115","36760","34600"
"In post","2021","Asian","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","London","200","195","37820","33560"
"In post","2021","Asian","Communications","Outside London","305","300","29340","25560"
"In post","2021","Asian","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","270","260","35580","32520"
"In post","2021","Asian","Counter Fraud","Outside London","340","325","29810","28130"
"In post","2021","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","London","135","115","27330","25630"
"In post","2021","Asian","Debt","Outside London","215","190","21650","20140"
"In post","2021","Asian","Digital, Data & Technology","London","430","425","45590","41760"
"In post","2021","Asian","Digital, Data & Technology","Outside London","375","365","36210","32150"
"In post","2021","Asian","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","London","400","390","43070","39450"
"In post","2021","Asian","Finance","Outside London","345","330","32810","29980"
"In post","2021","Asian","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","Outside London","25","20","[c]","[c]"
"In post","2021","Asian","Human Resources","London","275","265","40640","36160"
"In post","2021","Asian","Human Resources","Outside London","190","185","31550","28610"
"In post","2021","Asian","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","London","50","45","49760","49900"
"In post","2021","Asian","Internal Audit","Outside London","30","30","[c]","[c]"
"In post","2021","Asian","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
