"Status","Year","Disability","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Commercial","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data and Technology","60","60","38740","34910"
"In post","2021","Declared disabled","Asian","Economics","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","50","50","38990","36650"
"In post","2021","Declared disabled","Asian","Human Resources","45","40","38260","35070"
"In post","2021","Declared disabled","Asian","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Intelligence Analysis","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","International Trade","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","65","60","50620","50130"
"In post","2021","Declared disabled","Asian","Medicine","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Operational Delivery","885","800","27910","25630"
"In post","2021","Declared disabled","Asian","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Other","55","50","28390","26270"
"In post","2021","Declared disabled","Asian","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Policy","165","160","41540","36300"
"In post","2021","Declared disabled","Asian","Project Delivery","75","75","40480","38600"
"In post","2021","Declared disabled","Asian","Property","20","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Science and Engineering","30","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Statistics","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Tax","100","95","34580","31880"
"In post","2021","Declared disabled","Asian","Unknown","1085","980","28680","27570"
"In post","2021","Declared disabled","Asian","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","15","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data and Technology","30","30","42080","41870"
"In post","2021","Declared disabled","Black","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","25","25","[c]","[c]"
"In post","2021","Declared disabled","Black","Human Resources","40","40","39760","34950"
"In post","2021","Declared disabled","Black","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Intelligence Analysis","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","International Trade","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Legal","40","40","48240","51120"
"In post","2021","Declared disabled","Black","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Operational Delivery","650","610","29480","27490"
"In post","2021","Declared disabled","Black","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Other","55","55","30710","28880"
"In post","2021","Declared disabled","Black","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Policy","135","130","37110","34080"
"In post","2021","Declared disabled","Black","Project Delivery","45","45","39460","35210"
"In post","2021","Declared disabled","Black","Property","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Science and Engineering","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","Security","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Statistics","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Tax","45","45","33970","35000"
"In post","2021","Declared disabled","Black","Unknown","635","585","30050","30330"
"In post","2021","Declared disabled","Black","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
